split,policy,n,control_n,control_rate,auto_n,auto_rate,remaining_error_n,auto_wrong_n,auto_fn_n,auto_fp_n,captured_wrong_n,captured_fn_n,captured_fp_n,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,extra_control_n,extra_control_rate,extra_captured_wrong_n,extra_captured_fn_n,extra_captured_fp_n,guard_rate
old_data,v50_main,285,207,0.7263157894736842,78,0.2736842105263158,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,0,0.0,0,0,0,
old_data,v75_quality_lowconf,285,213,0.7473684210526316,72,0.25263157894736843,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,0,0.0,0,0,0,
old_data,v79_light_lowrisk_guard,285,220,0.7719298245614035,65,0.22807017543859648,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,7,0.02456140350877193,0,0,0,0.025
old_data,v79_strict_lowrisk_guard,285,234,0.8210526315789474,51,0.17894736842105263,0,0,0,0,33,11,22,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,21,0.07368421052631578,1,0,1,0.075
third_batch,v50_main,306,222,0.7254901960784313,84,0.27450980392156865,9,9,7,2,49,18,31,0.9705882352941176,0.9528527874564461,0.9146341463414634,0.9910714285714286,0.974025974025974,0.9433962264150942,222,2,7,75,0,0.0,0,0,0,
third_batch,v75_quality_lowconf,306,235,0.7679738562091504,71,0.23202614379084968,7,7,5,2,51,20,31,0.9771241830065359,0.9650479094076655,0.9390243902439024,0.9910714285714286,0.9746835443037974,0.9565217391304348,222,2,5,77,0,0.0,0,0,0,
third_batch,v79_light_lowrisk_guard,306,243,0.7941176470588235,63,0.20588235294117646,5,5,5,0,53,20,33,0.9836601307189542,0.9695121951219512,0.9390243902439024,1.0,1.0,0.9685534591194969,224,0,5,77,8,0.026143790849673203,2,0,2,0.025
third_batch,v79_strict_lowrisk_guard,306,249,0.8137254901960784,57,0.18627450980392157,5,5,5,0,53,20,33,0.9836601307189542,0.9695121951219512,0.9390243902439024,1.0,1.0,0.9685534591194969,224,0,5,77,14,0.0457516339869281,2,0,2,0.075
strict_external,v50_main,108,79,0.7314814814814815,29,0.26851851851851855,3,3,1,2,29,14,15,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,0,0.0,0,0,0,
strict_external,v75_quality_lowconf,108,86,0.7962962962962963,22,0.2037037037037037,2,2,0,2,30,15,15,0.9814814814814815,0.9836065573770492,1.0,0.9672131147540983,0.9591836734693877,0.9791666666666666,59,2,0,47,0,0.0,0,0,0,
strict_external,v79_light_lowrisk_guard,108,89,0.8240740740740741,19,0.17592592592592593,1,1,0,1,31,15,16,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,0.9791666666666666,0.9894736842105264,60,1,0,47,3,0.027777777777777776,1,0,1,0.025
strict_external,v79_strict_lowrisk_guard,108,94,0.8703703703703703,14,0.12962962962962962,0,0,0,0,32,15,17,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,8,0.07407407407407407,2,0,2,0.075
