accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,config,use_text,use_numeric,ngram_range,min_df,objective
0.7789473684210526,0.7785904255319149,0.829934988179669,0.7692307692307693,0.7446808510638298,0.8125,117,27,36,105,gross_text_plus_numeric_ng35_mindf2__f1,True,True,"(3, 5)",2,f1
0.7789473684210526,0.7785904255319149,0.8298857368006304,0.7692307692307693,0.7446808510638298,0.8125,117,27,36,105,gross_text_plus_numeric_ng25_mindf2__f1,True,True,"(2, 5)",2,f1
0.7789473684210526,0.7785904255319149,0.8298857368006304,0.7692307692307693,0.7446808510638298,0.8125,117,27,36,105,gross_text_plus_numeric_ng35_mindf1__f1,True,True,"(3, 5)",1,f1
0.7789473684210526,0.7785904255319149,0.8298364854215917,0.7692307692307693,0.7446808510638298,0.8125,117,27,36,105,gross_text_plus_numeric_ng24_mindf2__f1,True,True,"(2, 4)",2,f1
0.7789473684210526,0.7785904255319149,0.8297872340425532,0.7692307692307693,0.7446808510638298,0.8125,117,27,36,105,gross_text_plus_numeric_ng25_mindf1__f1,True,True,"(2, 5)",1,f1
0.7789473684210526,0.7785904255319149,0.8297379826635145,0.7692307692307693,0.7446808510638298,0.8125,117,27,36,105,gross_text_plus_numeric_ng24_mindf1__f1,True,True,"(2, 4)",1,f1
0.775438596491228,0.7751920803782506,0.8296394799054374,0.7681159420289855,0.75177304964539,0.7986111111111112,115,29,35,106,numeric_only_ng11_mindf1__f1,False,True,"(1, 1)",1,f1
0.775438596491228,0.7747488179669031,0.8296394799054374,0.7575757575757576,0.7092198581560284,0.8402777777777778,121,23,41,100,numeric_only_ng11_mindf1__balanced_accuracy,False,True,"(1, 1)",1,balanced_accuracy
0.775438596491228,0.7747488179669031,0.8296394799054374,0.7575757575757576,0.7092198581560284,0.8402777777777778,121,23,41,100,numeric_only_ng11_mindf1__accuracy,False,True,"(1, 1)",1,accuracy
0.7684210526315789,0.7676566193853428,0.8302797478329393,0.7480916030534351,0.6950354609929078,0.8402777777777778,121,23,43,98,gross_text_plus_numeric_ng24_mindf2__balanced_accuracy,True,True,"(2, 4)",2,balanced_accuracy
0.7684210526315789,0.7676566193853428,0.8302797478329393,0.7480916030534351,0.6950354609929078,0.8402777777777778,121,23,43,98,gross_text_plus_numeric_ng24_mindf2__accuracy,True,True,"(2, 4)",2,accuracy
0.7684210526315789,0.7676566193853428,0.8302797478329393,0.7480916030534351,0.6950354609929078,0.8402777777777778,121,23,43,98,gross_text_plus_numeric_ng25_mindf1__balanced_accuracy,True,True,"(2, 5)",1,balanced_accuracy
0.7684210526315789,0.7676566193853428,0.8302797478329393,0.7480916030534351,0.6950354609929078,0.8402777777777778,121,23,43,98,gross_text_plus_numeric_ng25_mindf1__accuracy,True,True,"(2, 5)",1,accuracy
0.7684210526315789,0.7676566193853428,0.8302797478329393,0.7480916030534351,0.6950354609929078,0.8402777777777778,121,23,43,98,gross_text_plus_numeric_ng25_mindf2__balanced_accuracy,True,True,"(2, 5)",2,balanced_accuracy
0.7684210526315789,0.7676566193853428,0.8302797478329393,0.7480916030534351,0.6950354609929078,0.8402777777777778,121,23,43,98,gross_text_plus_numeric_ng25_mindf2__accuracy,True,True,"(2, 5)",2,accuracy
0.7684210526315789,0.7676566193853428,0.8302797478329393,0.7480916030534351,0.6950354609929078,0.8402777777777778,121,23,43,98,gross_text_plus_numeric_ng35_mindf1__balanced_accuracy,True,True,"(3, 5)",1,balanced_accuracy
0.7684210526315789,0.7676566193853428,0.8302797478329393,0.7480916030534351,0.6950354609929078,0.8402777777777778,121,23,43,98,gross_text_plus_numeric_ng35_mindf1__accuracy,True,True,"(3, 5)",1,accuracy
0.7684210526315789,0.7676566193853428,0.8302304964539007,0.7480916030534351,0.6950354609929078,0.8402777777777778,121,23,43,98,gross_text_plus_numeric_ng35_mindf2__balanced_accuracy,True,True,"(3, 5)",2,balanced_accuracy
0.7684210526315789,0.7676566193853428,0.8302304964539007,0.7480916030534351,0.6950354609929078,0.8402777777777778,121,23,43,98,gross_text_plus_numeric_ng35_mindf2__accuracy,True,True,"(3, 5)",2,accuracy
0.7684210526315789,0.7676566193853428,0.830181245074862,0.7480916030534351,0.6950354609929078,0.8402777777777778,121,23,43,98,gross_text_plus_numeric_ng24_mindf1__balanced_accuracy,True,True,"(2, 4)",1,balanced_accuracy
0.7684210526315789,0.7676566193853428,0.830181245074862,0.7480916030534351,0.6950354609929078,0.8402777777777778,121,23,43,98,gross_text_plus_numeric_ng24_mindf1__accuracy,True,True,"(2, 4)",1,accuracy
0.7052631578947368,0.7043439716312057,0.7409869976359339,0.6744186046511628,0.6170212765957447,0.7916666666666666,114,30,54,87,gross_text_only_ng24_mindf1__accuracy,True,False,"(2, 4)",1,accuracy
0.6982456140350877,0.6973995271867612,0.7380811662726556,0.6692307692307692,0.6170212765957447,0.7777777777777778,112,32,54,87,gross_text_only_ng24_mindf1__balanced_accuracy,True,False,"(2, 4)",1,balanced_accuracy
0.6877192982456141,0.6880910165484634,0.7350768321513002,0.6962457337883959,0.723404255319149,0.6527777777777778,94,50,39,102,gross_text_only_ng24_mindf1__f1,True,False,"(2, 4)",1,f1
0.6877192982456141,0.6867612293144207,0.7074468085106382,0.6536964980544747,0.5957446808510638,0.7777777777777778,112,32,57,84,gross_text_only_ng35_mindf1__balanced_accuracy,True,False,"(3, 5)",1,balanced_accuracy
0.6877192982456141,0.6867612293144207,0.7074468085106382,0.6536964980544747,0.5957446808510638,0.7777777777777778,112,32,57,84,gross_text_only_ng35_mindf1__accuracy,True,False,"(3, 5)",1,accuracy
0.6842105263157895,0.6831412529550827,0.7350275807722616,0.6456692913385826,0.5815602836879432,0.7847222222222222,113,31,59,82,gross_text_only_ng25_mindf1__balanced_accuracy,True,False,"(2, 5)",1,balanced_accuracy
0.6842105263157895,0.6831412529550827,0.7223207249802994,0.6456692913385826,0.5815602836879432,0.7847222222222222,113,31,59,82,gross_text_only_ng25_mindf1__accuracy,True,False,"(2, 5)",1,accuracy
