accuracy,balanced_accuracy,f1,tn,fp,fn,tp,task_l6_label,n
0.7594339622641509,0.7594339622641509,0.0,161,51,0,0,AB,212
0.6666666666666666,0.6666666666666666,0.0,8,4,0,0,B1,12
0.5172413793103449,0.5172413793103449,0.6818181818181818,0,0,14,15,B2,29
0.6415094339622641,0.6415094339622641,0.7816091954022989,0,0,19,34,TC,53
