accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,feature_set
0.8350877192982457,0.8348108747044918,0.8115149724192277,0.8290909090909091,0.8085106382978723,0.8611111111111112,124,20,27,114,logreg_c01,corrected
0.8315789473684211,0.8312647754137117,0.8442178881008667,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c01,corrected_plus_old_task6
0.8315789473684211,0.8312647754137117,0.8408195429472025,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c03,corrected_plus_old_task6
0.8315789473684211,0.8312647754137117,0.8156520882584712,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c003,corrected
0.8315789473684211,0.8312647754137117,0.8150118203309692,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c03,corrected
0.8280701754385965,0.8278664302600472,0.8316587864460204,0.8231046931407943,0.8085106382978723,0.8472222222222222,122,22,27,114,hgb_leaf3,corrected
0.8280701754385965,0.8277925531914894,0.8454737982663515,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,corrected_plus_old_task6
0.8280701754385965,0.8277925531914894,0.8451536643026003,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,corrected_plus_old_task6
0.8280701754385965,0.8277925531914894,0.8347616233254531,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d2_l10,corrected_plus_old_task6
0.8280701754385965,0.8277925531914894,0.8297379826635146,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,corrected
0.8280701754385965,0.8277925531914894,0.8203063435776202,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,corrected
0.8280701754385965,0.8277925531914894,0.8164401103230889,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d2_l10,corrected
0.8245614035087719,0.8245419621749408,0.8299596138691883,0.8226950354609929,0.8226950354609929,0.8263888888888888,119,25,25,116,gb_d1_lr05,corrected_plus_old_task6
0.8245614035087719,0.8243203309692672,0.836928684003152,0.8188405797101449,0.8014184397163121,0.8472222222222222,122,22,28,113,hgb_leaf3,corrected_plus_old_task6
0.8245614035087719,0.8242464539007093,0.8472714736012609,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,logreg_c003,corrected_plus_old_task6
0.8,0.8002364066193853,0.816193853427896,0.8027681660899654,0.8226950354609929,0.7777777777777778,112,32,25,116,gb_d1_lr05,corrected
0.6280701754385964,0.6311317966903074,0.7105988967691095,0.7103825136612022,0.9219858156028369,0.3402777777777778,49,95,11,130,logreg_c03,old_task6
0.631578947368421,0.6283983451536643,0.7078900709219857,0.467005076142132,0.3262411347517731,0.9305555555555556,134,10,95,46,gb_d1_lr05,old_task6
0.624561403508772,0.6277334515366431,0.7072498029944839,0.7100271002710027,0.9290780141843972,0.3263888888888889,47,97,10,131,logreg_c01,old_task6
0.624561403508772,0.6264775413711583,0.7082348305752562,0.6805970149253732,0.8085106382978723,0.4444444444444444,64,80,27,114,logreg_c003,old_task6
0.624561403508772,0.6264775413711583,0.7067572892040976,0.6805970149253732,0.8085106382978723,0.4444444444444444,64,80,27,114,extra_d3_l8,old_task6
0.6210526315789474,0.6241873522458629,0.6955772261623325,0.7065217391304348,0.9219858156028369,0.3263888888888889,47,97,11,130,rf_d3_l8,old_task6
0.624561403508772,0.6227836879432624,0.7069542947202522,0.5446808510638298,0.45390070921985815,0.7916666666666666,114,30,77,64,extra_d2_l10,old_task6
0.6,0.6018026004728132,0.6679472025216706,0.6566265060240963,0.7730496453900709,0.4305555555555556,62,82,32,109,hgb_leaf3,old_task6
