fold_id,best_c,best_val_primary_metric,test_case_mean_primary_metric,test_case_mean_accuracy,test_case_mean_balanced_accuracy
1,,0.9047619047619048,0.8497536945812808,0.7894736842105263,0.7881773399014778
2,,0.8958333333333334,0.8054187192118227,0.7543859649122807,0.7530788177339902
3,,0.8947368421052632,0.7721674876847291,0.7543859649122807,0.7536945812807883
4,,1.0,0.7401477832512317,0.6666666666666666,0.6656403940886699
5,,0.8260869565217391,0.9100985221674878,0.8245614035087719,0.8257389162561577
