accuracy,balanced_accuracy,f1,sensitivity,specificity,tn,fp,fn,tp,auc,model,threshold_objective,threshold,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_sensitivity,old_oof_specificity
0.6176470588235294,0.6460692508710801,0.4978540772532189,0.7073170731707317,0.5848214285714286,131,93,24,58,0.7000762195121951,rf_d3_l8,sens90,0.29,0.6842105263157895,0.6861702127659575,0.7321428571428571,0.8723404255319149,0.5
0.630718954248366,0.6434015679442509,0.49327354260089684,0.6707317073170732,0.6160714285714286,138,86,27,55,0.6869283536585366,gb_d1_lr05,sens90,0.30999999999999994,0.6912280701754386,0.6931146572104019,0.7365269461077845,0.8723404255319149,0.5138888888888888
0.6078431372549019,0.6393728222996515,0.4915254237288136,0.7073170731707317,0.5714285714285714,128,96,24,58,0.6808580139372822,extra_d2_l10,sens90,0.25999999999999995,0.7157894736842105,0.7172724586288416,0.7492260061919505,0.8581560283687943,0.5763888888888888
0.7058823529411765,0.6212979094076655,0.4444444444444444,0.43902439024390244,0.8035714285714286,180,44,46,36,0.6359973867595818,logreg_c003,bacc,0.41999999999999993,0.7543859649122807,0.7546542553191489,0.7586206896551724,0.7801418439716312,0.7291666666666666
0.7058823529411765,0.6212979094076655,0.4444444444444444,0.43902439024390244,0.8035714285714286,180,44,46,36,0.6359973867595818,logreg_c003,acc,0.41999999999999993,0.7543859649122807,0.7546542553191489,0.7586206896551724,0.7801418439716312,0.7291666666666666
0.6470588235294118,0.6197735191637631,0.46,0.5609756097560976,0.6785714285714286,152,72,36,46,0.6359973867595818,logreg_c003,sens90,0.26999999999999996,0.7228070175438597,0.7238475177304964,0.7459807073954984,0.8226950354609929,0.625
0.7091503267973857,0.6196646341463414,0.44025157232704404,0.4268292682926829,0.8125,182,42,47,35,0.6869283536585366,gb_d1_lr05,bacc,0.4799999999999999,0.7473684210526316,0.7475620567375887,0.75,0.7659574468085106,0.7291666666666666
0.7091503267973857,0.6196646341463414,0.44025157232704404,0.4268292682926829,0.8125,182,42,47,35,0.6869283536585366,gb_d1_lr05,acc,0.4799999999999999,0.7473684210526316,0.7475620567375887,0.75,0.7659574468085106,0.7291666666666666
0.6895424836601307,0.617868031358885,0.4444444444444444,0.4634146341463415,0.7723214285714286,173,51,44,38,0.6808580139372822,extra_d2_l10,bacc,0.4599999999999999,0.7684210526315789,0.7684692671394799,0.7676056338028169,0.7730496453900709,0.7638888888888888
0.6895424836601307,0.617868031358885,0.4444444444444444,0.4634146341463415,0.7723214285714286,173,51,44,38,0.6808580139372822,extra_d2_l10,acc,0.4599999999999999,0.7684210526315789,0.7684692671394799,0.7676056338028169,0.7730496453900709,0.7638888888888888
0.696078431372549,0.6146014808362369,0.43636363636363634,0.43902439024390244,0.7901785714285714,177,47,46,36,0.6827090592334495,extra_d3_l8,bacc,0.4799999999999999,0.7684210526315789,0.7684692671394799,0.7676056338028169,0.7730496453900709,0.7638888888888888
0.696078431372549,0.6146014808362369,0.43636363636363634,0.43902439024390244,0.7901785714285714,177,47,46,36,0.6827090592334495,extra_d3_l8,acc,0.4799999999999999,0.7684210526315789,0.7684692671394799,0.7676056338028169,0.7730496453900709,0.7638888888888888
0.6993464052287581,0.6129682055749129,0.43209876543209874,0.4268292682926829,0.7991071428571429,179,45,47,35,0.7000762195121951,rf_d3_l8,bacc,0.5099999999999999,0.7473684210526316,0.7473404255319149,0.7446808510638298,0.7446808510638298,0.75
0.6993464052287581,0.6129682055749129,0.43209876543209874,0.4268292682926829,0.7991071428571429,179,45,47,35,0.7000762195121951,rf_d3_l8,acc,0.5099999999999999,0.7473684210526316,0.7473404255319149,0.7446808510638298,0.7446808510638298,0.75
0.5130718954248366,0.6094294425087108,0.4734982332155477,0.8170731707317073,0.4017857142857143,90,134,15,67,0.6827090592334495,extra_d3_l8,sens90,0.22999999999999998,0.6701754385964912,0.6724290780141844,0.7267441860465116,0.8865248226950354,0.4583333333333333
