ranker,split,budget,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,review_n,review_rate,captured_p2_wrong_n,captured_p2_wrong_rate,missed_p2_wrong_n,review_on_p2_correct_n,review_precision_vs_p2_error,random_accuracy_mean,random_accuracy_sd,random_balanced_accuracy_mean,random_balanced_accuracy_sd,random_captured_p2_wrong_rate_mean,random_captured_p2_wrong_rate_sd,random_review_precision_vs_p2_error_mean,random_review_precision_vs_p2_error_sd,random_fn_mean,random_fn_sd,random_fp_mean,random_fp_sd
learned_hard_gate,development,0.0,0.8460236886632826,0.8445542503411971,0.8385650224215246,0.8505434782608695,0.7727272727272727,0.8043010752688172,313.0,55.0,36.0,187.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,,,,,,,,,,,,
learned_hard_gate,external,0.0,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44.0,17.0,15.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,,,,,,,,,,,,
learned_hard_gate,development,0.025,0.8646362098138748,0.8594999025151102,0.8385650224215246,0.8804347826086957,0.8095238095238095,0.8237885462555067,324.0,44.0,36.0,187.0,15.0,0.025380710659898477,11.0,0.12087912087912088,80.0,4.0,0.7333333333333333,,,,,,,,,,,,
learned_hard_gate,external,0.025,0.7129629629629629,0.7092779909312871,0.6808510638297872,0.7377049180327869,0.6666666666666666,0.6736842105263158,45.0,16.0,15.0,32.0,3.0,0.027777777777777776,1.0,0.03125,31.0,2.0,0.3333333333333333,,,,,,,,,,,,
learned_hard_gate,development,0.05,0.8815566835871405,0.8730868590368492,0.8385650224215246,0.907608695652174,0.8461538461538461,0.8423423423423423,334.0,34.0,36.0,187.0,30.0,0.050761421319796954,21.0,0.23076923076923078,70.0,9.0,0.7,,,,,,,,,,,,
learned_hard_gate,external,0.05,0.7222222222222222,0.7174747122427625,0.6808510638297872,0.7540983606557377,0.6808510638297872,0.6808510638297872,46.0,15.0,15.0,32.0,5.0,0.046296296296296294,2.0,0.0625,30.0,3.0,0.4,,,,,,,,,,,,
learned_hard_gate,development,0.075,0.8934010152284264,0.8825977286020666,0.8385650224215246,0.9266304347826086,0.8738317757009346,0.8558352402745996,341.0,27.0,36.0,187.0,44.0,0.07445008460236886,28.0,0.3076923076923077,63.0,16.0,0.6363636363636364,,,,,,,,,,,,
learned_hard_gate,external,0.075,0.7222222222222222,0.7174747122427625,0.6808510638297872,0.7540983606557377,0.6808510638297872,0.6808510638297872,46.0,15.0,15.0,32.0,8.0,0.07407407407407407,2.0,0.0625,30.0,6.0,0.25,,,,,,,,,,,,
learned_hard_gate,development,0.1,0.9001692047377327,0.8880325112107623,0.8385650224215246,0.9375,0.8904761904761904,0.8637413394919168,345.0,23.0,36.0,187.0,59.0,0.09983079526226735,32.0,0.3516483516483517,59.0,27.0,0.5423728813559322,,,,,,,,,,,,
learned_hard_gate,external,0.1,0.7407407407407407,0.7363097314265783,0.7021276595744681,0.7704918032786885,0.7021276595744681,0.7021276595744681,47.0,14.0,14.0,33.0,11.0,0.10185185185185185,4.0,0.125,28.0,7.0,0.36363636363636365,,,,,,,,,,,,
learned_hard_gate,development,0.125,0.9086294416243654,0.8948259894716319,0.8385650224215246,0.9510869565217391,0.9121951219512195,0.8738317757009346,350.0,18.0,36.0,187.0,74.0,0.12521150592216582,37.0,0.4065934065934066,54.0,37.0,0.5,,,,,,,,,,,,
learned_hard_gate,external,0.125,0.75,0.7445064527380537,0.7021276595744681,0.7868852459016393,0.717391304347826,0.7096774193548387,48.0,13.0,14.0,33.0,14.0,0.12962962962962962,5.0,0.15625,27.0,9.0,0.35714285714285715,,,,,,,,,,,,
learned_hard_gate,development,0.15,0.9137055837563451,0.8997855332423474,0.8430493273542601,0.9565217391304348,0.9215686274509803,0.8805620608899296,352.0,16.0,35.0,188.0,89.0,0.1505922165820643,40.0,0.43956043956043955,51.0,49.0,0.449438202247191,,,,,,,,,,,,
learned_hard_gate,external,0.15,0.7592592592592593,0.7527031740495291,0.7021276595744681,0.8032786885245902,0.7333333333333333,0.7173913043478262,49.0,12.0,14.0,33.0,16.0,0.14814814814814814,6.0,0.1875,26.0,10.0,0.375,,,,,,,,,,,,
learned_hard_gate,development,0.175,0.9170896785109983,0.9033863813608891,0.8475336322869955,0.9592391304347826,0.9264705882352942,0.8852459016393444,353.0,15.0,34.0,189.0,103.0,0.17428087986463622,42.0,0.46153846153846156,49.0,61.0,0.4077669902912621,,,,,,,,,,,,
learned_hard_gate,external,0.175,0.7685185185185185,0.7633414719218696,0.723404255319149,0.8032786885245902,0.7391304347826086,0.7311827956989247,49.0,12.0,13.0,34.0,19.0,0.17592592592592593,7.0,0.21875,25.0,12.0,0.3684210526315789,,,,,,,,,,,,
learned_hard_gate,development,0.2,0.9204737732656514,0.9069872294794308,0.852017937219731,0.9619565217391305,0.9313725490196079,0.8899297423887588,354.0,14.0,33.0,190.0,118.0,0.1996615905245347,44.0,0.4835164835164835,47.0,74.0,0.3728813559322034,,,,,,,,,,,,
learned_hard_gate,external,0.2,0.7962962962962963,0.7903732124171607,0.7446808510638298,0.8360655737704918,0.7777777777777778,0.7608695652173912,51.0,10.0,12.0,35.0,22.0,0.2037037037037037,10.0,0.3125,22.0,12.0,0.45454545454545453,,,,,,,,,,,,
learned_hard_gate,development,0.225,0.9255499153976311,0.91283023006434,0.8609865470852018,0.9646739130434783,0.9365853658536586,0.897196261682243,355.0,13.0,31.0,192.0,133.0,0.22504230118443316,47.0,0.5164835164835165,44.0,86.0,0.3533834586466165,,,,,,,,,,,,
learned_hard_gate,external,0.225,0.8055555555555556,0.7985699337286362,0.7446808510638298,0.8524590163934426,0.7954545454545454,0.7692307692307692,52.0,9.0,12.0,35.0,24.0,0.2222222222222222,11.0,0.34375,21.0,13.0,0.4583333333333333,,,,,,,,,,,,
learned_hard_gate,development,0.25,0.9289340101522843,0.9164310781828816,0.8654708520179372,0.967391304347826,0.9414634146341463,0.9018691588785046,356.0,12.0,30.0,193.0,148.0,0.25042301184433163,49.0,0.5384615384615384,42.0,99.0,0.3310810810810811,,,,,,,,,,,,
learned_hard_gate,external,0.25,0.8240740740740741,0.8174049529124521,0.7659574468085106,0.8688524590163934,0.8181818181818182,0.7912087912087913,53.0,8.0,11.0,36.0,27.0,0.25,13.0,0.40625,19.0,14.0,0.48148148148148145,,,,,,,,,,,,
