policy,evidence_level,auto_output_rate,risk_control_rate,workflow_accuracy,workflow_balanced_accuracy,workflow_sensitivity,workflow_specificity,workflow_fn,workflow_fp
P0_main_auto_all,strict_auto_baseline,100.0,0.0,64.81,62.75,46.81,78.69,25,13
P1_robust_auto_all,strict_auto_baseline,100.0,0.0,70.37,70.11,68.09,72.13,15,17
P2_safety_switch_auto,strict_auto_rule,100.0,0.0,70.37,70.11,68.09,72.13,15,17
P3_qscore92_review_else_safety,automatic_quality_heuristic,68.52,31.48,76.85,76.58,74.47,78.69,12,13
P4_rf_quality_review_else_safety,quality_cv_proof_of_concept,50.0,50.0,85.19,85.18,85.11,85.25,7,9
P5_extra_trees_quality_review_else_safety,quality_cv_proof_of_concept,42.59,57.41,87.96,87.88,87.23,88.52,6,7
P6_manual_quality_or_safety_review_upper,manual_quality_upper_bound,62.04,37.96,82.41,82.23,80.85,83.61,9,10
P7_logistic_recall90_quality_or_safety_review,quality_cv_high_safety,24.07,75.93,92.59,92.47,91.49,93.44,4,4
