feature_set,description,selection,target_dev_bacc,n_features,dev_auc,external_auc,selected_budget,selected_threshold,dev_accuracy,dev_balanced_accuracy,dev_sensitivity,dev_specificity,dev_precision,dev_f1,dev_tn,dev_fp,dev_fn,dev_tp,dev_review_n,dev_review_rate,dev_captured_p2_wrong_n,dev_captured_p2_wrong_rate,dev_missed_p2_wrong_n,dev_review_precision_vs_p2_error,external_accuracy,external_balanced_accuracy,external_sensitivity,external_specificity,external_precision,external_f1,external_tn,external_fp,external_fn,external_tp,external_review_n,external_review_rate,external_captured_p2_wrong_n,external_captured_p2_wrong_rate,external_missed_p2_wrong_n,external_review_precision_vs_p2_error
all_common,prob+image+binary+categorical,rank_budget,0.9,33,0.7400439560439561,0.6652960526315789,0.16,,0.9153976311336718,0.9011442288945213,0.8430493273542601,0.9592391304347826,0.9261083743842364,0.8826291079812206,353,15,35,188,95,0.16074450084602368,41,0.45054945054945056,50,0.43157894736842106,0.7592592592592593,0.7527031740495291,0.7021276595744681,0.8032786885245902,0.7333333333333333,0.7173913043478262,49,12,14,33,17,0.1574074074074074,6,0.1875,26,0.35294117647058826
all_common,prob+image+binary+categorical,absolute_threshold,0.9,33,0.7400439560439561,0.6652960526315789,,0.6157266373281733,0.9153976311336718,0.9011442288945213,0.8430493273542601,0.9592391304347826,0.9261083743842364,0.8826291079812206,353,15,35,188,93,0.15736040609137056,41,0.45054945054945056,50,0.44086021505376344,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44,17,15,32,0,0.0,0,0.0,32,0.0
all_common,prob+image+binary+categorical,rank_budget,0.92,33,0.7400439560439561,0.6652960526315789,0.29,,0.934010152284264,0.9231575355819848,0.8789237668161435,0.967391304347826,0.9423076923076923,0.9095127610208815,356,12,27,196,171,0.2893401015228426,52,0.5714285714285714,39,0.30409356725146197,0.8333333333333334,0.8256016742239274,0.7659574468085106,0.8852459016393442,0.8372093023255814,0.8,54,7,11,36,31,0.28703703703703703,14,0.4375,18,0.45161290322580644
all_common,prob+image+binary+categorical,absolute_threshold,0.92,33,0.7400439560439561,0.6652960526315789,,0.508725810307139,0.9323181049069373,0.920915383115617,0.874439461883408,0.967391304347826,0.9420289855072463,0.9069767441860465,356,12,28,195,169,0.2859560067681895,51,0.5604395604395604,40,0.30177514792899407,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44,17,15,32,0,0.0,0,0.0,32,0.0
all_common,prob+image+binary+categorical,rank_budget,0.95,33,0.7400439560439561,0.6652960526315789,0.49,,0.9576988155668359,0.9510138428543575,0.9237668161434978,0.9782608695652174,0.9626168224299065,0.94279176201373,360,8,17,206,290,0.4906937394247039,66,0.7252747252747253,25,0.22758620689655173,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,53,0.49074074074074076,22,0.6875,10,0.41509433962264153
all_common,prob+image+binary+categorical,absolute_threshold,0.95,33,0.7400439560439561,0.6652960526315789,,0.36150606251428,0.9576988155668359,0.9510138428543575,0.9237668161434978,0.9782608695652174,0.9626168224299065,0.94279176201373,360,8,17,206,290,0.4906937394247039,66,0.7252747252747253,25,0.22758620689655173,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44,17,15,32,0,0.0,0,0.0,32,0.0
all_common,prob+image+binary+categorical,rank_budget,0.97,33,0.7400439560439561,0.6652960526315789,0.59,,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,349,0.5905245346869712,77,0.8461538461538461,14,0.22063037249283668,0.9351851851851852,0.930415068015347,0.8936170212765957,0.9672131147540983,0.9545454545454546,0.9230769230769231,59,2,5,42,64,0.5925925925925926,25,0.78125,7,0.390625
all_common,prob+image+binary+categorical,absolute_threshold,0.97,33,0.7400439560439561,0.6652960526315789,,0.3200887793480509,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,347,0.5871404399323181,77,0.8461538461538461,14,0.2219020172910663,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44,17,15,32,0,0.0,0,0.0,32,0.0
prob_and_binary_no_image,prob+binary+categorical,rank_budget,0.9,28,0.754043956043956,0.46422697368421056,0.145,,0.9153976311336718,0.9011442288945213,0.8430493273542601,0.9592391304347826,0.9261083743842364,0.8826291079812206,353,15,35,188,86,0.1455160744500846,41,0.45054945054945056,50,0.47674418604651164,0.75,0.7420648761771886,0.6808510638297872,0.8032786885245902,0.7272727272727273,0.7032967032967034,49,12,15,32,16,0.14814814814814814,5,0.15625,27,0.3125
prob_and_binary_no_image,prob+binary+categorical,absolute_threshold,0.9,28,0.754043956043956,0.46422697368421056,,0.6431277133322879,0.9153976311336718,0.9011442288945213,0.8430493273542601,0.9592391304347826,0.9261083743842364,0.8826291079812206,353,15,35,188,84,0.14213197969543148,41,0.45054945054945056,50,0.4880952380952381,0.7777777777777778,0.7666550401116149,0.6808510638297872,0.8524590163934426,0.7804878048780488,0.7272727272727273,52,9,15,32,26,0.24074074074074073,8,0.25,24,0.3076923076923077
prob_and_binary_no_image,prob+binary+categorical,rank_budget,0.92,28,0.754043956043956,0.46422697368421056,0.275,,0.9323181049069373,0.9200319263014233,0.8699551569506726,0.970108695652174,0.9463414634146341,0.9065420560747663,357,11,29,194,163,0.27580372250423013,51,0.5604395604395604,40,0.3128834355828221,0.7962962962962963,0.7830484827345657,0.6808510638297872,0.8852459016393442,0.8205128205128205,0.7441860465116279,54,7,15,32,30,0.2777777777777778,10,0.3125,22,0.3333333333333333
