feature_set,description,selection,target_dev_bacc,n_features,dev_auc,external_auc,selected_budget,selected_threshold,dev_accuracy,dev_balanced_accuracy,dev_sensitivity,dev_specificity,dev_precision,dev_f1,dev_tn,dev_fp,dev_fn,dev_tp,dev_review_n,dev_review_rate,dev_captured_p2_wrong_n,dev_captured_p2_wrong_rate,dev_missed_p2_wrong_n,dev_review_precision_vs_p2_error,external_accuracy,external_balanced_accuracy,external_sensitivity,external_specificity,external_precision,external_f1,external_tn,external_fp,external_fn,external_tp,external_review_n,external_review_rate,external_captured_p2_wrong_n,external_captured_p2_wrong_rate,external_missed_p2_wrong_n,external_review_precision_vs_p2_error
prob_and_binary_no_image,prob+binary+categorical,absolute_threshold,0.92,28,0.754043956043956,0.46422697368421056,,0.5057532993183671,0.9323181049069373,0.9200319263014233,0.8699551569506726,0.970108695652174,0.9463414634146341,0.9065420560747663,357,11,29,194,163,0.27580372250423013,51,0.5604395604395604,40,0.3128834355828221,0.7962962962962963,0.7830484827345657,0.6808510638297872,0.8852459016393442,0.8205128205128205,0.7441860465116279,54,7,15,32,44,0.4074074074074074,10,0.3125,22,0.22727272727272727
prob_and_binary_no_image,prob+binary+categorical,rank_budget,0.95,28,0.754043956043956,0.46422697368421056,0.46,,0.9576988155668359,0.9501303860401638,0.9192825112107623,0.9809782608695652,0.9669811320754716,0.9425287356321839,361,7,18,205,272,0.4602368866328257,66,0.7252747252747253,25,0.2426470588235294,0.8240740740740741,0.814963376351587,0.7446808510638298,0.8852459016393442,0.8333333333333334,0.7865168539325842,54,7,12,35,50,0.46296296296296297,13,0.40625,19,0.26
prob_and_binary_no_image,prob+binary+categorical,absolute_threshold,0.95,28,0.754043956043956,0.46422697368421056,,0.3950724528448729,0.9576988155668359,0.9501303860401638,0.9192825112107623,0.9809782608695652,0.9669811320754716,0.9425287356321839,361,7,18,205,270,0.45685279187817257,66,0.7252747252747253,25,0.24444444444444444,0.8981481481481481,0.8976281827694454,0.8936170212765957,0.9016393442622951,0.875,0.8842105263157894,55,6,5,42,74,0.6851851851851852,21,0.65625,11,0.28378378378378377
prob_and_binary_no_image,prob+binary+categorical,rank_budget,0.97,28,0.754043956043956,0.46422697368421056,0.58,,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,343,0.5803722504230119,77,0.8461538461538461,14,0.22448979591836735,0.8703703703703703,0.8657132891524242,0.8297872340425532,0.9016393442622951,0.8666666666666667,0.8478260869565217,55,6,8,39,63,0.5833333333333334,18,0.5625,14,0.2857142857142857
prob_and_binary_no_image,prob+binary+categorical,absolute_threshold,0.97,28,0.754043956043956,0.46422697368421056,,0.33720145628723647,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,342,0.5786802030456852,77,0.8461538461538461,14,0.22514619883040934,0.9259259259259259,0.9271014998256017,0.9361702127659575,0.9180327868852459,0.8979591836734694,0.9166666666666666,56,5,3,44,88,0.8148148148148148,24,0.75,8,0.2727272727272727
prob_only,probability features only,rank_budget,0.9,21,0.736989010989011,0.3943256578947368,0.19,,0.9086294416243654,0.9001267303567947,0.8654708520179372,0.9347826086956522,0.8894009216589862,0.8772727272727273,344,24,30,193,112,0.1895093062605753,37,0.4065934065934066,54,0.33035714285714285,0.7407407407407407,0.7338681548657133,0.6808510638297872,0.7868852459016393,0.7111111111111111,0.6956521739130436,48,13,15,32,21,0.19444444444444445,4,0.125,28,0.19047619047619047
prob_only,probability features only,absolute_threshold,0.9,21,0.736989010989011,0.3943256578947368,,0.6388615937442901,0.9086294416243654,0.9001267303567947,0.8654708520179372,0.9347826086956522,0.8894009216589862,0.8772727272727273,344,24,30,193,112,0.1895093062605753,37,0.4065934065934066,54,0.33035714285714285,0.8055555555555556,0.7985699337286362,0.7446808510638298,0.8524590163934426,0.7954545454545454,0.7692307692307692,52,9,12,35,57,0.5277777777777778,11,0.34375,21,0.19298245614035087
prob_only,probability features only,rank_budget,0.92,21,0.736989010989011,0.3943256578947368,0.275,,0.9306260575296108,0.9222070579060246,0.8878923766816144,0.9565217391304348,0.9252336448598131,0.9061784897025172,352,16,25,198,163,0.27580372250423013,50,0.5494505494505495,41,0.3067484662576687,0.75,0.7420648761771886,0.6808510638297872,0.8032786885245902,0.7272727272727273,0.7032967032967034,49,12,15,32,30,0.2777777777777778,5,0.15625,27,0.16666666666666666
prob_only,probability features only,absolute_threshold,0.92,21,0.736989010989011,0.3943256578947368,,0.5533477590577464,0.9306260575296108,0.9222070579060246,0.8878923766816144,0.9565217391304348,0.9252336448598131,0.9061784897025172,352,16,25,198,162,0.27411167512690354,50,0.5494505494505495,41,0.30864197530864196,0.8611111111111112,0.8575165678409487,0.8297872340425532,0.8852459016393442,0.8478260869565217,0.8387096774193549,54,7,8,39,65,0.6018518518518519,17,0.53125,15,0.26153846153846155
prob_only,probability features only,rank_budget,0.95,21,0.736989010989011,0.3943256578947368,0.445,,0.961082910321489,0.9537312341587054,0.9237668161434978,0.9836956521739131,0.9716981132075472,0.9471264367816092,362,6,17,206,263,0.4450084602368866,68,0.7472527472527473,23,0.2585551330798479,0.7685185185185185,0.7584583188001395,0.6808510638297872,0.8360655737704918,0.7619047619047619,0.7191011235955055,51,10,15,32,48,0.4444444444444444,7,0.21875,25,0.14583333333333334
prob_only,probability features only,absolute_threshold,0.95,21,0.736989010989011,0.3943256578947368,,0.426466974892672,0.9593908629441624,0.9514890816923377,0.9192825112107623,0.9836956521739131,0.9715639810426541,0.944700460829493,362,6,18,205,261,0.4416243654822335,67,0.7362637362637363,24,0.2567049808429119,0.9074074074074074,0.9058249040809208,0.8936170212765957,0.9180327868852459,0.8936170212765957,0.8936170212765957,56,5,5,42,78,0.7222222222222222,22,0.6875,10,0.28205128205128205
prob_only,probability features only,rank_budget,0.97,21,0.736989010989011,0.3943256578947368,0.54,,0.9746192893401016,0.9707849970754533,0.9551569506726457,0.9864130434782609,0.9770642201834863,0.9659863945578231,363,5,10,213,319,0.5397631133671743,76,0.8351648351648352,15,0.23824451410658307,0.8148148148148148,0.8092082316009765,0.7659574468085106,0.8524590163934426,0.8,0.7826086956521738,52,9,11,36,58,0.5370370370370371,12,0.375,20,0.20689655172413793
prob_only,probability features only,absolute_threshold,0.97,21,0.736989010989011,0.3943256578947368,,0.372368075744022,0.9746192893401016,0.9707849970754533,0.9551569506726457,0.9864130434782609,0.9770642201834863,0.9659863945578231,363,5,10,213,317,0.5363790186125211,76,0.8351648351648352,15,0.23974763406940064,0.9259259259259259,0.9222183467038716,0.8936170212765957,0.9508196721311475,0.9333333333333333,0.9130434782608695,58,3,5,42,82,0.7592592592592593,24,0.75,8,0.2926829268292683
core_probs_only,six model probabilities only,rank_budget,0.9,6,0.607032967032967,0.4309210526315789,0.295,,0.9069373942470389,0.9005349483330083,0.874439461883408,0.9266304347826086,0.8783783783783784,0.8764044943820224,341,27,28,195,174,0.29441624365482233,36,0.3956043956043956,55,0.20689655172413793,0.7592592592592593,0.7502615974886642,0.6808510638297872,0.819672131147541,0.7441860465116279,0.711111111111111,50,11,15,32,32,0.2962962962962963,6,0.1875,26,0.1875
core_probs_only,six model probabilities only,absolute_threshold,0.9,6,0.607032967032967,0.4309210526315789,,0.5361768767865345,0.9069373942470389,0.9005349483330083,0.874439461883408,0.9266304347826086,0.8783783783783784,0.8764044943820224,341,27,28,195,173,0.2927241962774958,36,0.3956043956043956,55,0.20809248554913296,0.8888888888888888,0.88454830833624,0.851063829787234,0.9180327868852459,0.8888888888888888,0.8695652173913044,56,5,7,40,72,0.6666666666666666,20,0.625,12,0.2777777777777778
core_probs_only,six model probabilities only,rank_budget,0.92,6,0.607032967032967,0.4309210526315789,0.45,,0.9272419627749577,0.9203731234158705,0.8923766816143498,0.9483695652173914,0.9128440366972477,0.9024943310657596,349,19,24,199,266,0.4500846023688663,48,0.5274725274725275,43,0.18045112781954886,0.7962962962962963,0.7903732124171607,0.7446808510638298,0.8360655737704918,0.7777777777777778,0.7608695652173912,51,10,12,35,49,0.4537037037037037,10,0.3125,22,0.20408163265306123
core_probs_only,six model probabilities only,absolute_threshold,0.92,6,0.607032967032967,0.4309210526315789,,0.4951858812904635,0.9272419627749577,0.9203731234158705,0.8923766816143498,0.9483695652173914,0.9128440366972477,0.9024943310657596,349,19,24,199,265,0.44839255499153974,48,0.5274725274725275,43,0.1811320754716981,0.9351851851851852,0.930415068015347,0.8936170212765957,0.9672131147540983,0.9545454545454546,0.9230769230769231,59,2,5,42,86,0.7962962962962963,25,0.78125,7,0.29069767441860467
core_probs_only,six model probabilities only,rank_budget,0.95,6,0.607032967032967,0.4309210526315789,0.595,,0.9576988155668359,0.9510138428543575,0.9237668161434978,0.9782608695652174,0.9626168224299065,0.94279176201373,360,8,17,206,352,0.5956006768189509,66,0.7252747252747253,25,0.1875,0.8611111111111112,0.8526334147192187,0.7872340425531915,0.9180327868852459,0.8809523809523809,0.8314606741573034,56,5,10,37,64,0.5925925925925926,17,0.53125,15,0.265625
core_probs_only,six model probabilities only,absolute_threshold,0.95,6,0.607032967032967,0.4309210526315789,,0.4541390408403358,0.9576988155668359,0.9510138428543575,0.9237668161434978,0.9782608695652174,0.9626168224299065,0.94279176201373,360,8,17,206,350,0.5922165820642978,66,0.7252747252747253,25,0.18857142857142858,0.9907407407407407,0.9893617021276595,0.9787234042553191,1.0,1.0,0.989247311827957,61,0,1,46,100,0.9259259259259259,31,0.96875,1,0.31
core_probs_only,six model probabilities only,rank_budget,0.97,6,0.607032967032967,0.4309210526315789,0.715,,0.9746192893401016,0.9707849970754533,0.9551569506726457,0.9864130434782609,0.9770642201834863,0.9659863945578231,363,5,10,213,423,0.7157360406091371,76,0.8351648351648352,15,0.17966903073286053,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,77,0.7129629629629629,22,0.6875,10,0.2857142857142857
core_probs_only,six model probabilities only,absolute_threshold,0.97,6,0.607032967032967,0.4309210526315789,,0.42076504302714385,0.9746192893401016,0.9707849970754533,0.9551569506726457,0.9864130434782609,0.9770642201834863,0.9659863945578231,363,5,10,213,421,0.7123519458544839,76,0.8351648351648352,15,0.18052256532066507,0.9907407407407407,0.9893617021276595,0.9787234042553191,1.0,1.0,0.989247311827957,61,0,1,46,104,0.9629629629629629,31,0.96875,1,0.2980769230769231
disagreement_only,probability disagreement and margin only,rank_budget,0.9,17,0.745912087912088,0.4366776315789474,0.155,,0.9120135363790186,0.9019606648469487,0.8609865470852018,0.9429347826086957,0.9014084507042254,0.8807339449541286,347,21,31,192,92,0.155668358714044,39,0.42857142857142855,52,0.42391304347826086,0.7407407407407407,0.7338681548657133,0.6808510638297872,0.7868852459016393,0.7111111111111111,0.6956521739130436,48,13,15,32,17,0.1574074074074074,4,0.125,28,0.23529411764705882
disagreement_only,probability disagreement and margin only,absolute_threshold,0.9,17,0.745912087912088,0.4366776315789474,,0.6465020620952471,0.9103214890016921,0.9006019691947749,0.8609865470852018,0.9402173913043478,0.897196261682243,0.8787185354691077,346,22,31,192,91,0.15397631133671744,38,0.4175824175824176,53,0.4175824175824176,0.7592592592592593,0.7502615974886642,0.6808510638297872,0.819672131147541,0.7441860465116279,0.711111111111111,50,11,15,32,30,0.2777777777777778,6,0.1875,26,0.2
disagreement_only,probability disagreement and margin only,rank_budget,0.92,17,0.745912087912088,0.4366776315789474,0.285,,0.934010152284264,0.922274078767791,0.874439461883408,0.970108695652174,0.9466019417475728,0.9090909090909092,357,11,28,195,168,0.28426395939086296,52,0.5714285714285714,39,0.30952380952380953,0.7592592592592593,0.7502615974886642,0.6808510638297872,0.819672131147541,0.7441860465116279,0.711111111111111,50,11,15,32,31,0.28703703703703703,6,0.1875,26,0.1935483870967742
disagreement_only,probability disagreement and margin only,absolute_threshold,0.92,17,0.745912087912088,0.4366776315789474,,0.5074173027369961,0.9323181049069373,0.920915383115617,0.874439461883408,0.967391304347826,0.9420289855072463,0.9069767441860465,356,12,28,195,166,0.2808798646362098,51,0.5604395604395604,40,0.3072289156626506,0.8148148148148148,0.8067666550401116,0.7446808510638298,0.8688524590163934,0.813953488372093,0.7777777777777778,53,8,12,35,44,0.4074074074074074,12,0.375,20,0.2727272727272727
disagreement_only,probability disagreement and margin only,rank_budget,0.95,17,0.745912087912088,0.4366776315789474,0.47,,0.9576988155668359,0.9501303860401638,0.9192825112107623,0.9809782608695652,0.9669811320754716,0.9425287356321839,361,7,18,205,278,0.4703891708967851,66,0.7252747252747253,25,0.23741007194244604,0.8240740740740741,0.814963376351587,0.7446808510638298,0.8852459016393442,0.8333333333333334,0.7865168539325842,54,7,12,35,51,0.4722222222222222,13,0.40625,19,0.2549019607843137
disagreement_only,probability disagreement and margin only,absolute_threshold,0.95,17,0.745912087912088,0.4366776315789474,,0.3956365468679041,0.9576988155668359,0.9501303860401638,0.9192825112107623,0.9809782608695652,0.9669811320754716,0.9425287356321839,361,7,18,205,276,0.467005076142132,66,0.7252747252747253,25,0.2391304347826087,0.8981481481481481,0.8976281827694454,0.8936170212765957,0.9016393442622951,0.875,0.8842105263157894,55,6,5,42,80,0.7407407407407407,21,0.65625,11,0.2625
disagreement_only,probability disagreement and margin only,rank_budget,0.97,17,0.745912087912088,0.4366776315789474,0.62,,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,366,0.6192893401015228,77,0.8461538461538461,14,0.2103825136612022,0.8703703703703703,0.8681548657132891,0.851063829787234,0.8852459016393442,0.851063829787234,0.8510638297872339,54,7,7,40,67,0.6203703703703703,18,0.5625,14,0.26865671641791045
disagreement_only,probability disagreement and margin only,absolute_threshold,0.97,17,0.745912087912088,0.4366776315789474,,0.32351304844481443,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,366,0.6192893401015228,77,0.8461538461538461,14,0.2103825136612022,0.9537037037037037,0.9516916637600279,0.9361702127659575,0.9672131147540983,0.9565217391304348,0.9462365591397849,59,2,3,44,91,0.8425925925925926,27,0.84375,5,0.2967032967032967
