workflow,extra_review_n,captured_error_n,clean_review_n,n,control_rate,remaining_error_n,fn,fp,sensitivity,specificity,balanced_accuracy,wc_max,core_max
v118_fixed_two_signal,8,3,5,699,0.7997138769670958,1,1,0,0.9962962962962963,1.0,0.9981481481481482,,
selected_wholecrop_only,16,3,13,699,0.8111587982832618,1,1,0,0.9962962962962963,1.0,0.9981481481481482,0.625,
selected_core_only,17,3,14,699,0.8125894134477826,1,1,0,0.9962962962962963,1.0,0.9981481481481482,,0.775
selected_two_signal,8,3,5,699,0.7997138769670958,1,1,0,0.9962962962962963,1.0,0.9981481481481482,0.625,0.775
