workflow,scope,prob_threshold,core_max,extra_review_n,extra_captured_error_n,extra_clean_review_n,n,control_rate,remaining_error_n,fn,fp,sensitivity,specificity,balanced_accuracy
light_branch_plus_v109,all_domains,0.250,0.325,30,6,24,699,78.40%,5,1,4,99.63%,99.07%,99.35%
light_branch_plus_v109,internal_all,0.250,0.325,28,6,22,591,77.33%,4,1,3,99.55%,99.18%,99.37%
light_branch_plus_v109,old_data,0.250,0.325,4,0,4,285,74.04%,1,0,1,100.00%,99.31%,99.65%
light_branch_plus_v109,third_batch,0.250,0.325,24,6,18,306,80.39%,3,1,2,98.78%,99.11%,98.94%
light_branch_plus_v109,strict_external,0.250,0.325,2,0,2,108,84.26%,1,0,1,100.00%,98.36%,99.18%
strict_branch_plus_v109,all_domains,0.250,0.325,30,6,24,699,79.11%,4,1,3,99.63%,99.30%,99.47%
strict_branch_plus_v109,internal_all,0.250,0.325,28,6,22,591,77.33%,4,1,3,99.55%,99.18%,99.37%
strict_branch_plus_v109,old_data,0.250,0.325,4,0,4,285,74.04%,1,0,1,100.00%,99.31%,99.65%
strict_branch_plus_v109,third_batch,0.250,0.325,24,6,18,306,80.39%,3,1,2,98.78%,99.11%,98.94%
strict_branch_plus_v109,strict_external,0.250,0.325,2,0,2,108,88.89%,0,0,0,100.00%,100.00%,100.00%
