task_l6_label,n,accuracy,tn,fp,fn,tp
A,8,0.625,5,3,0,0
AB,39,0.5384615384615384,21,18,0,0
B1,11,0.45454545454545453,5,6,0,0
B1_B2_mixed,1,1.0,0,0,0,1
B2,28,0.5714285714285714,0,0,12,16
B2_B3_mixed,3,1.0,0,0,0,3
B3,10,0.9,0,0,1,9
MNT_assumed_low,3,0.6666666666666666,2,1,0,0
TC,5,0.8,0,0,1,4
