accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,pca_components,feature_set
0.8350877192982457,0.8348108747044918,0.8071315996847913,0.8290909090909091,0.8085106382978723,0.8611111111111112,124,20,27,114,logreg_c01,4,corrected_plus_embedding
0.8315789473684211,0.8313386524822695,0.8311170212765956,0.8260869565217391,0.8085106382978723,0.8541666666666666,123,21,27,114,rf_d3_l8,4,corrected_plus_embedding
0.8315789473684211,0.8312647754137117,0.8220547675334908,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c003,4,rawtop_corrected_plus_embedding
0.8315789473684211,0.8312647754137117,0.8165386130811663,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c003,8,rawtop_corrected_plus_embedding
0.8315789473684211,0.8312647754137117,0.8096434200157603,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c003,4,corrected_plus_embedding
0.8315789473684211,0.8312647754137117,0.8077718676122931,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c003,8,corrected_plus_embedding
0.8315789473684211,0.8312647754137117,0.8075256107171,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c03,8,corrected_plus_embedding
0.8315789473684211,0.8312647754137117,0.803585500394011,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c01,8,corrected_plus_embedding
0.8280701754385965,0.8279403073286051,0.8170803782505911,0.8243727598566308,0.8156028368794326,0.8402777777777778,121,23,26,115,gb_d1_lr05,32,corrected_plus_embedding
0.8280701754385965,0.8278664302600472,0.8355250197005515,0.8231046931407943,0.8085106382978723,0.8472222222222222,122,22,27,114,gb_d1_lr05,32,rawtop_corrected_plus_embedding
0.8280701754385965,0.8278664302600472,0.8353526398739165,0.8231046931407943,0.8085106382978723,0.8472222222222222,122,22,27,114,gb_d1_lr05,64,rawtop_corrected_plus_embedding
0.8280701754385965,0.8278664302600472,0.8328900709219859,0.8231046931407943,0.8085106382978723,0.8472222222222222,122,22,27,114,gb_d1_lr05,4,rawtop_corrected_plus_embedding
