feature_set,addon_rate,dev_accuracy,dev_balanced_accuracy,dev_sensitivity,dev_specificity,dev_precision,dev_f1,dev_tn,dev_fp,dev_fn,dev_tp,dev_review_n,dev_review_rate,dev_captured_wrong_n,dev_captured_fn_n,dev_captured_fp_n,dev_remaining_error_n,external_accuracy,external_balanced_accuracy,external_sensitivity,external_specificity,external_precision,external_f1,external_tn,external_fp,external_fn,external_tp,external_review_n,external_review_rate,external_captured_wrong_n,external_captured_fn_n,external_captured_fp_n,external_remaining_error_n,feature_set_n_numeric,feature_set_n_categorical,dev_pred_high_n,dev_false_positive_target_n,external_pred_high_n,external_false_positive_target_n,dev_auc,external_auc
model_prob_only,0.0,0.9712351945854484,0.9760187170988497,0.9955156950672646,0.9565217391304348,0.9327731092436975,0.9631236442516269,352,16,1,222,384,0.649746192893401,74,35,39,17,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,70,0.6481481481481481,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_only,0.01,0.9729272419627749,0.9773774127510235,0.9955156950672646,0.9592391304347826,0.9367088607594937,0.9652173913043479,353,15,1,222,390,0.6598984771573604,75,35,40,16,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,71,0.6574074074074074,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_only,0.02,0.9746192893401016,0.9787361084031976,0.9955156950672646,0.9619565217391305,0.940677966101695,0.9673202614379086,354,14,1,222,396,0.6700507614213198,76,35,41,15,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,72,0.6666666666666666,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_only,0.03,0.9763113367174281,0.9800948040553714,0.9955156950672646,0.9646739130434783,0.9446808510638298,0.9694323144104804,355,13,1,222,402,0.6802030456852792,77,35,42,14,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,73,0.6759259259259259,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_only,0.04,0.9763113367174281,0.9800948040553714,0.9955156950672646,0.9646739130434783,0.9446808510638298,0.9694323144104804,355,13,1,222,408,0.6903553299492385,77,35,42,14,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,74,0.6851851851851852,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_only,0.05,0.9796954314720813,0.9828121953597193,0.9955156950672646,0.970108695652174,0.9527896995708155,0.9736842105263159,357,11,1,222,414,0.700507614213198,79,35,44,12,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,75,0.6944444444444444,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_only,0.06,0.9813874788494078,0.9841708910118931,0.9955156950672646,0.9728260869565217,0.9568965517241379,0.9758241758241758,358,10,1,222,419,0.7089678510998308,80,35,45,11,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,76,0.7037037037037037,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_only,0.07,0.9813874788494078,0.9841708910118931,0.9955156950672646,0.9728260869565217,0.9568965517241379,0.9758241758241758,358,10,1,222,425,0.7191201353637902,80,35,45,11,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,78,0.7222222222222222,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_only,0.08,0.9813874788494078,0.9841708910118931,0.9955156950672646,0.9728260869565217,0.9568965517241379,0.9758241758241758,358,10,1,222,431,0.7292724196277496,80,35,45,11,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,79,0.7314814814814815,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_only,0.09,0.9830795262267343,0.985529586664067,0.9955156950672646,0.9755434782608695,0.961038961038961,0.9779735682819384,359,9,1,222,437,0.739424703891709,81,35,46,10,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,80,0.7407407407407407,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
