model,n,threshold,accuracy,balanced_accuracy,f1,auc,sensitivity_high,specificity_low,tn,fp,fn,tp
concept_oracle,591,0.62,0.7055837563451777,0.6708239910313901,0.5756097560975609,0.7154781633846754,0.5291479820627802,0.8125,299,69,105,118
model_probs,591,0.5750000000000001,0.8730964467005076,0.8618760967050108,0.8291571753986332,0.8975433807759797,0.8161434977578476,0.907608695652174,334,34,41,182
model_plus_concepts_oracle,591,0.595,0.8663282571912013,0.8529074868395399,0.8183908045977012,0.9020642425424057,0.7982062780269058,0.907608695652174,334,34,45,178
