workflow,scope,prob_threshold,core_max,extra_review_n,extra_captured_error_n,extra_clean_review_n,n,control_rate,remaining_error_n,fn,fp,sensitivity,specificity,balanced_accuracy
internal_v109_external_v79strict,all_domains,0.25,0.325,28,6,22,699,0.7882689556509299,4,1,3,0.9962962962962963,0.993006993006993,0.9946516446516447
internal_v109_external_v79strict,internal_all,0.25,0.325,28,6,22,591,0.7732656514382402,4,1,3,0.9955156950672646,0.9918478260869565,0.9936817605771106
internal_v109_external_v79strict,old_data,0.25,0.325,4,0,4,285,0.7403508771929824,1,0,1,1.0,0.9930555555555556,0.9965277777777778
internal_v109_external_v79strict,third_batch,0.25,0.325,24,6,18,306,0.803921568627451,3,1,2,0.9878048780487805,0.9910714285714286,0.9894381533101045
internal_v109_external_v79strict,strict_external,0.25,0.325,0,0,0,108,0.8703703703703703,0,0,0,1.0,1.0,1.0
