dataset,group,model,threshold_from_dev,n,acc,bacc,f1,auc,sens_high,spec_low,tn,fp,fn,tp
dev,dev_all_old_plus_third,base162,0.595,591,0.8747884940778342,0.8632347923571846,0.8310502283105022,0.9011259504776759,0.8161434977578476,0.9103260869565217,335,33,41,182
dev,dev_all_old_plus_third,mean_core,0.5794889880559241,591,0.8087986463620981,0.7855088711249756,0.7315914489311164,0.860011698186781,0.6905829596412556,0.8804347826086957,324,44,69,154
dev,dev_all_old_plus_third,stack_plain,0.45499999999999996,591,0.8747884940778342,0.8632347923571846,0.8310502283105022,0.8983963735620978,0.8161434977578476,0.9103260869565217,335,33,41,182
dev,dev_all_old_plus_third,stack_balanced,0.5750000000000001,591,0.8747884940778342,0.8632347923571846,0.8310502283105022,0.8975433807759797,0.8161434977578476,0.9103260869565217,335,33,41,182
dev,old,base162,0.595,285,0.9228070175438596,0.9227245862884161,0.9214285714285714,0.9489263199369583,0.9148936170212766,0.9305555555555556,134,10,12,129
dev,old,mean_core,0.5794889880559241,285,0.8140350877192982,0.8135342789598109,0.8029739776951673,0.8737687155240348,0.7659574468085106,0.8611111111111112,124,20,33,108
dev,old,stack_plain,0.45499999999999996,285,0.9228070175438596,0.9227245862884161,0.9214285714285714,0.9429669030732861,0.9148936170212766,0.9305555555555556,134,10,12,129
dev,old,stack_balanced,0.5750000000000001,285,0.9228070175438596,0.9227245862884161,0.9214285714285714,0.9430654058313632,0.9148936170212766,0.9305555555555556,134,10,12,129
dev,third_all,base162,0.595,306,0.8300653594771242,0.7718314459930313,0.6708860759493671,0.8136977351916377,0.6463414634146342,0.8973214285714286,201,23,29,53
dev,third_all,mean_core,0.5794889880559241,306,0.803921568627451,0.7269163763066202,0.6052631578947368,0.818270905923345,0.5609756097560976,0.8928571428571429,200,24,36,46
dev,third_all,stack_plain,0.45499999999999996,306,0.8300653594771242,0.7718314459930313,0.6708860759493671,0.8124455574912891,0.6463414634146342,0.8973214285714286,201,23,29,53
dev,third_all,stack_balanced,0.5750000000000001,306,0.8300653594771242,0.7718314459930313,0.6708860759493671,0.8104311846689896,0.6463414634146342,0.8973214285714286,201,23,29,53
dev,third_adapt72,base162,0.595,72,0.7083333333333334,0.6964285714285714,0.7586206896551724,0.7183441558441558,0.75,0.6428571428571429,18,10,11,33
dev,third_adapt72,mean_core,0.5794889880559241,72,0.6527777777777778,0.6574675324675325,0.691358024691358,0.7353896103896104,0.6363636363636364,0.6785714285714286,19,9,16,28
dev,third_adapt72,stack_plain,0.45499999999999996,72,0.7083333333333334,0.6964285714285714,0.7586206896551724,0.7280844155844156,0.75,0.6428571428571429,18,10,11,33
dev,third_adapt72,stack_balanced,0.5750000000000001,72,0.7083333333333334,0.6964285714285714,0.7586206896551724,0.7305194805194805,0.75,0.6428571428571429,18,10,11,33
dev,third_holdout234,base162,0.595,234,0.8675213675213675,0.7299946294307196,0.5633802816901409,0.7302631578947367,0.5263157894736842,0.9336734693877551,183,13,18,20
dev,third_holdout234,mean_core,0.5794889880559241,234,0.8504273504273504,0.6985767991407089,0.5070422535211268,0.77671858216971,0.47368421052631576,0.923469387755102,181,15,20,18
dev,third_holdout234,stack_plain,0.45499999999999996,234,0.8675213675213675,0.7299946294307196,0.5633802816901409,0.7317400644468314,0.5263157894736842,0.9336734693877551,183,13,18,20
dev,third_holdout234,stack_balanced,0.5750000000000001,234,0.8675213675213675,0.7299946294307196,0.5633802816901409,0.7259667024704619,0.5263157894736842,0.9336734693877551,183,13,18,20
external,external_all,base162,0.595,108,0.6481481481481481,0.627485176142309,0.5365853658536586,0.6051621904429718,0.46808510638297873,0.7868852459016393,48,13,25,22
external,external_all,mean_core,0.5794889880559241,108,0.6851851851851852,0.6846878269968608,0.6530612244897959,0.67317753749564,0.6808510638297872,0.6885245901639344,42,19,15,32
external,external_all,stack_plain,0.45499999999999996,108,0.6296296296296297,0.6110917335193582,0.5238095238095238,0.6030694105336589,0.46808510638297873,0.7540983606557377,46,15,25,22
external,external_all,stack_balanced,0.5750000000000001,108,0.6388888888888888,0.6192884548308336,0.5301204819277109,0.6020230205790025,0.46808510638297873,0.7704918032786885,47,14,25,22
external,external_strict,base162,0.595,105,0.638095238095238,0.621973587674248,0.5365853658536586,0.6016140865737345,0.46808510638297873,0.7758620689655172,45,13,25,22
external,external_strict,mean_core,0.5794889880559241,105,0.6761904761904762,0.6766324284666178,0.6530612244897959,0.6661775495231108,0.6808510638297872,0.6724137931034483,39,19,15,32
external,external_strict,stack_plain,0.45499999999999996,105,0.6190476190476191,0.6047322083639032,0.5238095238095238,0.5975788701393985,0.46808510638297873,0.7413793103448276,43,15,25,22
external,external_strict,stack_balanced,0.5750000000000001,105,0.6285714285714286,0.6133528980190756,0.5301204819277109,0.5964783565663977,0.46808510638297873,0.7586206896551724,44,14,25,22
external,external_readable_auto,base162,0.595,79,0.6582278481012658,0.6337285902503293,0.5423728813559322,0.6245059288537549,0.48484848484848486,0.782608695652174,36,10,17,16
external,external_readable_auto,mean_core,0.5794889880559241,79,0.6962025316455697,0.7005928853754941,0.6666666666666666,0.6851119894598156,0.7272727272727273,0.6739130434782609,31,15,9,24
external,external_readable_auto,stack_plain,0.45499999999999996,79,0.6329113924050633,0.6119894598155468,0.5245901639344263,0.619235836627141,0.48484848484848486,0.7391304347826086,34,12,17,16
external,external_readable_auto,stack_balanced,0.5750000000000001,79,0.6455696202531646,0.6228590250329381,0.5333333333333333,0.6185770750988142,0.48484848484848486,0.7608695652173914,35,11,17,16
