align,pca_components,pca_explained,model,weighting,pseudo,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
coral,32,0.7667152881622314,rf_d5,none,p90,balanced_accuracy,0.4599999999999999,0.5950797872340425,0.5929824561403508,0.5950797872340425,0.6588235294117647,57,87,29,112,0.6221434200157605,0.5277777777777778,0.5477851412626439,0.5641025641025641,24,37,14,33,0.5333100802232298,0.5333333333333333,0.5493396918561996,0.5739130434782609,23,35,14,33,0.5253118121790169
coral,64,0.8869209289550781,rf_d5,none,p85,balanced_accuracy,0.4799999999999999,0.5375295508274232,0.5368421052631579,0.5375295508274232,0.5629139072847682,68,76,56,85,0.5377265563435776,0.5277777777777778,0.5477851412626439,0.5641025641025641,24,37,14,33,0.5378444366934076,0.5333333333333333,0.5493396918561996,0.5739130434782609,23,35,14,33,0.5297138664710198
none,200,0.9931529760360718,extra_d5,maxsim,none,balanced_accuracy,0.48999999999999994,0.5817080378250591,0.5824561403508772,0.5817080378250591,0.5475285171102662,94,50,69,72,0.6079590228526399,0.5648148148148148,0.5488315312173003,0.45977011494252873,41,20,27,20,0.5803976281827694,0.5619047619047619,0.5489728539985327,0.46511627906976744,39,19,27,20,0.5803374908290536
none,64,0.8869014978408813,rf_d5,none,none,balanced_accuracy,0.4799999999999999,0.6224143026004728,0.6210526315789474,0.6224143026004728,0.6625,71,73,35,106,0.6278565799842395,0.5462962962962963,0.5519707010812696,0.5333333333333333,31,30,19,28,0.5556330659225671,0.5428571428571428,0.5478723404255319,0.5384615384615384,29,29,19,28,0.5524578136463683
none,200,0.9931535720825195,logreg_c01,none,none,balanced_accuracy,0.24,0.59552304964539,0.5929824561403508,0.59552304964539,0.6704545454545454,51,93,23,118,0.5912135539795114,0.5370370370370371,0.5437739797697942,0.5283018867924528,30,31,19,28,0.5347052668294384,0.5428571428571428,0.5478723404255319,0.5384615384615384,29,29,19,28,0.5374174614820251
none,32,0.7666518688201904,svc_c1,none,none,balanced_accuracy,0.5399999999999999,0.6619385342789599,0.6631578947368421,0.6619385342789599,0.616,112,32,64,77,0.6861702127659575,0.5925925925925926,0.5490059295430764,0.3125,54,7,37,10,0.5059295430763865,0.580952380952381,0.5460381511371973,0.3125,51,7,37,10,0.4910124724871607
none,200,0.9931495189666748,logreg_c001,maxsim,none,balanced_accuracy,0.4799999999999999,0.5586583924349882,0.5578947368421052,0.5586583924349882,0.5855263157894737,70,74,52,89,0.5721040189125296,0.5555555555555556,0.545517963027555,0.4782608695652174,38,23,25,22,0.5305197070108127,0.5523809523809524,0.5443873807776962,0.4835164835164835,36,22,25,22,0.5359501100513573
mean,200,0.9931509494781494,rf_d5,none,none,balanced_accuracy,0.4799999999999999,0.5808215130023641,0.5789473684210527,0.5808215130023641,0.6407185628742516,58,86,34,107,0.6163810086682426,0.5,0.5378444366934078,0.5909090909090909,15,46,8,39,0.5284269271014997,0.5142857142857142,0.5442039618488628,0.6046511627906976,15,43,8,39,0.5352164343360234
diag,64,0.8869866728782654,extra_d5,none,none,balanced_accuracy,0.49999999999999994,0.677378841607565,0.6771929824561403,0.677378841607565,0.6805555555555556,95,49,43,98,0.7094661150512215,0.5370370370370371,0.5388908266480642,0.5098039215686274,32,29,21,26,0.5036623648412976,0.5428571428571428,0.5438371239911959,0.52,31,27,21,26,0.49999999999999994
none,64,0.8869317770004272,logreg_c001,none,p80,balanced_accuracy,0.5099999999999999,0.6278073286052009,0.6280701754385964,0.6278073286052009,0.6159420289855072,94,50,56,85,0.6544523246650906,0.5555555555555556,0.5552842692710149,0.52,34,27,21,26,0.5706313219393093,0.5428571428571428,0.5438371239911959,0.52,31,27,21,26,0.5612619222303741
none,200,0.9931588768959045,logreg_c01,top5sim,none,balanced_accuracy,0.21999999999999997,0.5989213947990544,0.5964912280701754,0.5989213947990544,0.670487106017192,53,91,24,117,0.617366036249015,0.5185185185185185,0.5322636902685735,0.5357142857142857,26,35,17,30,0.5685385420299964,0.5333333333333333,0.5432868672046955,0.5504587155963303,26,32,17,30,0.5715333822450477
coral,32,0.7666369080543518,extra_d5,top5sim,none,balanced_accuracy,0.4799999999999999,0.5812647754137116,0.5789473684210527,0.5812647754137116,0.653179190751445,52,92,28,113,0.5782111899133175,0.5277777777777778,0.550226717823509,0.5714285714285714,23,38,13,34,0.5653993721660272,0.5238095238095238,0.5427366104181952,0.576271186440678,21,37,13,34,0.5590608950843726
none,32,0.766399621963501,rf_d5,maxsim,none,balanced_accuracy,0.4799999999999999,0.6392582742316785,0.6385964912280702,0.6392582742316785,0.6578073089700996,83,61,42,99,0.6649428684003152,0.5555555555555556,0.5430763864666899,0.4666666666666667,39,22,26,21,0.5423787931635856,0.5523809523809524,0.5423697725605283,0.47191011235955055,37,21,26,21,0.5341159207630227
