fold_id,best_c,best_val_primary_metric,test_case_mean_primary_metric,test_case_mean_accuracy,test_case_mean_balanced_accuracy
1,,0.5809523809523809,0.5765873015873016,0.5833333333333334,0.5833333333333334
2,,0.4784632034632035,0.35202020202020207,0.375,0.375
3,,0.5740740740740741,0.5247835497835498,0.5833333333333334,0.5833333333333334
4,,0.4166666666666667,0.5345238095238095,0.5416666666666666,0.5416666666666666
5,,0.4682539682539682,0.5676406926406926,0.5833333333333334,0.5833333333333334
