risk_policy,prediction_policy,target_coverage,pass_n,pass_rate,review_n,review_rate,pass_accuracy,pass_balanced_accuracy,pass_sensitivity,pass_specificity,pass_tn,pass_fp,pass_fn,pass_tp
main_uncertainty_only,main,0.2,22,0.2037037037037037,86,0.7962962962962963,0.7727272727272727,0.6875,0.375,1.0,14,0,5,3
main_uncertainty_only,safety_switch,0.2,22,0.2037037037037037,86,0.7962962962962963,0.7727272727272727,0.6875,0.375,1.0,14,0,5,3
main_uncertainty_only,main,0.25,27,0.25,81,0.75,0.7037037037037037,0.6205882352941177,0.3,0.9411764705882353,16,1,7,3
main_uncertainty_only,safety_switch,0.25,27,0.25,81,0.75,0.7407407407407407,0.6705882352941177,0.4,0.9411764705882353,16,1,6,4
main_uncertainty_only,main,0.3,32,0.2962962962962963,76,0.7037037037037037,0.65625,0.575,0.25,0.9,18,2,9,3
main_uncertainty_only,safety_switch,0.3,32,0.2962962962962963,76,0.7037037037037037,0.6875,0.6166666666666667,0.3333333333333333,0.9,18,2,8,4
main_uncertainty_only,main,0.35,38,0.35185185185185186,70,0.6481481481481481,0.6578947368421053,0.5654761904761905,0.21428571428571427,0.9166666666666666,22,2,11,3
main_uncertainty_only,safety_switch,0.35,38,0.35185185185185186,70,0.6481481481481481,0.6842105263157895,0.6011904761904762,0.2857142857142857,0.9166666666666666,22,2,10,4
main_uncertainty_only,main,0.39999999999999997,43,0.39814814814814814,65,0.6018518518518519,0.6511627906976745,0.556712962962963,0.1875,0.9259259259259259,25,2,13,3
main_uncertainty_only,safety_switch,0.39999999999999997,43,0.39814814814814814,65,0.6018518518518519,0.6744186046511628,0.587962962962963,0.25,0.9259259259259259,25,2,12,4
main_uncertainty_only,main,0.44999999999999996,49,0.4537037037037037,59,0.5462962962962963,0.6326530612244898,0.5456140350877193,0.15789473684210525,0.9333333333333333,28,2,16,3
main_uncertainty_only,safety_switch,0.44999999999999996,49,0.4537037037037037,59,0.5462962962962963,0.673469387755102,0.5982456140350877,0.2631578947368421,0.9333333333333333,28,2,14,5
main_uncertainty_only,main,0.49999999999999994,54,0.5,54,0.5,0.6296296296296297,0.5596590909090909,0.18181818181818182,0.9375,30,2,18,4
main_uncertainty_only,safety_switch,0.49999999999999994,54,0.5,54,0.5,0.6666666666666666,0.6122159090909091,0.3181818181818182,0.90625,29,3,15,7
main_uncertainty_only,main,0.5499999999999999,59,0.5462962962962963,49,0.4537037037037037,0.5932203389830508,0.5261904761904762,0.16666666666666666,0.8857142857142857,31,4,20,4
main_uncertainty_only,safety_switch,0.5499999999999999,59,0.5462962962962963,49,0.4537037037037037,0.6610169491525424,0.6160714285714286,0.375,0.8571428571428571,30,5,15,9
main_uncertainty_only,main,0.5999999999999999,65,0.6018518518518519,43,0.39814814814814814,0.6153846153846154,0.5223577235772358,0.16666666666666666,0.8780487804878049,36,5,20,4
main_uncertainty_only,safety_switch,0.5999999999999999,65,0.6018518518518519,43,0.39814814814814814,0.6615384615384615,0.6021341463414633,0.375,0.8292682926829268,34,7,15,9
main_uncertainty_only,main,0.6499999999999999,70,0.6481481481481481,38,0.35185185185185186,0.5857142857142857,0.5,0.2,0.8,36,9,20,5
