n,base_accuracy,base_balanced_accuracy,base_auc,auto_n,auto_rate,review_n,review_rate,fp_flip_n,fn_review_n,rescued_n,hurt_n,rescued_fn_n,rescued_fp_n,hurt_fn_n,hurt_fp_n,auto_accuracy,auto_balanced_accuracy,auto_f1,auto_sensitivity_high,auto_specificity_low,auto_tn,auto_fp,auto_fn,auto_tp,auto_auc,system_if_review_corrected_n,system_if_review_corrected_accuracy,system_if_review_corrected_balanced_accuracy,system_if_review_corrected_f1,system_if_review_corrected_sensitivity_high,system_if_review_corrected_specificity_low,system_if_review_corrected_tn,system_if_review_corrected_fp,system_if_review_corrected_fn,system_if_review_corrected_tp,system_if_review_corrected_auc,base_candidate,base_threshold,base_selection_score,fn_signal,fn_threshold,fp_low_signal,fp_threshold,scope
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,0,79,0,0,0,0,0,0,87.30%,87.35%,0.8320413436692506,0.875,0.8719512195121951,286,42,23,161,0.91141967126193,591,89.00%,89.14%,0.8602150537634409,0.8968609865470852,0.8858695652173914,326,42,23,200,0.8747806589978553,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,prob_mean_core,0.3241438788821058,internal_old_third_rule_selected
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,0,79,0,0,0,0,0,0,87.30%,87.35%,0.8320413436692506,0.875,0.8719512195121951,286,42,23,161,0.91141967126193,591,89.00%,89.14%,0.8602150537634409,0.8968609865470852,0.8858695652173914,326,42,23,200,0.8747806589978553,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,prob_mean_core,0.4023282146160868,internal_old_third_rule_selected
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,0,79,0,0,0,0,0,0,87.30%,87.35%,0.8320413436692506,0.875,0.8719512195121951,286,42,23,161,0.91141967126193,591,89.00%,89.14%,0.8602150537634409,0.8968609865470852,0.8858695652173914,326,42,23,200,0.8747806589978553,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,robust_prob,0.12004962132072165,internal_old_third_rule_selected
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,0,79,0,0,0,0,0,0,87.30%,87.35%,0.8320413436692506,0.875,0.8719512195121951,286,42,23,161,0.91141967126193,591,89.00%,89.14%,0.8602150537634409,0.8968609865470852,0.8858695652173914,326,42,23,200,0.8747806589978553,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,robust_prob,0.183862755116477,internal_old_third_rule_selected
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,0,79,0,0,0,0,0,0,87.30%,87.35%,0.8320413436692506,0.875,0.8719512195121951,286,42,23,161,0.91141967126193,591,89.00%,89.14%,0.8602150537634409,0.8968609865470852,0.8858695652173914,326,42,23,200,0.8747806589978553,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,robust_prob,0.2433131844763915,internal_old_third_rule_selected
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,0,79,0,0,0,0,0,0,87.30%,87.35%,0.8320413436692506,0.875,0.8719512195121951,286,42,23,161,0.91141967126193,591,89.00%,89.14%,0.8602150537634409,0.8968609865470852,0.8858695652173914,326,42,23,200,0.8747806589978553,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,robust_prob,0.3205360337064243,internal_old_third_rule_selected
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,0,79,0,0,0,0,0,0,87.30%,87.35%,0.8320413436692506,0.875,0.8719512195121951,286,42,23,161,0.91141967126193,591,89.00%,89.14%,0.8602150537634409,0.8968609865470852,0.8858695652173914,326,42,23,200,0.8747806589978553,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,robust_prob,0.3959889528559579,internal_old_third_rule_selected
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,0,79,0,0,0,0,0,0,87.30%,87.35%,0.8320413436692506,0.875,0.8719512195121951,286,42,23,161,0.91141967126193,591,89.00%,89.14%,0.8602150537634409,0.8968609865470852,0.8858695652173914,326,42,23,200,0.8747806589978553,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,stack_gb_d2_multiview,0.0489054291630551,internal_old_third_rule_selected
591,78.68%,78.55%,86.00%,531,89.85%,60,10.15%,34,60,33,1,0,33,1,0,87.57%,87.81%,0.8398058252427184,0.8871794871794871,0.8690476190476191,292,44,22,173,0.9168192918192918,591,88.83%,89.09%,0.8589743589743589,0.9013452914798207,0.8804347826086957,324,44,22,201,0.8868444141158122,prob_mean_core,0.49499999999999994,0.7855149639305907,stack_gb_d2_multiview,0.22377677631433102,stack_gb_d2_multiview,0.1290604217046331,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,523,88.49%,68,11.51%,0,68,0,0,0,0,0,0,87.57%,87.76%,0.8539325842696629,0.8878504672897196,0.8673139158576052,268,41,24,190,0.9205834316305237,591,89.00%,89.05%,0.8596112311015118,0.8923766816143498,0.8885869565217391,327,41,24,199,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,prob_mean_core,0.4773824647710958,stack_gb_d2_multiview,0.0489054291630551,internal_old_third_rule_selected
