feature_set,model,target_accept_acc,selection_mode,correct_auc,accept_n,accept_frac,review_n,review_frac,review_error_precision,error_recall_in_review,fn_recall_in_review,hardcore_recall_in_review,accept_accuracy,accept_balanced_accuracy,accept_specificity_low,accept_sensitivity_high,accept_tn,accept_fp,accept_fn,accept_tp,review_base_n,review_base_accuracy,review_base_balanced_accuracy,review_base_specificity_low,review_base_sensitivity_high,review_base_tn,review_base_fp,review_base_fn,review_base_tp,final_if_review_corrected_n,final_if_review_corrected_accuracy,final_if_review_corrected_balanced_accuracy,final_if_review_corrected_specificity_low,final_if_review_corrected_sensitivity_high,final_if_review_corrected_tn,final_if_review_corrected_fp,final_if_review_corrected_fn,final_if_review_corrected_tp
raw_plus_all_review,gb_small,0.9,wilson90,0.5718486232184861,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
raw_outputs,extra_shallow,0.95,raw,0.6068216410682163,9,0.031578947368421054,276,0.968421052631579,0.2391304347826087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,0,6,276,0.7608695652173914,0.7609141055949566,0.7588652482269503,0.762962962962963,107,34,32,103,285,1.0,1.0,1.0,1.0,144,0,0,141
raw_plus_simple_review,extra_shallow,0.95,raw,0.6216272312162723,5,0.017543859649122806,280,0.9824561403508771,0.2357142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,3,280,0.7642857142857142,0.7643396611553378,0.7605633802816901,0.7681159420289855,108,34,32,106,285,1.0,1.0,1.0,1.0,144,0,0,141
raw_plus_all_review,extra_shallow,0.95,raw,0.622734191227342,4,0.014035087719298246,281,0.9859649122807017,0.23487544483985764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,3,281,0.7651245551601423,0.7651768521333738,0.7622377622377622,0.7681159420289855,109,34,32,106,285,1.0,1.0,1.0,1.0,144,0,0,141
raw_plus_all_review,logreg_l2,0.95,raw,0.578870900788709,2,0.007017543859649123,283,0.9929824561403509,0.2332155477031802,1.0,1.0,1.0,1.0,,,1.0,0,0,0,2,283,0.7667844522968198,0.7668365307753797,0.7638888888888888,0.7697841726618705,110,34,32,107,285,1.0,1.0,1.0,1.0,144,0,0,141
raw_outputs,rf_shallow,0.95,raw,0.6176836861768369,24,0.08421052631578947,261,0.9157894736842105,0.23754789272030652,0.9393939393939394,0.90625,0.9384615384615385,0.8333333333333334,0.8428571428571429,0.9,0.7857142857142857,9,1,3,11,261,0.7624521072796935,0.7626924432953344,0.753731343283582,0.7716535433070866,101,33,29,98,285,0.9859649122807017,0.9858894799054374,0.9930555555555556,0.9787234042553191,143,1,3,138
raw_plus_simple_review,rf_shallow,0.95,raw,0.6312439463124394,20,0.07017543859649122,265,0.9298245614035088,0.2339622641509434,0.9393939393939394,0.90625,0.9384615384615385,0.8,0.8,0.9,0.7,9,1,3,7,265,0.7660377358490567,0.7661786487410276,0.753731343283582,0.7786259541984732,101,33,29,102,285,0.9859649122807017,0.9858894799054374,0.9930555555555556,0.9787234042553191,143,1,3,138
raw_plus_all_review,rf_shallow,0.95,raw,0.6270236612702366,19,0.06666666666666667,266,0.9333333333333333,0.23308270676691728,0.9393939393939394,0.90625,0.9384615384615385,0.7894736842105263,0.7944444444444444,0.8888888888888888,0.7,8,1,3,7,266,0.7669172932330827,0.7670907548770144,0.7555555555555555,0.7786259541984732,102,33,29,102,285,0.9859649122807017,0.9858894799054374,0.9930555555555556,0.9787234042553191,143,1,3,138
raw_plus_all_review,gb_small,0.95,raw,0.5718486232184861,18,0.06315789473684211,267,0.9368421052631579,0.23220973782771537,0.9393939393939394,0.90625,0.9384615384615385,0.7777777777777778,0.7777777777777777,0.8888888888888888,0.6666666666666666,8,1,3,6,267,0.7677902621722846,0.7679292929292929,0.7555555555555555,0.7803030303030303,102,33,29,103,285,0.9859649122807017,0.9858894799054374,0.9930555555555556,0.9787234042553191,143,1,3,138
raw_outputs,logreg_l2,0.95,raw,0.5199252801992528,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
