profile,mode,repeat_adapt,C,threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_auc,holdout_tn,holdout_fp,holdout_fn,holdout_tp,train_n_old,train_n_adapt,holdout_n,oof_accuracy,oof_balanced_accuracy,oof_f1,oof_auc,oof_tn,oof_fp,oof_fn,oof_tp
adapt60_balanced,old_plus_adapt_logreg,2,0.0003,0.42999999999999994,0.6463414634146342,0.6983544805709754,0.48520710059171596,0.7744845360824743,118,76,11,41,285.0,60.0,246.0,0.6550724637681159,0.656331921758419,0.6972010178117048,0.7108960139813134,89.0,85.0,34.0,137.0
adapt84_balanced,old_plus_adapt_logreg,8,0.0003,0.5499999999999999,0.7612612612612613,0.6983516483516483,0.4752475247524752,0.7557692307692307,145,37,16,24,285.0,84.0,222.0,0.6504065040650406,0.6498325401022387,0.6217008797653959,0.6902873259298432,134.0,52.0,77.0,106.0
adapt96_high_focus,old_plus_adapt_logreg,4,0.0003,0.41999999999999993,0.6142857142857143,0.6973684210526316,0.2831858407079646,0.7702631578947368,113,77,4,16,285.0,96.0,210.0,0.6614173228346457,0.6518237670891681,0.7152317880794702,0.7031604582941273,90.0,88.0,41.0,162.0
adapt84_balanced,existing_wpc64_old_only,0,,,0.7432432432432432,0.6971153846153846,0.4672897196261682,0.7255494505494505,140,42,15,25,,,,,,,,,,,
adapt72_high_focus,old_plus_adapt_logreg,8,0.001,0.58,0.7564102564102564,0.6954887218045113,0.44660194174757284,0.7212674543501612,154,42,15,23,285.0,72.0,234.0,0.6610644257703081,0.6637806411062225,0.6430678466076696,0.712382149591452,127.0,45.0,76.0,109.0
adapt48_balanced,old_plus_adapt_logreg,1,0.0003,0.4799999999999999,0.7364341085271318,0.6953448275862069,0.5142857142857142,0.7769827586206898,154,46,22,36,285.0,48.0,258.0,0.6636636636636637,0.6642857142857143,0.6836158192090396,0.7086940836940837,100.0,68.0,44.0,121.0
adapt72_balanced,old_plus_adapt_logreg,4,0.001,0.42999999999999994,0.6538461538461539,0.6942645698427382,0.46357615894039733,0.767113783533765,118,70,11,35,285.0,72.0,234.0,0.6666666666666666,0.6673728813559322,0.6909090909090909,0.7092592592592594,105.0,75.0,44.0,133.0
adapt84_balanced,old_plus_adapt_logreg,12,0.0003,0.4799999999999999,0.6891891891891891,0.6934065934065934,0.448,0.7489010989010989,125,57,12,28,285.0,84.0,222.0,0.6720867208672087,0.6723955579058699,0.6824146981627297,0.7091192196956344,118.0,68.0,53.0,130.0
adapt72_balanced,old_plus_adapt_logreg,12,0.0003,0.4099999999999999,0.6367521367521367,0.691836262719704,0.4585987261146497,0.767345050878816,113,75,10,36,285.0,72.0,234.0,0.6470588235294118,0.6480225988700565,0.6818181818181818,0.6942247332077841,96.0,84.0,42.0,135.0
adapt84_balanced,old_plus_adapt_logreg,4,0.0003,0.5099999999999999,0.7342342342342343,0.6916208791208791,0.45871559633027525,0.7652472527472528,138,44,15,25,285.0,84.0,222.0,0.6449864498644986,0.6449850167459898,0.6430517711171662,0.7036253598918856,120.0,66.0,65.0,118.0
adapt72_balanced,old_plus_adapt_logreg,2,0.0003,0.42999999999999994,0.6196581196581197,0.6894079555966698,0.4539877300613497,0.7896623496762258,108,80,9,37,285.0,72.0,234.0,0.6526610644257703,0.6538606403013183,0.6945812807881774,0.7105461393596987,92.0,88.0,36.0,141.0
adapt72_balanced,old_plus_adapt_logreg,8,0.001,0.49999999999999994,0.7094017094017094,0.6877890841813137,0.46875,0.7592506938020351,136,52,16,30,285.0,72.0,234.0,0.6526610644257703,0.6528248587570622,0.6574585635359116,0.6974890144381669,114.0,66.0,58.0,119.0
adapt72_balanced,old_plus_adapt_logreg,12,0.003,0.43999999999999995,0.6666666666666666,0.6858233117483812,0.4583333333333333,0.7390148011100833,123,65,13,33,285.0,72.0,234.0,0.6246498599439776,0.6254237288135593,0.654639175257732,0.6703703703703703,96.0,84.0,50.0,127.0
adapt72_balanced,old_plus_adapt_logreg,1,0.001,0.4599999999999999,0.6923076923076923,0.6853607770582794,0.4626865671641791,0.7629509713228492,131,57,15,31,285.0,72.0,234.0,0.6414565826330533,0.642090395480226,0.6649214659685864,0.6966101694915254,102.0,78.0,50.0,127.0
adapt84_balanced,old_plus_adapt_logreg,2,0.0003,0.5399999999999999,0.7837837837837838,0.6828296703296703,0.4666666666666667,0.7649725274725274,153,29,19,21,285.0,84.0,222.0,0.6856368563685636,0.6850872554204125,0.6608187134502924,0.7248369469416535,140.0,46.0,70.0,113.0
adapt48_balanced,old_plus_adapt_logreg,4,0.0003,0.5599999999999999,0.7829457364341085,0.6825,0.5087719298245614,0.7699137931034483,173,27,29,29,285.0,48.0,258.0,0.6666666666666666,0.665530303030303,0.615916955017301,0.6810606060606061,133.0,35.0,76.0,89.0
adapt60_balanced,old_plus_adapt_logreg,2,0.001,0.6,0.8211382113821138,0.6824940523394132,0.5111111111111111,0.7471252973830294,179,15,29,23,285.0,60.0,246.0,0.6695652173913044,0.6680782415809638,0.5985915492957746,0.7080056462996572,146.0,28.0,86.0,85.0
adapt72_balanced,old_plus_adapt_logreg,2,0.001,0.57,0.7777777777777778,0.6810823311748382,0.48,0.7676919518963922,158,30,22,24,285.0,72.0,234.0,0.6946778711484594,0.6938323917137477,0.658307210031348,0.7340552416823604,143.0,37.0,72.0,105.0
adapt72_balanced,old_plus_adapt_logreg,2,0.003,0.6,0.7777777777777778,0.6810823311748382,0.48,0.7424838112858464,158,30,22,24,285.0,72.0,234.0,0.6610644257703081,0.660216572504708,0.6206896551724138,0.7099811676082863,137.0,43.0,78.0,99.0
adapt72_high_focus,old_plus_adapt_logreg,8,0.0003,0.5199999999999999,0.6965811965811965,0.6809881847475833,0.4132231404958678,0.7353651987110634,138,58,13,25,285.0,72.0,234.0,0.6722689075630253,0.6731615336266499,0.6722689075630253,0.7077309868007542,120.0,52.0,65.0,120.0
adapt48_balanced,old_plus_adapt_logreg,2,0.001,0.63,0.8178294573643411,0.6805172413793104,0.5154639175257731,0.7518103448275861,186,14,33,25,285.0,48.0,258.0,0.6516516516516516,0.6498376623376623,0.5606060606060606,0.6849206349206348,143.0,25.0,91.0,74.0
adapt84_balanced,old_plus_adapt_logreg,2,0.003,0.58,0.7792792792792793,0.6800824175824176,0.46153846153846156,0.721978021978022,152,30,19,21,285.0,84.0,222.0,0.6639566395663956,0.6633174687114402,0.6331360946745562,0.7196662553616545,138.0,48.0,76.0,107.0
adapt84_balanced,old_plus_adapt_logreg,4,0.003,0.63,0.7792792792792793,0.6800824175824176,0.46153846153846156,0.7217032967032967,152,30,19,21,285.0,84.0,222.0,0.6666666666666666,0.6655649568129738,0.61198738170347,0.7061519478230214,149.0,37.0,86.0,97.0
adapt60_balanced,old_plus_adapt_logreg,1,0.0003,0.5199999999999999,0.7723577235772358,0.6797184773988898,0.4909090909090909,0.7735923869944489,163,31,25,27,285.0,60.0,246.0,0.672463768115942,0.6721617261544666,0.6586102719033232,0.7160717886670699,123.0,51.0,62.0,109.0
adapt72_balanced,old_plus_adapt_logreg,1,0.003,0.6,0.7863247863247863,0.6781914893617021,0.4791666666666667,0.7402867715078632,161,27,23,23,285.0,72.0,234.0,0.6610644257703081,0.660075329566855,0.6134185303514377,0.7119585687382297,140.0,40.0,81.0,96.0
adapt96_high_focus,old_plus_adapt_logreg,8,0.0003,0.5299999999999999,0.7,0.6776315789473684,0.29213483146067415,0.7555263157894736,134,56,7,13,285.0,96.0,210.0,0.6430446194225722,0.6459982288149666,0.6421052631578947,0.6985941218796702,123.0,55.0,81.0,122.0
adapt60_balanced,old_plus_adapt_logreg,1,0.001,0.58,0.8130081300813008,0.6773394131641555,0.5,0.7480174464710547,177,17,29,23,285.0,60.0,246.0,0.6579710144927536,0.6567856422665861,0.6013513513513513,0.692343886536264,138.0,36.0,82.0,89.0
adapt48_balanced,old_plus_adapt_logreg,8,0.0003,0.49999999999999994,0.6976744186046512,0.6764655172413794,0.4868421052631579,0.7519827586206896,143,57,21,37,285.0,48.0,258.0,0.6396396396396397,0.6397727272727273,0.6428571428571429,0.6597763347763348,105.0,63.0,57.0,108.0
adapt48_balanced,old_plus_adapt_logreg,12,0.0003,0.4699999999999999,0.6782945736434108,0.6762068965517242,0.484472049689441,0.7411206896551724,136,64,19,39,285.0,48.0,258.0,0.6456456456456456,0.6460497835497836,0.6589595375722543,0.678968253968254,101.0,67.0,51.0,114.0
adapt72_balanced,old_plus_adapt_logreg,4,0.003,0.4099999999999999,0.6367521367521367,0.6754162812210915,0.4444444444444444,0.7412118408880666,115,73,12,34,285.0,72.0,234.0,0.6470588235294118,0.6478813559322034,0.676923076923077,0.6892969240426867,99.0,81.0,45.0,132.0
adapt96_high_focus,old_plus_adapt_logreg,4,0.001,0.58,0.7761904761904762,0.675,0.3188405797101449,0.748421052631579,152,38,9,11,285.0,96.0,210.0,0.6535433070866141,0.6575801184479991,0.6470588235294118,0.702745336801904,128.0,50.0,82.0,121.0
adapt72_balanced,old_plus_adapt_logreg,12,0.001,0.48999999999999994,0.688034188034188,0.6744912118408881,0.45112781954887216,0.7521970397779834,131,57,16,30,285.0,72.0,234.0,0.6498599439775911,0.6499058380414313,0.6498599439775911,0.6963276836158192,116.0,64.0,61.0,116.0
