policy,eval_domain,review_budget,selected_base_model,selected_router,review_n,review_rate,auto_n,auto_rate,captured_errors,total_base_errors,error_capture_rate,review_clean_n,auto_accuracy,auto_balanced_accuracy,auto_f1,auto_sensitivity_high,auto_specificity_low,auto_tn,auto_fp,auto_fn,auto_tp,auto_auc,system_n,system_accuracy,system_balanced_accuracy,system_f1,system_sensitivity_high,system_specificity_low,system_tn,system_fp,system_fn,system_tp,system_auc
dev_stable_router_all_domains,all_three_domains,0.5,domain_specific,domain_specific,347,0.4985632183908046,349,0.5014367816091954,86,136,0.6323529411764706,261,0.8567335243553008,0.835653644147061,0.7899159663865546,0.7642276422764228,0.9070796460176991,205,21,29,94,0.8934815454349234,696,0.9281609195402298,0.9216484089723527,0.9060150375939849,0.8925925925925926,0.9507042253521126,405,21,29,241,0.8477743001217182
shift_aware_rank_fusion_candidate,all_three_domains,0.5,domain_specific,domain_specific,347,0.4985632183908046,349,0.5014367816091954,103,155,0.6645161290322581,244,0.8510028653295129,0.8379701640271493,0.7952755905511811,0.7890625,0.8868778280542986,196,25,27,101,0.8905189479638009,696,0.9252873563218391,0.9206572769953052,0.9033457249070632,0.9,0.9413145539906104,401,25,27,243,0.8481481481481483
shift_aware_concept_directional_candidate,all_three_domains,0.5,domain_specific,domain_specific,347,0.4985632183908046,349,0.5014367816091954,103,155,0.6645161290322581,244,0.8510028653295129,0.8369274136715996,0.7952755905511811,0.7829457364341085,0.8909090909090909,196,24,28,101,0.8890415785764623,696,0.9252873563218391,0.9199791340636411,0.9029850746268657,0.8962962962962963,0.9436619718309859,402,24,28,242,0.8481481481481483
shift_aware_image_directional_candidate,all_three_domains,0.5,domain_specific,domain_specific,347,0.4985632183908046,349,0.5014367816091954,86,136,0.6323529411764706,261,0.8567335243553008,0.8233988355167394,0.7747747747747747,0.7166666666666667,0.9301310043668122,213,16,34,86,0.8887918486171762,696,0.9281609195402298,0.9182576943140324,0.9042145593869731,0.8740740740740741,0.9624413145539906,410,16,34,236,0.8477743001217182
baseline_low_conf_dev_selected,old_data,0.5,prob_mean_core,single:low_conf,142,0.4982456140350877,143,0.5017543859649123,48,61,0.7868852459016393,94,0.9090909090909091,0.9064102564102564,0.9182389937106918,0.9358974358974359,0.8769230769230769,57,8,5,73,0.9451676528599606,285,0.9543859649122807,0.9544917257683214,0.9543859649122807,0.9645390070921985,0.9444444444444444,136,8,5,136,0.8737687155240348
dev_stable_router_all_domains,old_data,0.5,robust_prob,single:v143_pca_any,142,0.4982456140350877,143,0.5017543859649123,24,45,0.5333333333333333,118,0.8531468531468531,0.8517430473952213,0.8421052631578947,0.8115942028985508,0.8918918918918919,66,8,13,56,0.9142185663924796,285,0.9263157894736842,0.9261229314420804,0.924187725631769,0.9078014184397163,0.9444444444444444,136,8,13,128,0.9036643026004727
shift_aware_image_directional_candidate,old_data,0.5,robust_prob,single:v143_pca_any,142,0.4982456140350877,143,0.5017543859649123,24,45,0.5333333333333333,118,0.8531468531468531,0.8517430473952213,0.8421052631578947,0.8115942028985508,0.8918918918918919,66,8,13,56,0.9142185663924796,285,0.9263157894736842,0.9261229314420804,0.924187725631769,0.9078014184397163,0.9444444444444444,136,8,13,128,0.9036643026004727
shift_aware_concept_directional_candidate,old_data,0.5,robust_prob,single:v143_pca_any,142,0.4982456140350877,143,0.5017543859649123,24,45,0.5333333333333333,118,0.8531468531468531,0.8517430473952213,0.8421052631578947,0.8115942028985508,0.8918918918918919,66,8,13,56,0.9142185663924796,285,0.9263157894736842,0.9261229314420804,0.924187725631769,0.9078014184397163,0.9444444444444444,136,8,13,128,0.9036643026004727
shift_aware_rank_fusion_candidate,old_data,0.5,robust_prob,single:v143_pca_any,142,0.4982456140350877,143,0.5017543859649123,24,45,0.5333333333333333,118,0.8531468531468531,0.8517430473952213,0.8421052631578947,0.8115942028985508,0.8918918918918919,66,8,13,56,0.9142185663924796,285,0.9263157894736842,0.9261229314420804,0.924187725631769,0.9078014184397163,0.9444444444444444,136,8,13,128,0.9036643026004727
dev_stable_router_all_domains,strict_external,0.5,robust_prob,single:v143_pca_any,52,0.49523809523809526,53,0.5047619047619047,19,32,0.59375,33,0.7547169811320755,0.7477678571428572,0.6976744186046512,0.7142857142857143,0.78125,25,7,6,15,0.7172619047619048,105,0.8761904761904762,0.8758253851797506,0.8631578947368421,0.8723404255319149,0.8793103448275862,51,7,6,41,0.6621423330887748
