target_domain,reference_domain,n_target,domain_auc_cv,mean_abs_median_shift_iqr,mean_outside_ref_05_95_rate,quality_proxy_mean,quality_proxy_p90,batch_shift_index,shift_category,selected_workflow,selected_component,deployment_action,control_rate,auto_rate,auto_pass_error_risk,auto_pass_error_risk_wilson_high,balanced_accuracy,sensitivity,specificity,fn,fp,remaining_error_n
old_data,third_batch,285,0.5317165462676299,0.8519218491750002,0.0747863247863248,0.0110613962923415,0.0402634521887978,0.9694861165212963,within_internal_shift,Batch-adaptive main,standard v50 component,auto workflow allowed with standard review threshold,0.7263157894736842,0.2736842105263158,0.0128205128205128,0.0691085700170222,0.9965277777777778,1.0,0.9930555555555556,0,1,1
third_batch,old_data,306,0.5169705309024195,0.3854242570379287,0.0988562091503268,0.0219499023231179,0.0739235978264518,0.5232008994137931,within_internal_shift,Batch-adaptive main,standard v50 component,auto workflow allowed with standard review threshold,0.7254901960784313,0.2745098039215686,0.1071428571428571,0.191246145163445,0.952852787456446,0.9146341463414634,0.9910714285714286,7,2,9
strict_external,development_all,108,0.9945008460236888,1.0837718999485129,0.4398148148148147,0.3060960602052423,0.4876543209876543,2.3241836209922586,severe_shift,Batch-adaptive main,severe-shift v79-light component,raise review threshold and flag acquisition shift,0.8240740740740741,0.1759259259259259,0.0526315789473684,0.2463873116689879,0.9918032786885246,1.0,0.9836065573770492,0,1,1
