n,stage1_accept_n,stage1_accept_rate,stage2_accept_n,stage2_accept_rate,reject_n,reject_rate,automated_n,automated_rate,rescued_n,hurt_n,rescued_fn_n,rescued_fp_n,hurt_fn_n,hurt_fp_n,stage1_n,stage1_accuracy,stage1_balanced_accuracy,stage1_f1,stage1_sensitivity_high,stage1_specificity_low,stage1_tn,stage1_fp,stage1_fn,stage1_tp,stage1_auc,stage2_n,stage2_accuracy,stage2_balanced_accuracy,stage2_f1,stage2_sensitivity_high,stage2_specificity_low,stage2_tn,stage2_fp,stage2_fn,stage2_tp,stage2_auc,automated_accuracy,automated_balanced_accuracy,automated_f1,automated_sensitivity_high,automated_specificity_low,automated_tn,automated_fp,automated_fn,automated_tp,automated_auc,system_if_reject_corrected_n,system_if_reject_corrected_accuracy,system_if_reject_corrected_balanced_accuracy,system_if_reject_corrected_f1,system_if_reject_corrected_sensitivity_high,system_if_reject_corrected_specificity_low,system_if_reject_corrected_tn,system_if_reject_corrected_fp,system_if_reject_corrected_fn,system_if_reject_corrected_tp,system_if_reject_corrected_auc,feature_set,gate,corrector,target_accept_acc,corrector_conf_min,scope
591,557,94.25%,34,5.75%,0,0.00%,591,100.00%,0,0,0,0,0,0,557,87.97%,87.04%,0.8408551068883611,83.10%,90.99%,313,31,36,177,0.8792171634457909,34,29.41%,50.00%,0.45454545454545453,100.00%,0.00%,0,24,0,10,0.6,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,86.63%,591,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,0.8662994735815948,core,gate_logreg,corr_extra,0.88,0.0,internal_nested_old_third
591,385,65.14%,206,34.86%,0,0.00%,591,100.00%,0,0,0,0,0,0,385,87.79%,87.57%,0.8459016393442623,86.58%,88.56%,209,27,20,129,0.9151973609373223,206,78.64%,78.58%,0.725,78.38%,78.79%,104,28,16,58,0.8058968058968059,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,88.78%,591,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,0.8877583349580814,multiview,base_conf_core,corr_extra,0.88,0.0,internal_nested_old_third
591,331,56.01%,260,43.99%,0,0.00%,591,100.00%,0,0,0,0,0,0,331,90.03%,89.34%,0.8641975308641975,86.78%,91.90%,193,17,16,105,0.9252656434474616,260,77.69%,78.17%,0.7387387387387387,80.39%,75.95%,120,38,20,82,0.8418342020352445,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,89.77%,591,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,0.8977017937219731,multiview,base_conf_core,corr_extra,0.9,0.0,internal_nested_old_third
591,286,48.39%,305,51.61%,0,0.00%,591,100.00%,0,0,0,0,0,0,286,91.61%,90.62%,0.8846153846153846,86.79%,94.44%,170,10,14,92,0.9342243186582809,305,78.03%,78.63%,0.7392996108949417,81.20%,76.06%,143,45,22,95,0.8476086561192944,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,90.08%,591,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,0.900796938974459,multiview,base_conf_core,corr_extra,0.92,0.0,internal_nested_old_third
591,331,56.01%,260,43.99%,0,0.00%,591,100.00%,0,1,0,0,1,0,331,90.03%,89.34%,0.8641975308641975,86.78%,91.90%,193,17,16,105,0.9252656434474616,260,77.31%,77.68%,0.7330316742081447,79.41%,75.95%,120,38,21,81,0.844626458178208,84.43%,84.23%,0.8017241379310345,83.41%,85.05%,313,55,37,186,89.31%,591,84.43%,84.23%,0.8017241379310345,83.41%,85.05%,313,55,37,186,0.8931078182881654,core,base_conf_core,corr_logreg,0.9,0.0,internal_nested_old_third
591,385,65.14%,206,34.86%,0,0.00%,591,100.00%,2,3,0,2,3,0,385,87.79%,87.57%,0.8459016393442623,86.58%,88.56%,209,27,20,129,0.9151973609373223,206,78.16%,77.31%,0.7096774193548387,74.32%,80.30%,106,26,19,55,0.7990376740376741,84.43%,84.05%,0.8,82.51%,85.60%,315,53,39,184,87.54%,591,84.43%,84.05%,0.8,82.51%,85.60%,315,53,39,184,0.8753533827256774,multiview,base_conf_core,corr_logreg,0.88,0.0,internal_nested_old_third
591,500,84.60%,91,15.40%,0,0.00%,591,100.00%,20,11,0,20,9,2,500,89.60%,87.83%,0.8505747126436781,81.32%,94.34%,300,18,34,148,0.8873971940009675,91,67.03%,67.59%,0.6666666666666666,73.17%,62.00%,31,19,11,30,0.7521951219512196,84.94%,83.93%,0.8,79.82%,88.04%,324,44,45,178,86.43%,591,84.94%,83.93%,0.8,79.82%,88.04%,324,44,45,178,0.8643010333398323,multiview,gate_logreg,corr_logreg,0.9,0.0,internal_nested_old_third
591,331,56.01%,260,43.99%,0,0.00%,591,100.00%,1,3,0,1,3,0,331,90.03%,89.34%,0.8641975308641975,86.78%,91.90%,193,17,16,105,0.9252656434474616,260,76.92%,77.02%,0.7247706422018348,77.45%,76.58%,121,37,23,79,0.8482253660958055,84.26%,83.92%,0.7982646420824295,82.51%,85.33%,314,54,39,184,89.02%,591,84.26%,83.92%,0.7982646420824295,82.51%,85.33%,314,54,39,184,0.890183271592903,multiview,base_conf_core,corr_logreg,0.9,0.0,internal_nested_old_third
591,286,48.39%,305,51.61%,0,0.00%,591,100.00%,1,3,0,1,3,0,286,91.61%,90.62%,0.8846153846153846,86.79%,94.44%,170,10,14,92,0.9342243186582809,305,77.38%,77.61%,0.7272727272727273,78.63%,76.60%,144,44,25,92,0.8390616475722859,84.26%,83.92%,0.7982646420824295,82.51%,85.33%,314,54,39,184,88.48%,591,84.26%,83.92%,0.7982646420824295,82.51%,85.33%,314,54,39,184,0.884772860206668,multiview,base_conf_core,corr_logreg,0.92,0.0,internal_nested_old_third
591,550,93.06%,41,6.94%,0,0.00%,591,100.00%,6,3,0,6,3,0,550,87.45%,86.41%,0.8296296296296296,82.35%,90.46%,313,33,36,168,0.8747166496656467,41,53.66%,55.74%,0.6274509803921569,84.21%,27.27%,6,16,3,16,0.722488038277512,84.26%,83.92%,0.7982646420824295,82.51%,85.33%,314,54,39,184,86.76%,591,84.26%,83.92%,0.7982646420824295,82.51%,85.33%,314,54,39,184,0.8675789627607721,multiview,gate_logreg,corr_extra,0.88,0.0,internal_nested_old_third
