selector,heldout_cases,heldout_captured_n,mean_full_extra_review_n,mean_full_clean_review_n,mean_full_control_rate,min_full_bacc,max_full_fp,max_full_fn,heldout_capture_rate
min_review,3,2,7.0,4.333333333333333,0.7982832618025751,0.996982646982647,1,1,0.6666666666666666
capped_stable_envelope,3,3,12.333333333333334,9.333333333333334,0.8059132093466858,0.9981481481481482,0,1,1.0
