accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,corrector,route_col,objective,routed_n,routed_pct,pass_n,pass_acc,routed_acc,hard_core_routed,hard_core_recall,rescue_n,hurt_n,net_rescue
0.9192982456140351,0.9194001182033097,0.9192982456140351,131,13,10,131,0.954442474389283,model_hard_all_extra,route_score__best41_wrong__model_visible__extra,accuracy,61,0.21403508771929824,224,0.9330357142857143,0.8688524590163934,41,0.6307692307692307,29,5,24
0.9192982456140351,0.9194001182033097,0.9192982456140351,131,13,10,131,0.954442474389283,model_hard_all_extra,route_score__best41_wrong__model_visible__extra,balanced_accuracy,61,0.21403508771929824,224,0.9330357142857143,0.8688524590163934,41,0.6307692307692307,29,5,24
0.9192982456140351,0.9194001182033097,0.9192982456140351,131,13,10,131,0.954442474389283,model_hard_all_extra,route_score__best41_wrong__model_visible__extra,f1,61,0.21403508771929824,224,0.9330357142857143,0.8688524590163934,41,0.6307692307692307,29,5,24
0.9157894736842105,0.9160017730496455,0.9166666666666666,129,15,9,132,0.9437549251379038,model_non_easy_extra,route_score__best41_wrong__model_visible__extra,accuracy,59,0.20701754385964913,226,0.9292035398230089,0.864406779661017,40,0.6153846153846154,27,4,23
0.9157894736842105,0.9160017730496455,0.9166666666666666,129,15,9,132,0.9437549251379038,model_non_easy_extra,route_score__best41_wrong__model_visible__extra,balanced_accuracy,59,0.20701754385964913,226,0.9292035398230089,0.864406779661017,40,0.6153846153846154,27,4,23
0.9157894736842105,0.9160017730496455,0.9166666666666666,129,15,9,132,0.9437549251379038,model_non_easy_extra,route_score__best41_wrong__model_visible__extra,f1,59,0.20701754385964913,226,0.9292035398230089,0.864406779661017,40,0.6153846153846154,27,4,23
0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9504531126871553,model_non_easy_extra,route_score__hard_core__model_visible__logreg,accuracy,79,0.2771929824561403,206,0.941747572815534,0.8354430379746836,58,0.8923076923076924,26,4,22
0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9504531126871553,model_non_easy_extra,route_score__hard_core__model_visible__logreg,balanced_accuracy,79,0.2771929824561403,206,0.941747572815534,0.8354430379746836,58,0.8923076923076924,26,4,22
0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9504531126871553,model_non_easy_extra,route_score__hard_core__model_visible__logreg,f1,79,0.2771929824561403,206,0.941747572815534,0.8354430379746836,58,0.8923076923076924,26,4,22
0.9087719298245615,0.9088356973995272,0.9084507042253521,130,14,12,129,0.9437056737588653,model_non_easy_extra,route_score__hard_core__model_visible__extra,accuracy,92,0.32280701754385965,193,0.9430051813471503,0.8369565217391305,63,0.9692307692307692,26,5,21
0.9087719298245615,0.9088356973995272,0.9084507042253521,130,14,12,129,0.9437056737588653,model_non_easy_extra,route_score__hard_core__model_visible__extra,balanced_accuracy,92,0.32280701754385965,193,0.9430051813471503,0.8369565217391305,63,0.9692307692307692,26,5,21
0.9087719298245615,0.9088356973995272,0.9084507042253521,130,14,12,129,0.9437056737588653,model_non_easy_extra,route_score__hard_core__model_visible__extra,f1,92,0.32280701754385965,193,0.9430051813471503,0.8369565217391305,63,0.9692307692307692,26,5,21
0.9017543859649123,0.901595744680851,0.8992805755395683,132,12,16,125,0.9607466509062252,model_hard_all_extra,route_score__hard_core__model_visible__logreg,accuracy,86,0.3017543859649123,199,0.949748743718593,0.7906976744186046,61,0.9384615384615385,30,11,19
0.9017543859649123,0.901595744680851,0.8992805755395683,132,12,16,125,0.9607466509062252,model_hard_all_extra,route_score__hard_core__model_visible__logreg,balanced_accuracy,86,0.3017543859649123,199,0.949748743718593,0.7906976744186046,61,0.9384615384615385,30,11,19
0.9017543859649123,0.901595744680851,0.8992805755395683,132,12,16,125,0.9607466509062252,model_hard_all_extra,route_score__hard_core__model_visible__logreg,f1,86,0.3017543859649123,199,0.949748743718593,0.7906976744186046,61,0.9384615384615385,30,11,19
0.9017543859649123,0.9014479905437353,0.8978102189781022,134,10,18,123,0.9574960598896769,model_hard_all_extra,route_score__hard_core__model_visible__extra,accuracy,93,0.3263157894736842,192,0.9427083333333334,0.8172043010752689,63,0.9692307692307692,29,10,19
0.9017543859649123,0.9014479905437353,0.8978102189781022,134,10,18,123,0.9574960598896769,model_hard_all_extra,route_score__hard_core__model_visible__extra,balanced_accuracy,93,0.3263157894736842,192,0.9427083333333334,0.8172043010752689,63,0.9692307692307692,29,10,19
0.8947368421052632,0.8945035460992907,0.8913043478260869,132,12,18,123,0.9574960598896769,model_hard_all_extra,route_score__hard_core__model_visible__extra,f1,93,0.3263157894736842,192,0.9427083333333334,0.7956989247311828,63,0.9692307692307692,29,12,17
0.8912280701754386,0.8916962174940899,0.8949152542372881,122,22,9,132,0.902482269503546,model_non_easy_extra,route_score__best41_fn__model_visible__extra,accuracy,37,0.12982456140350876,248,0.8911290322580645,0.8918918918918919,19,0.2923076923076923,18,2,16
0.8912280701754386,0.8916962174940899,0.8949152542372881,122,22,9,132,0.902482269503546,model_non_easy_extra,route_score__best41_fn__model_visible__extra,balanced_accuracy,37,0.12982456140350876,248,0.8911290322580645,0.8918918918918919,19,0.2923076923076923,18,2,16
0.8912280701754386,0.8916962174940899,0.8949152542372881,122,22,9,132,0.902482269503546,model_non_easy_extra,route_score__best41_fn__model_visible__extra,f1,37,0.12982456140350876,248,0.8911290322580645,0.8918918918918919,19,0.2923076923076923,18,2,16
0.8807017543859649,0.8811317966903074,0.8843537414965986,121,23,11,130,0.9114460204885737,model_hard_all_extra,route_score__best41_fn__model_visible__extra,accuracy,39,0.1368421052631579,246,0.8902439024390244,0.8205128205128205,19,0.2923076923076923,16,3,13
0.8807017543859649,0.8811317966903074,0.8843537414965986,121,23,11,130,0.9114460204885737,model_hard_all_extra,route_score__best41_fn__model_visible__extra,balanced_accuracy,39,0.1368421052631579,246,0.8902439024390244,0.8205128205128205,19,0.2923076923076923,16,3,13
0.8807017543859649,0.8811317966903074,0.8843537414965986,121,23,11,130,0.9114460204885737,model_hard_all_extra,route_score__best41_fn__model_visible__extra,f1,39,0.1368421052631579,246,0.8902439024390244,0.8205128205128205,19,0.2923076923076923,16,3,13
0.8701754385964913,0.8706412529550827,0.8745762711864407,119,25,12,129,0.8971138691883374,model_non_easy_extra,route_score__best41_fn__model_visible__logreg,f1,31,0.10877192982456141,254,0.8779527559055118,0.8064516129032258,19,0.2923076923076923,15,5,10
0.8701754385964913,0.8695330969267139,0.8603773584905661,134,10,27,114,0.8763297872340425,model_non_easy_extra,route_score__best41_fp__model_visible__extra,accuracy,14,0.04912280701754386,271,0.8708487084870848,0.8571428571428571,12,0.18461538461538463,10,0,10
0.8701754385964913,0.8695330969267139,0.8603773584905661,134,10,27,114,0.8763297872340425,model_non_easy_extra,route_score__best41_fp__model_visible__extra,balanced_accuracy,14,0.04912280701754386,271,0.8708487084870848,0.8571428571428571,12,0.18461538461538463,10,0,10
0.8701754385964913,0.8695330969267139,0.8603773584905661,134,10,27,114,0.8763297872340425,model_non_easy_extra,route_score__best41_fp__model_visible__extra,f1,14,0.04912280701754386,271,0.8708487084870848,0.8571428571428571,12,0.18461538461538463,10,0,10
0.8526315789473684,0.852910756501182,0.8551724137931035,119,25,17,124,0.8971138691883374,model_non_easy_extra,route_score__best41_fn__model_visible__logreg,accuracy,31,0.10877192982456141,254,0.8779527559055118,0.6451612903225806,19,0.2923076923076923,10,5,5
0.8526315789473684,0.852910756501182,0.8551724137931035,119,25,17,124,0.8971138691883374,model_non_easy_extra,route_score__best41_fn__model_visible__logreg,balanced_accuracy,31,0.10877192982456141,254,0.8779527559055118,0.6451612903225806,19,0.2923076923076923,10,5,5
0.8491228070175438,0.8493646572104019,0.8512110726643599,119,25,18,123,0.9011524822695036,model_hard_all_extra,route_score__best41_fn__model_visible__logreg,accuracy,31,0.10877192982456141,254,0.8779527559055118,0.6129032258064516,19,0.2923076923076923,9,5,4
