accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,name,target,student_type,mode
0.712280701754386,0.7115100472813238,0.6870229007633588,113,31,51,90,0.7672379826635146,dino_student_true_logreg_c003,true,logreg_c003,student_standalone
0.7087719298245614,0.7075945626477541,0.6693227091633466,118,26,57,84,0.7477344365642238,dino_student_true_extra,true,extra,student_standalone
0.6947368421052632,0.6940750591016549,0.6716981132075471,109,35,52,89,0.7620173364854216,dino_student_true_logreg_c01,true,logreg_c01,student_standalone
0.6842105263157895,0.6833628841607564,0.6538461538461539,110,34,56,85,0.7501231284475965,dino_student_teacher_prob_ridge,teacher_prob,ridge,student_standalone
0.6807017543859649,0.6805555555555556,0.6738351254480287,100,44,47,94,0.7222714736012609,dino_student_teacher_pred_extra,teacher_pred,extra,student_standalone
0.6771929824561403,0.676566193853428,0.6541353383458647,106,38,54,87,0.7512312844759654,dino_student_teacher_pred_logreg_c003,teacher_pred,logreg_c003,student_standalone
0.6736842105263158,0.6732417257683215,0.6568265682656826,103,41,52,89,0.7482762017336485,dino_student_true_rf,true,rf,student_standalone
0.6491228070175439,0.6493794326241135,0.6551724137931034,90,54,46,95,0.7272458628841608,dino_student_teacher_pred_rf,teacher_pred,rf,student_standalone
0.6456140350877193,0.6456117021276596,0.6431095406360424,93,51,50,91,0.747438928289992,dino_student_teacher_pred_logreg_c01,teacher_pred,logreg_c01,student_standalone
0.6385964912280702,0.6377068557919622,0.6023166023166023,104,40,63,78,0.7260638297872342,dino_student_teacher_prob_extra_reg,teacher_prob,extra_reg,student_standalone
