split,level,aggregation,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
test_oof,case,mean,0.7742006239032951,0.6835871404399323,0.6902661337492688,0.7174887892376681,0.6630434782608695,0.5633802816901409,0.631163708086785,244,124,63,160
test_oof:batch1,case,mean,0.8157894736842105,0.7350427350427351,0.7364035087719298,0.7894736842105263,0.6833333333333333,0.703125,0.743801652892562,41,19,12,45
test_oof:batch2,case,mean,0.6856575963718821,0.6309523809523809,0.6309523809523809,0.7142857142857143,0.5476190476190477,0.6122448979591837,0.6593406593406593,46,38,24,60
test_oof:third_batch_adapt72_highfocus,case,mean,0.7637987012987013,0.7361111111111112,0.7126623376623377,0.8181818181818182,0.6071428571428571,0.7659574468085106,0.7912087912087912,17,11,8,36
test_oof:third_batch_holdout,case,mean,0.75859291084855,0.6794871794871795,0.6071428571428572,0.5,0.7142857142857143,0.25333333333333335,0.336283185840708,140,56,19,19
test_oof:old,case,mean,0.7420705279747833,0.6736842105263158,0.6744237588652482,0.7446808510638298,0.6041666666666666,0.6481481481481481,0.693069306930693,87,57,36,105
test_oof:third,case,mean,0.7877286585365854,0.6928104575163399,0.6858122822299652,0.6707317073170732,0.7008928571428571,0.45081967213114754,0.5392156862745098,157,67,27,55
