review_policy,model,feature_set,mode,flip_threshold,release_threshold,scope,n,original_review_n,original_review_rate,auto_flip_n,auto_release_n,auto_action_n,auto_action_rate,remaining_review_n,remaining_review_rate,auto_action_error_n,auto_action_error_rate,rescued_n,hurt_n,accuracy,balanced_accuracy,f1,auc,fn,fp,selection_status
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,disagree_flip_only,0.5,0.95,old_data,285,217,0.7614035087719299,86,0,86,0.3017543859649123,131,0.45964912280701753,85,0.9883720930232558,1,85,0.7017543859649122,0.7019060283687943,0.7038327526132404,,40,45,lowest_internal_auto_error_rate
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,disagree_flip_only,0.5,0.95,third_batch,306,248,0.8104575163398693,78,0,78,0.2549019607843137,170,0.5555555555555556,76,0.9743589743589743,2,76,0.7483660130718954,0.7314895470383276,0.5968586387434555,,25,52,lowest_internal_auto_error_rate
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,disagree_flip_only,0.5,0.95,strict_external,108,94,0.8703703703703703,37,0,37,0.3425925925925926,57,0.5277777777777778,37,1.0,0,37,0.6574074074074074,0.6552145099407045,0.6185567010309279,,17,20,lowest_internal_auto_error_rate
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,disagree_flip_only,0.5,0.95,all_domains,699,559,0.7997138769670958,201,0,201,0.2875536480686695,358,0.5121602288984263,198,0.9850746268656716,3,198,0.7153075822603719,0.7117845117845119,0.6539130434782608,,82,117,lowest_internal_auto_error_rate
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,agree_release_only,0.95,0.95,old_data,285,217,0.7614035087719299,0,13,13,0.0456140350877193,204,0.7157894736842105,0,0.0,0,0,1.0,1.0,1.0,,0,0,internal_zero_auto_error
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,agree_release_only,0.95,0.95,third_batch,306,248,0.8104575163398693,0,13,13,0.042483660130718956,235,0.7679738562091504,0,0.0,0,0,0.9967320261437909,0.9939024390243902,0.9938650306748467,,1,0,internal_zero_auto_error
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,agree_release_only,0.95,0.95,strict_external,108,94,0.8703703703703703,0,3,3,0.027777777777777776,91,0.8425925925925926,0,0.0,0,0,1.0,1.0,1.0,,0,0,internal_zero_auto_error
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,agree_release_only,0.95,0.95,all_domains,699,559,0.7997138769670958,0,29,29,0.04148783977110158,530,0.7582260371959942,0,0.0,0,0,0.9985693848354793,0.9981481481481482,0.9981447124304267,,1,0,internal_zero_auto_error
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,flip_then_agree_release,0.95,0.7,old_data,285,217,0.7614035087719299,3,88,91,0.3192982456140351,126,0.4421052631578947,3,0.03296703296703297,0,3,0.9894736842105263,0.9894355791962175,0.9893238434163701,,2,1,lowest_internal_auto_error_rate
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,flip_then_agree_release,0.95,0.7,third_batch,306,248,0.8104575163398693,0,119,119,0.3888888888888889,129,0.4215686274509804,3,0.025210084033613446,0,0,0.9869281045751634,0.9794751742160279,0.9753086419753086,,3,1,lowest_internal_auto_error_rate
