task_l6_label,n,accuracy,tn,fp,fn,tp
A,8,0.5,4,4,0,0
AB,39,0.6923076923076923,27,12,0,0
B1,11,0.6363636363636364,7,4,0,0
B1_B2_mixed,1,0.0,0,0,1,0
B2,28,0.6071428571428571,0,0,11,17
B2_B3_mixed,3,0.6666666666666666,0,0,1,2
B3,10,0.7,0,0,3,7
MNT_assumed_low,3,0.6666666666666666,2,1,0,0
TC,5,0.6,0,0,2,3
