accuracy,balanced_accuracy,f1,sensitivity,specificity,tn,fp,fn,tp,auc,model,threshold_objective,threshold,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_sensitivity,old_oof_specificity
0.7189542483660131,0.6495535714285714,0.4880952380952381,0.5,0.7991071428571429,179,45,41,41,0.6855672909407665,gb_d1_lr05,bacc,0.4799999999999999,0.7473684210526316,0.7475620567375887,0.75,0.7659574468085106,0.7291666666666666
0.7189542483660131,0.6495535714285714,0.4880952380952381,0.5,0.7991071428571429,179,45,41,41,0.6855672909407665,gb_d1_lr05,acc,0.4799999999999999,0.7473684210526316,0.7475620567375887,0.75,0.7659574468085106,0.7291666666666666
0.7026143790849673,0.6345274390243902,0.4678362573099415,0.4878048780487805,0.78125,175,49,42,40,0.6388828397212543,logreg_c003,bacc,0.41999999999999993,0.7543859649122807,0.7546542553191489,0.7586206896551724,0.7801418439716312,0.7291666666666666
0.7026143790849673,0.6345274390243902,0.4678362573099415,0.4878048780487805,0.78125,175,49,42,40,0.6388828397212543,logreg_c003,acc,0.41999999999999993,0.7543859649122807,0.7546542553191489,0.7586206896551724,0.7801418439716312,0.7291666666666666
0.696078431372549,0.6339285714285714,0.4685714285714286,0.5,0.7678571428571429,172,52,41,41,0.6844512195121951,extra_d3_l8,bacc,0.4799999999999999,0.7684210526315789,0.7684692671394799,0.7676056338028169,0.7730496453900709,0.7638888888888888
0.696078431372549,0.6339285714285714,0.4685714285714286,0.5,0.7678571428571429,172,52,41,41,0.6844512195121951,extra_d3_l8,acc,0.4799999999999999,0.7684210526315789,0.7684692671394799,0.7676056338028169,0.7730496453900709,0.7638888888888888
0.5686274509803921,0.6319141986062717,0.4883720930232558,0.7682926829268293,0.4955357142857143,111,113,19,63,0.6854856271777003,extra_d2_l10,sens90,0.25999999999999995,0.7157894736842105,0.7172724586288416,0.7492260061919505,0.8581560283687943,0.5763888888888888
0.6078431372549019,0.6277765679442509,0.4782608695652174,0.6707317073170732,0.5848214285714286,131,93,27,55,0.6855672909407665,gb_d1_lr05,sens90,0.30999999999999994,0.6912280701754386,0.6931146572104019,0.7365269461077845,0.8723404255319149,0.5138888888888888
0.6797385620915033,0.6227678571428572,0.45555555555555555,0.5,0.7455357142857143,167,57,41,41,0.6854856271777003,extra_d2_l10,bacc,0.4599999999999999,0.7684210526315789,0.7684692671394799,0.7676056338028169,0.7730496453900709,0.7638888888888888
0.6797385620915033,0.6227678571428572,0.45555555555555555,0.5,0.7455357142857143,167,57,41,41,0.6854856271777003,extra_d2_l10,acc,0.4599999999999999,0.7684210526315789,0.7684692671394799,0.7676056338028169,0.7730496453900709,0.7638888888888888
0.565359477124183,0.6219512195121951,0.47843137254901963,0.7439024390243902,0.5,112,112,21,61,0.678462543554007,rf_d3_l8,sens90,0.29,0.6842105263157895,0.6861702127659575,0.7321428571428571,0.8723404255319149,0.5
0.7058823529411765,0.6212979094076655,0.4444444444444444,0.43902439024390244,0.8035714285714286,180,44,46,36,0.678462543554007,rf_d3_l8,bacc,0.5099999999999999,0.7473684210526316,0.7473404255319149,0.7446808510638298,0.7446808510638298,0.75
0.7058823529411765,0.6212979094076655,0.4444444444444444,0.43902439024390244,0.8035714285714286,180,44,46,36,0.678462543554007,rf_d3_l8,acc,0.5099999999999999,0.7473684210526316,0.7473404255319149,0.7446808510638298,0.7446808510638298,0.75
0.6274509803921569,0.6179769163763066,0.46226415094339623,0.5975609756097561,0.6383928571428571,143,81,33,49,0.6388828397212543,logreg_c003,sens90,0.26999999999999996,0.7228070175438597,0.7238475177304964,0.7459807073954984,0.8226950354609929,0.625
0.5032679738562091,0.6027330139372822,0.46853146853146854,0.8170731707317073,0.38839285714285715,87,137,15,67,0.6844512195121951,extra_d3_l8,sens90,0.22999999999999998,0.6701754385964912,0.6724290780141844,0.7267441860465116,0.8865248226950354,0.4583333333333333
