model,policy,split,n,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,gate_threshold,routed_to_robust_n,routed_to_robust_rate,main_wrong_routed_n,main_wrong_routed_rate
logistic_l2,gate_switch_to_robust,development_oof,591,0.8730964467005076,0.860992639890817,0.8116591928251121,0.9103260869565217,0.8457943925233645,0.8283752860411899,335,33,42,181,0.9500000000000002,1,0.001692047377326565,0,0.0
logistic_l2,gate_switch_to_robust,external_strict_frozen,108,0.6481481481481481,0.627485176142309,0.46808510638297873,0.7868852459016393,0.6285714285714286,0.5365853658536586,48,13,25,22,0.9500000000000002,0,0.0,0,0.0
logistic_l2,gate_switch_to_robust,development_oof:old,285,0.9228070175438596,0.9227245862884161,0.9148936170212766,0.9305555555555556,0.9280575539568345,0.9214285714285715,134,10,12,129,0.9500000000000002,0,0.0,0,0.0
logistic_l2,gate_switch_to_robust,development_oof:third,306,0.826797385620915,0.7657338850174216,0.6341463414634146,0.8973214285714286,0.6933333333333334,0.6624203821656051,201,23,30,52,0.9500000000000002,1,0.0032679738562091504,0,0.0
random_forest,gate_switch_to_robust,development_oof,591,0.8747884940778342,0.8632347923571846,0.8161434977578476,0.9103260869565217,0.8465116279069768,0.8310502283105023,335,33,41,182,0.7900000000000001,0,0.0,0,0.0
random_forest,gate_switch_to_robust,external_strict_frozen,108,0.6481481481481481,0.627485176142309,0.46808510638297873,0.7868852459016393,0.6285714285714286,0.5365853658536586,48,13,25,22,0.7900000000000001,0,0.0,0,0.0
random_forest,gate_switch_to_robust,development_oof:old,285,0.9228070175438596,0.9227245862884161,0.9148936170212766,0.9305555555555556,0.9280575539568345,0.9214285714285715,134,10,12,129,0.7900000000000001,0,0.0,0,0.0
random_forest,gate_switch_to_robust,development_oof:third,306,0.8300653594771242,0.7718314459930313,0.6463414634146342,0.8973214285714286,0.6973684210526315,0.6708860759493671,201,23,29,53,0.7900000000000001,0,0.0,0,0.0
extra_trees,gate_switch_to_robust,development_oof,591,0.8747884940778342,0.8632347923571846,0.8161434977578476,0.9103260869565217,0.8465116279069768,0.8310502283105023,335,33,41,182,0.8400000000000002,0,0.0,0,0.0
extra_trees,gate_switch_to_robust,external_strict_frozen,108,0.6481481481481481,0.627485176142309,0.46808510638297873,0.7868852459016393,0.6285714285714286,0.5365853658536586,48,13,25,22,0.8400000000000002,0,0.0,0,0.0
extra_trees,gate_switch_to_robust,development_oof:old,285,0.9228070175438596,0.9227245862884161,0.9148936170212766,0.9305555555555556,0.9280575539568345,0.9214285714285715,134,10,12,129,0.8400000000000002,0,0.0,0,0.0
extra_trees,gate_switch_to_robust,development_oof:third,306,0.8300653594771242,0.7718314459930313,0.6463414634146342,0.8973214285714286,0.6973684210526315,0.6708860759493671,201,23,29,53,0.8400000000000002,0,0.0,0,0.0
grad_boost,gate_switch_to_robust,development_oof,591,0.8815566835871405,0.8686695749658804,0.8161434977578476,0.9211956521739131,0.8625592417061612,0.838709677419355,339,29,41,182,0.36000000000000004,15,0.025380710659898477,7,0.0945945945945946
grad_boost,gate_switch_to_robust,external_strict_frozen,108,0.6481481481481481,0.627485176142309,0.46808510638297873,0.7868852459016393,0.6285714285714286,0.5365853658536586,48,13,25,22,0.36000000000000004,1,0.009259259259259259,1,0.02631578947368421
grad_boost,gate_switch_to_robust,development_oof:old,285,0.9298245614035088,0.9296690307328606,0.9148936170212766,0.9444444444444444,0.9416058394160584,0.9280575539568345,136,8,12,129,0.36000000000000004,3,0.010526315789473684,2,0.09090909090909091
grad_boost,gate_switch_to_robust,development_oof:third,306,0.8366013071895425,0.7762957317073171,0.6463414634146342,0.90625,0.7162162162162162,0.6794871794871794,203,21,29,53,0.36000000000000004,12,0.0392156862745098,5,0.09615384615384616
