split,level,aggregation,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc
test_oof,image,none,0.49242424242424243,0.4905624568668047,0.5030018290887855,0.4905624568668047,0.4757620144645833,0.7858646881588428
test_oof,case,mean,0.5333333333333333,0.5333333333333333,0.5468614718614718,0.5333333333333333,0.5150807525807525,0.7963333333333332
test_oof,case,max_prob,0.525,0.525,0.5401751505199781,0.525,0.5071477013114644,0.7974166666666668
test_oof,case,majority_vote,0.49166666666666664,0.4916666666666667,0.5138392857142856,0.4916666666666667,0.4762976860537837,0.7127083333333332
