candidate_id,source_review_policy,corrector_model,feature_set,action_mode,threshold,scope,n,baseline_adaptive_review_n,baseline_adaptive_review_rate,auto_action_n,auto_action_rate,true_correction_n,agreement_release_n,remaining_review_n,remaining_review_rate,action_error_n,rescued_n,hurt_n,rescued_fn,rescued_fp,hurt_to_fn,hurt_to_fp,base_raw_errors,system_errors_after_review,base_balanced_accuracy_before_review,accuracy,balanced_accuracy,f1,sensitivity_high,specificity_low,tn,fp,fn,tp,auc
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985,v161_final_review_or_reject,tabular_logreg_c1,tabular,agreement_release_only,0.985,old_data,285,154,0.5403508771929825,79,0.2771929824561403,0,79,75,0.2631578947368421,0,0,0,0,0,0,0,1,0,0.9965277777777778,1.0,1.0,1.0,1.0,1.0,144,0,0,141,0.8737687155240348
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985,v161_final_review_or_reject,tabular_logreg_c1,tabular,agreement_release_only,0.985,third_batch,306,164,0.5359477124183006,43,0.14052287581699346,0,43,121,0.3954248366013072,0,0,0,0,0,0,0,9,1,0.9528527874564461,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.9878048780487805,1.0,224,0,1,81,0.818270905923345
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985,v161_final_review_or_reject,tabular_logreg_c1,tabular,agreement_release_only,0.985,strict_external,108,94,0.8703703703703703,38,0.35185185185185186,0,38,56,0.5185185185185185,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,0.67317753749564
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985,v161_final_review_or_reject,tabular_logreg_c1,tabular,agreement_release_only,0.985,all_domains,699,412,0.5894134477825465,160,0.22889842632331903,0,160,252,0.3605150214592275,0,0,0,0,0,0,0,10,1,0.9835405335405336,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.9962962962962963,1.0,429,0,1,269,0.8353017353017353
