fold,accuracy,balanced_accuracy,macro_f1,macro_auc
1,0.5416666666666666,0.5416666666666666,0.5214646464646465,0.7791666666666668
2,0.5,0.5,0.48734968734968726,0.7916666666666666
3,0.5,0.5,0.4262626262626263,0.7583333333333334
4,0.4583333333333333,0.4583333333333333,0.47647907647907645,0.7979166666666666
5,0.5,0.5,0.486111111111111,0.8145833333333333
