task_l6_label,n,accuracy,tn,fp,fn,tp
A,8,0.875,7,1,0,0
AB,39,0.7692307692307693,30,9,0,0
B1,11,0.9090909090909091,10,1,0,0
B1_B2_mixed,1,0.0,0,0,1,0
B2,28,0.39285714285714285,0,0,17,11
B2_B3_mixed,3,0.6666666666666666,0,0,1,2
B3,10,0.7,0,0,3,7
MNT_assumed_low,3,1.0,3,0,0,0
TC,5,0.2,0,0,4,1
