accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,policy,review_n,review_rate,captured_p2_wrong_n,captured_p2_wrong_rate,captured_fn_n,captured_fp_n,remaining_error_n
0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44,17,15,32,p2_baseline,0,0.0,0,0.0,0,0,32
0.9351851851851852,0.930415068015347,0.8936170212765957,0.9672131147540983,0.9545454545454546,0.9230769230769231,59,2,5,42,v37_any_hard_dev97,65,0.6018518518518519,25,0.78125,10,15,7
0.9537037037037037,0.9516916637600279,0.9361702127659575,0.9672131147540983,0.9565217391304348,0.9462365591397849,59,2,3,44,v48_direction_raw_dev97,73,0.6759259259259259,27,0.84375,12,15,5
0.9629629629629629,0.9623299616323684,0.9574468085106383,0.9672131147540983,0.9574468085106383,0.9574468085106385,59,2,2,45,v48_fn_ranker_dev97,78,0.7222222222222222,28,0.875,13,15,4
