fold,kind,repeat_adapt,threshold_objective,threshold,fold_accuracy,fold_balanced_accuracy,fold_f1,fold_tn,fold_fp,fold_fn,fold_tp,fold_auc
0,extratrees_5,1,balanced_accuracy,0.4699999999999999,0.7096774193548387,0.6901960784313725,0.55,33,12,6,11,0.7607843137254902
1,extratrees_5,1,balanced_accuracy,0.49999999999999994,0.8032786885245902,0.7458333333333333,0.625,39,6,6,10,0.8388888888888889
2,extratrees_5,1,balanced_accuracy,0.4599999999999999,0.6229508196721312,0.5631944444444444,0.3783783783783784,31,14,9,7,0.6361111111111111
3,extratrees_5,1,balanced_accuracy,0.48999999999999994,0.6885245901639344,0.7083333333333333,0.5581395348837209,30,15,4,12,0.7513888888888889
4,extratrees_5,1,balanced_accuracy,0.48999999999999994,0.7704918032786885,0.642379679144385,0.46153846153846156,41,3,11,6,0.8155080213903744
