strategy,scope,n,release_n,release_rate,released_error_n,review_rate,auto_pass_rate,remaining_error_n,fn,fp,balanced_accuracy,accuracy,f1,auc
pooled_old_third_zero_error_v161,all_domains,699,157,0.2246065808297568,0,0.575107296137339,0.4248927038626609,1,1,0,0.9981481481481482,0.9985693848354792,0.9981447124304268,0.8353017353017353
balanced_zero_error,all_domains,699,157,0.2246065808297568,0,0.575107296137339,0.4248927038626609,1,1,0,0.9981481481481482,0.9985693848354792,0.9981447124304268,0.8353017353017353
third_only_selected,all_domains,699,145,0.2074391988555078,0,0.592274678111588,0.407725321888412,1,1,0,0.9981481481481482,0.9985693848354792,0.9981447124304268,0.8353017353017353
leave_domain_intersection,all_domains,699,144,0.2060085836909871,0,0.5937052932761088,0.4062947067238913,1,1,0,0.9981481481481482,0.9985693848354792,0.9981447124304268,0.8353017353017353
old_only_selected,all_domains,699,287,0.4105865522174535,5,0.3891273247496423,0.6108726752503576,6,5,1,0.9895752395752396,0.9914163090128756,0.9888059701492538,0.8353017353017353
