error_type,megapixels,megapixels,megapixels,fg_ratio,fg_ratio,fg_ratio,bbox_area_ratio,bbox_area_ratio,bbox_area_ratio,touch_edges,touch_edges,touch_edges,lap_var,lap_var,lap_var,brightness_mean,brightness_mean,brightness_mean,contrast,contrast,contrast,bright_ratio,bright_ratio,bright_ratio,glare_ratio,glare_ratio,glare_ratio,saturation_mean,saturation_mean,saturation_mean,confidence_margin,confidence_margin,confidence_margin,prob_high,prob_high,prob_high
,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median
FN_high_to_low,14,17.33332114285714,24.0,14,0.35891775115079644,0.3262260810362583,14,0.6048235486509512,0.6382227070892665,14,1.7142857142857142,2.0,14,336.2314950306326,376.49802616171615,14,181.2437684195382,189.45307922363284,14,43.317382571087535,39.873304233792766,14,0.16725137046545552,0.14059074632774593,14,0.0018082304923038093,1.2091255120646544e-06,14,117.03861345563617,137.41299438476562,14,0.1733906761594138,0.18168468862876974,14,0.34482603440917586,0.31831531137123026
FP_low_to_high,9,21.420714666666665,24.0,9,0.43215039810343947,0.4125769407441433,9,0.748679686303782,0.7217478180983005,9,2.4444444444444446,2.0,9,441.75645038999664,400.1196989912598,9,192.36005655924478,196.1761474609375,9,42.806587928551096,40.28176466102212,9,0.15078668634254735,0.1067440975772129,9,0.007999051284876458,1.1888062008131434e-06,9,121.84681023491754,130.72677612304688,9,0.30845110404054005,0.31352364798853116,9,0.80845110404054,0.8135236479885312
correct,48,13.754208,24.0,48,0.3893989178778195,0.4043822872107544,48,0.6224803940170375,0.6685296427829399,48,1.6875,2.0,48,354.5500924160424,288.7518748840339,48,181.38507747650146,185.42697906494143,48,39.43427118017198,36.030820381155415,48,0.17557160005017888,0.18707566871794828,48,0.00218923870090378,9.19135353463377e-06,48,131.08998501300812,143.43645477294922,49,0.18992474425041322,0.1820856660261299,49,0.4731772695313448,0.4148140181374585
