scope,severe_auto_flip_budget,severe_extra_review_budget,n,auto_flip_n,auto_flip_rate,doctor_review_n,doctor_review_rate,non_review_auto_n,base_errors,final_errors,net_errors_reduced,rescued_n,hurt_n,auto_flip_rescued_n,auto_flip_hurt_n,base_n,base_accuracy,base_balanced_accuracy,base_f1,base_sensitivity_high,base_specificity_low,base_tn,base_fp,base_fn,base_tp,base_auc,final_n,final_accuracy,final_balanced_accuracy,final_f1,final_sensitivity_high,final_specificity_low,final_tn,final_fp,final_fn,final_tp,final_auc
all_three_domains_hybrid,0.0,0.0,696,0,0.0,178,0.2557471264367816,518,155,107,48,48,0,0,0,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8462643678160919,0.8425404277516954,0.8065099457504521,0.825925925925926,0.8591549295774648,366,60,47,223,0.8481481481481483
all_three_domains_hybrid,0.0,0.1,696,0,0.0,188,0.27011494252873564,508,155,98,57,57,0,0,0,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8591954022988506,0.8531038080333855,0.8198529411764706,0.825925925925926,0.8802816901408451,375,51,47,223,0.8481481481481483
all_three_domains_hybrid,0.0,0.2,696,0,0.0,199,0.2859195402298851,497,155,87,68,68,0,0,0,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.875,0.8680490349504434,0.8385899814471243,0.837037037037037,0.8990610328638498,383,43,44,226,0.8481481481481483
all_three_domains_hybrid,0.0,0.3,696,0,0.0,210,0.3017241379310345,486,155,78,77,77,0,0,0,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8879310344827587,0.8799687010954617,0.8539325842696629,0.8444444444444444,0.9154929577464789,390,36,42,228,0.8481481481481483
all_three_domains_hybrid,0.0,0.4,696,0,0.0,220,0.3160919540229885,476,155,73,82,82,0,0,0,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8951149425287356,0.8871935315597288,0.8630393996247655,0.8518518518518519,0.9225352112676056,393,33,40,230,0.8481481481481483
all_three_domains_hybrid,0.1,0.0,696,10,0.014367816091954023,178,0.2557471264367816,518,155,99,56,57,1,9,1,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8577586206896551,0.8512519561815337,0.8176795580110497,0.8222222222222222,0.8802816901408451,375,51,48,222,0.8481481481481483
all_three_domains_hybrid,0.1,0.1,696,10,0.014367816091954023,188,0.27011494252873564,508,155,89,66,67,1,9,1,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8721264367816092,0.8650234741784038,0.8348794063079777,0.8333333333333334,0.8967136150234741,382,44,45,225,0.8481481481481483
all_three_domains_hybrid,0.1,0.2,696,10,0.014367816091954023,199,0.2859195402298851,497,155,80,75,76,1,9,1,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8850574712643678,0.876943140323422,0.850187265917603,0.8407407407407408,0.9131455399061033,389,37,43,227,0.8481481481481483
all_three_domains_hybrid,0.1,0.3,696,10,0.014367816091954023,210,0.3017241379310345,486,155,74,81,82,1,9,1,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8936781609195402,0.8853416797078768,0.8609022556390977,0.8481481481481481,0.9225352112676056,393,33,41,229,0.8481481481481483
all_three_domains_hybrid,0.1,0.4,696,10,0.014367816091954023,220,0.3160919540229885,476,155,72,83,84,1,9,1,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.896551724137931,0.8890453834115806,0.8651685393258427,0.8555555555555555,0.9225352112676056,393,33,39,231,0.8481481481481483
all_three_domains_hybrid,0.2,0.0,696,21,0.03017241379310345,178,0.2557471264367816,518,155,88,67,68,1,20,1,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8735632183908046,0.8661971830985915,0.8364312267657993,0.8333333333333334,0.8990610328638498,383,43,45,225,0.8481481481481483
all_three_domains_hybrid,0.2,0.1,696,21,0.03017241379310345,188,0.27011494252873564,508,155,80,75,76,1,20,1,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8850574712643678,0.876943140323422,0.850187265917603,0.8407407407407408,0.9131455399061033,389,37,43,227,0.8481481481481483
all_three_domains_hybrid,0.2,0.2,696,21,0.03017241379310345,199,0.2859195402298851,497,155,74,81,82,1,20,1,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8936781609195402,0.8853416797078768,0.8609022556390977,0.8481481481481481,0.9225352112676056,393,33,41,229,0.8481481481481483
all_three_domains_hybrid,0.2,0.3,696,21,0.03017241379310345,210,0.3017241379310345,486,155,72,83,84,1,20,1,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.896551724137931,0.8890453834115806,0.8651685393258427,0.8555555555555555,0.9225352112676056,393,33,39,231,0.8481481481481483
all_three_domains_hybrid,0.2,0.4,696,21,0.03017241379310345,220,0.3160919540229885,476,155,69,86,87,1,20,1,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.9008620689655172,0.8932446531038081,0.8705440900562852,0.8592592592592593,0.9272300469483568,395,31,38,232,0.8481481481481483
all_three_domains_hybrid,0.3,0.0,696,32,0.04597701149425287,178,0.2557471264367816,518,155,81,74,77,3,29,3,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8836206896551724,0.8744131455399061,0.847457627118644,0.8333333333333334,0.9154929577464789,390,36,45,225,0.8481481481481483
all_three_domains_hybrid,0.3,0.1,696,32,0.04597701149425287,188,0.27011494252873564,508,155,76,79,82,3,29,3,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8908045977011494,0.8816379760041733,0.8566037735849057,0.8407407407407408,0.9225352112676056,393,33,43,227,0.8481481481481483
all_three_domains_hybrid,0.3,0.2,696,32,0.04597701149425287,199,0.2859195402298851,497,155,74,81,84,3,29,3,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8936781609195402,0.8853416797078768,0.8609022556390977,0.8481481481481481,0.9225352112676056,393,33,41,229,0.8481481481481483
all_three_domains_hybrid,0.3,0.3,696,32,0.04597701149425287,210,0.3017241379310345,486,155,71,84,87,3,29,3,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8979885057471264,0.8895409494001043,0.8662900188323918,0.8518518518518519,0.9272300469483568,395,31,40,230,0.8481481481481483
all_three_domains_hybrid,0.3,0.4,696,32,0.04597701149425287,220,0.3160919540229885,476,155,68,87,90,3,29,3,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.9022988505747126,0.8950965049556598,0.8726591760299626,0.8629629629629629,0.9272300469483568,395,31,37,233,0.8481481481481483
all_three_domains_hybrid,0.4,0.0,696,42,0.0603448275862069,178,0.2557471264367816,518,155,81,74,82,8,34,8,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8836206896551724,0.8744131455399061,0.847457627118644,0.8333333333333334,0.9154929577464789,390,36,45,225,0.8481481481481483
all_three_domains_hybrid,0.4,0.1,696,42,0.0603448275862069,188,0.27011494252873564,508,155,79,76,84,8,34,8,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8864942528735632,0.8781168492436098,0.851782363977486,0.8407407407407408,0.9154929577464789,390,36,43,227,0.8481481481481483
all_three_domains_hybrid,0.4,0.2,696,42,0.0603448275862069,199,0.2859195402298851,497,155,76,79,87,8,34,8,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8908045977011494,0.8823161189358373,0.8571428571428571,0.8444444444444444,0.92018779342723,392,34,42,228,0.8481481481481483
all_three_domains_hybrid,0.4,0.3,696,42,0.0603448275862069,210,0.3017241379310345,486,155,73,82,90,8,34,8,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.8951149425287356,0.8878716744913928,0.8635514018691589,0.8555555555555555,0.92018779342723,392,34,39,231,0.8481481481481483
all_three_domains_hybrid,0.4,0.4,696,42,0.0603448275862069,220,0.3160919540229885,476,155,72,83,91,8,34,8,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.896551724137931,0.8890453834115806,0.8651685393258427,0.8555555555555555,0.9225352112676056,393,33,39,231,0.8481481481481483
old_third_internal_review,0.0,0.0,591,0,0.0,178,0.3011844331641286,413,104,56,48,48,0,0,0,591,0.8240270727580372,0.8039213296938974,0.755868544600939,0.7219730941704036,0.8858695652173914,326,42,62,161,0.8747806589978553,591,0.9052453468697124,0.8947589686098655,0.8715596330275229,0.852017937219731,0.9375,345,23,33,190,0.8747806589978553
old_third_internal_review,0.0,0.1,591,0,0.0,178,0.3011844331641286,413,104,56,48,48,0,0,0,591,0.8240270727580372,0.8039213296938974,0.755868544600939,0.7219730941704036,0.8858695652173914,326,42,62,161,0.8747806589978553,591,0.9052453468697124,0.8947589686098655,0.8715596330275229,0.852017937219731,0.9375,345,23,33,190,0.8747806589978553
old_third_internal_review,0.0,0.2,591,0,0.0,178,0.3011844331641286,413,104,56,48,48,0,0,0,591,0.8240270727580372,0.8039213296938974,0.755868544600939,0.7219730941704036,0.8858695652173914,326,42,62,161,0.8747806589978553,591,0.9052453468697124,0.8947589686098655,0.8715596330275229,0.852017937219731,0.9375,345,23,33,190,0.8747806589978553
old_third_internal_review,0.0,0.3,591,0,0.0,178,0.3011844331641286,413,104,56,48,48,0,0,0,591,0.8240270727580372,0.8039213296938974,0.755868544600939,0.7219730941704036,0.8858695652173914,326,42,62,161,0.8747806589978553,591,0.9052453468697124,0.8947589686098655,0.8715596330275229,0.852017937219731,0.9375,345,23,33,190,0.8747806589978553
old_third_internal_review,0.0,0.4,591,0,0.0,178,0.3011844331641286,413,104,56,48,48,0,0,0,591,0.8240270727580372,0.8039213296938974,0.755868544600939,0.7219730941704036,0.8858695652173914,326,42,62,161,0.8747806589978553,591,0.9052453468697124,0.8947589686098655,0.8715596330275229,0.852017937219731,0.9375,345,23,33,190,0.8747806589978553
old_third_internal_review,0.1,0.0,591,0,0.0,178,0.3011844331641286,413,104,56,48,48,0,0,0,591,0.8240270727580372,0.8039213296938974,0.755868544600939,0.7219730941704036,0.8858695652173914,326,42,62,161,0.8747806589978553,591,0.9052453468697124,0.8947589686098655,0.8715596330275229,0.852017937219731,0.9375,345,23,33,190,0.8747806589978553
