accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,route_name,routed_n,routed_pct,pass_n,pass_acc,routed_acc,hard_core_routed,hard_core_recall,rescue_n,hurt_n,net_rescue,mode,corrector,feature_set,train_scope,classifier,c,corrector_all_acc,corrector_all_bacc
0.9263157894736842,0.9262706855791962,0.9252669039145908,134,10,11,130,0.9456264775413712,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.9016393442622951,41,0.6307692307692307,26,0,26,nested_route,model_non_easy_extra,model,non_easy,extra,0.1,0.3894736842105263,0.3894799054373522
0.9263157894736842,0.9261968085106382,0.9247311827956989,135,9,12,129,0.9554767533490938,hard_core_model_visible_logreg,86,0.3017543859649123,199,0.949748743718593,0.872093023255814,61,0.9384615384615385,26,0,26,nested_route,model_non_easy_extra,model,non_easy,extra,0.1,0.3894736842105263,0.3894799054373522
0.9263157894736842,0.9260490543735225,0.9236363636363636,137,7,14,127,0.9607466509062252,hard_core_model_visible_logreg,86,0.3017543859649123,199,0.949748743718593,0.872093023255814,61,0.9384615384615385,32,6,26,nested_route,model_hard_all_extra,model,hard_all,extra,0.1,0.3157894736842105,0.31530732860520094
0.9228070175438596,0.9228723404255319,0.9225352112676056,132,12,10,131,0.9403565799842395,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.8852459016393442,41,0.6307692307692307,28,3,25,nested_route,model_hard_all_logreg_c03,model,hard_all,logreg,0.3,0.32280701754385965,0.32254728132387706
0.9228070175438596,0.9228723404255319,0.9225352112676056,132,12,10,131,0.954442474389283,best41_wrong_model_visible_extra,60,0.21052631578947367,225,0.9333333333333333,0.8833333333333333,41,0.6307692307692307,29,4,25,nested_route,model_hard_all_extra,model,hard_all,extra,0.1,0.3157894736842105,0.31530732860520094
0.9228070175438596,0.922798463356974,0.9219858156028369,133,11,11,130,0.9546887312844761,hard_core_model_visible_extra,98,0.34385964912280703,187,0.9572192513368984,0.8571428571428571,65,1.0,27,2,25,nested_route,model_non_easy_extra,model,non_easy,extra,0.1,0.3894736842105263,0.3894799054373522
0.9228070175438596,0.9226507092198581,0.920863309352518,135,9,13,128,0.9443459416863672,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.8852459016393442,41,0.6307692307692307,25,0,25,nested_route,model_non_easy_logreg_c001,model,non_easy,logreg,0.01,0.3508771929824561,0.3502511820330969
0.9192982456140351,0.9196217494089834,0.9209621993127147,128,16,7,134,0.946660756501182,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.8688524590163934,41,0.6307692307692307,31,7,24,nested_route,model_hard_core_extra,model,hard_core,extra,0.1,0.2912280701754386,0.29129728132387706
0.9192982456140351,0.9194001182033097,0.9192982456140351,131,13,10,131,0.9499113475177304,best41_wrong_model_visible_extra,60,0.21052631578947367,225,0.9333333333333333,0.8666666666666667,41,0.6307692307692307,29,5,24,nested_route,model_hard_all_logreg_c01,model,hard_all,logreg,0.1,0.3263157894736842,0.32587174940898345
0.9192982456140351,0.9189568557919621,0.9157509157509157,137,7,16,125,0.9543439716312057,hard_core_model_visible_logreg,78,0.2736842105263158,207,0.9420289855072463,0.8589743589743589,58,0.8923076923076924,26,2,24,nested_route,model_non_easy_logreg_c001,model,non_easy,logreg,0.01,0.3508771929824561,0.3502511820330969
0.9192982456140351,0.9188829787234043,0.915129151291513,138,6,17,124,0.9574960598896769,hard_core_model_visible_extra,93,0.3263157894736842,192,0.9427083333333334,0.8709677419354839,63,0.9692307692307692,31,7,24,nested_route,model_hard_all_extra,model,hard_all,extra,0.1,0.3157894736842105,0.31530732860520094
0.9157894736842105,0.9161495271867612,0.9178082191780822,127,17,7,134,0.9443951930654058,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.8524590163934426,41,0.6307692307692307,31,8,23,nested_route,model_hard_core_logreg_c01,model,hard_core,logreg,0.1,0.29473684210526313,0.2947695035460993
0.9157894736842105,0.9161495271867612,0.9178082191780822,127,17,7,134,0.9391252955082743,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.8524590163934426,41,0.6307692307692307,31,8,23,nested_route,model_hard_core_logreg_c03,model,hard_core,logreg,0.3,0.2912280701754386,0.29129728132387706
0.9157894736842105,0.9160756501182032,0.9172413793103448,128,16,8,133,0.9419326241134752,best41_wrong_model_visible_extra,59,0.20701754385964913,226,0.9292035398230089,0.864406779661017,40,0.6153846153846154,30,7,23,nested_route,dino_model_hard_all_extra,dino_model,hard_all,extra,0.1,0.3017543859649123,0.30149231678487
0.9157894736842105,0.9159278959810875,0.916083916083916,130,14,10,131,0.9516843971631206,best41_wrong_model_visible_extra,60,0.21052631578947367,225,0.9333333333333333,0.85,41,0.6307692307692307,29,6,23,nested_route,model_hard_all_logreg_c001,model,hard_all,logreg,0.01,0.30526315789473685,0.3048906619385343
0.9157894736842105,0.9157801418439716,0.9148936170212766,132,12,12,129,0.9448384554767534,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.8524590163934426,41,0.6307692307692307,26,3,23,nested_route,model_non_easy_logreg_c003,model,non_easy,logreg,0.03,0.34035087719298246,0.3402039007092199
0.9157894736842105,0.9157062647754137,0.9142857142857143,133,11,13,128,0.9436564223798266,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.8524590163934426,41,0.6307692307692307,25,2,23,nested_route,model_non_easy_logreg_c03,model,non_easy,logreg,0.3,0.37894736842105264,0.3786199763593381
0.9157894736842105,0.9156323877068557,0.9136690647482014,134,10,14,127,0.9456757289204097,hard_core_model_visible_logreg,84,0.29473684210526313,201,0.945273631840796,0.8452380952380952,61,0.9384615384615385,33,10,23,nested_route,dino_model_hard_all_extra,dino_model,hard_all,extra,0.1,0.3017543859649123,0.30149231678487
0.9157894736842105,0.9155585106382979,0.9130434782608695,135,9,15,126,0.9560185185185186,hard_core_model_visible_logreg,84,0.29473684210526313,201,0.945273631840796,0.8452380952380952,61,0.9384615384615385,31,8,23,nested_route,model_hard_all_logreg_c001,model,hard_all,logreg,0.01,0.30526315789473685,0.3048906619385343
0.9157894736842105,0.9155585106382979,0.9130434782608695,135,9,15,126,0.9403073286052009,hard_core_model_visible_logreg,81,0.28421052631578947,204,0.9411764705882353,0.8518518518518519,61,0.9384615384615385,28,5,23,nested_route,model_hard_all_logreg_c03,model,hard_all,logreg,0.3,0.32280701754385965,0.32254728132387706
0.9157894736842105,0.9155585106382979,0.9130434782608695,135,9,15,126,0.9504531126871553,hard_core_model_visible_logreg,76,0.26666666666666666,209,0.937799043062201,0.8552631578947368,58,0.8923076923076924,26,3,23,nested_route,model_non_easy_logreg_c003,model,non_easy,logreg,0.03,0.34035087719298246,0.3402039007092199
0.9157894736842105,0.91548463356974,0.9124087591240876,136,8,16,125,0.9459219858156028,hard_core_model_visible_logreg,79,0.2771929824561403,206,0.941747572815534,0.8481012658227848,58,0.8923076923076924,30,7,23,nested_route,model_hard_all_logreg_c01,model,hard_all,logreg,0.1,0.3263157894736842,0.32587174940898345
0.9122807017543859,0.9127511820330969,0.9152542372881356,125,19,6,135,0.949714342001576,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.8360655737704918,41,0.6307692307692307,32,10,22,nested_route,dino_model_hard_core_extra,dino_model,hard_core,extra,0.1,0.2807017543859649,0.2809544917257683
0.9122807017543859,0.9122340425531914,0.9110320284697508,132,12,13,128,0.9512411347517731,hard_core_model_visible_logreg,79,0.2771929824561403,206,0.941747572815534,0.8354430379746836,58,0.8923076923076924,33,11,22,nested_route,model_hard_core_logreg_c003,model,hard_core,logreg,0.03,0.2912280701754386,0.291371158392435
0.9122807017543859,0.9122340425531914,0.9110320284697508,132,12,13,128,0.9440996847911741,hard_core_model_visible_logreg,84,0.29473684210526313,201,0.945273631840796,0.8333333333333334,61,0.9384615384615385,33,11,22,nested_route,model_hard_core_logreg_c01,model,hard_core,logreg,0.1,0.29473684210526313,0.2947695035460993
0.9122807017543859,0.9122340425531914,0.9110320284697508,132,12,13,128,0.951487391646966,hard_core_model_visible_logreg,84,0.29473684210526313,201,0.945273631840796,0.8333333333333334,61,0.9384615384615385,32,10,22,nested_route,model_hard_core_extra,model,hard_core,extra,0.1,0.2912280701754386,0.29129728132387706
0.9122807017543859,0.9122340425531914,0.9110320284697508,132,12,13,128,0.9526201733648542,hard_core_model_visible_logreg,76,0.26666666666666666,209,0.937799043062201,0.8421052631578947,58,0.8923076923076924,33,11,22,nested_route,dino_model_hard_core_extra,dino_model,hard_core,extra,0.1,0.2807017543859649,0.2809544917257683
0.9122807017543859,0.9121601654846336,0.910394265232975,133,11,14,127,0.9537037037037036,hard_core_model_visible_logreg,79,0.2771929824561403,206,0.941747572815534,0.8354430379746836,58,0.8923076923076924,33,11,22,nested_route,model_hard_core_logreg_c001,model,hard_core,logreg,0.01,0.2912280701754386,0.29129728132387706
0.9122807017543859,0.9120124113475176,0.9090909090909091,135,9,16,125,0.9538022064617808,hard_core_model_visible_logreg,79,0.2771929824561403,206,0.941747572815534,0.8354430379746836,58,0.8923076923076924,30,8,22,nested_route,model_hard_all_logreg_c003,model,hard_all,logreg,0.03,0.3192982456140351,0.31877955082742315
0.9122807017543859,0.9119385342789599,0.9084249084249084,136,8,17,124,0.9447399527186762,hard_core_model_visible_extra,88,0.3087719298245614,197,0.934010152284264,0.8636363636363636,63,0.9692307692307692,26,4,22,nested_route,model_non_easy_logreg_c001,model,non_easy,logreg,0.01,0.3508771929824561,0.3502511820330969
0.9122807017543859,0.9119385342789599,0.9084249084249084,136,8,17,124,0.9370567375886526,hard_core_model_visible_extra,88,0.3087719298245614,197,0.934010152284264,0.8636363636363636,63,0.9692307692307692,32,10,22,nested_route,dino_model_hard_all_extra,dino_model,hard_all,extra,0.1,0.3017543859649123,0.30149231678487
0.9087719298245615,0.9092050827423168,0.9115646258503401,125,19,7,134,0.9520291568163909,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.819672131147541,41,0.6307692307692307,31,10,21,nested_route,model_hard_core_logreg_c001,model,hard_core,logreg,0.01,0.2912280701754386,0.29129728132387706
0.9087719298245615,0.9092050827423168,0.9115646258503401,125,19,7,134,0.9516351457840819,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.819672131147541,41,0.6307692307692307,31,10,21,nested_route,model_hard_core_logreg_c003,model,hard_core,logreg,0.03,0.2912280701754386,0.291371158392435
0.9087719298245615,0.9087618203309693,0.9078014184397163,131,13,13,128,0.9357269503546098,hard_core_model_visible_logreg,84,0.29473684210526313,201,0.945273631840796,0.8214285714285714,61,0.9384615384615385,32,11,21,nested_route,model_hard_core_logreg_c03,model,hard_core,logreg,0.3,0.2912280701754386,0.29129728132387706
0.9087719298245615,0.9087618203309693,0.9078014184397163,131,13,13,128,0.9435086682427107,best41_wrong_model_visible_extra,60,0.21052631578947367,225,0.9288888888888889,0.8333333333333334,40,0.6153846153846154,24,3,21,nested_route,model_non_easy_logreg_c01,model,non_easy,logreg,0.1,0.35789473684210527,0.35763888888888884
0.9087719298245615,0.9086879432624113,0.9071428571428571,132,12,14,127,0.937352245862884,hard_core_model_visible_extra,88,0.3087719298245614,197,0.934010152284264,0.8522727272727273,63,0.9692307692307692,33,12,21,nested_route,model_hard_core_logreg_c01,model,hard_core,logreg,0.1,0.29473684210526313,0.2947695035460993
0.9087719298245615,0.9086879432624113,0.9071428571428571,132,12,14,127,0.9477935382190703,hard_core_model_visible_extra,88,0.3087719298245614,197,0.934010152284264,0.8522727272727273,63,0.9692307692307692,32,11,21,nested_route,model_hard_core_extra,model,hard_core,extra,0.1,0.2912280701754386,0.29129728132387706
0.9087719298245615,0.9086140661938534,0.9064748201438849,133,11,15,126,0.9401103230890465,hard_core_model_visible_logreg,84,0.29473684210526313,201,0.945273631840796,0.8214285714285714,61,0.9384615384615385,23,2,21,nested_route,model_non_easy_logreg_c01,model,non_easy,logreg,0.1,0.35789473684210527,0.35763888888888884
0.9087719298245615,0.9086140661938534,0.9064748201438849,133,11,15,126,0.9341509062253742,hard_core_model_visible_logreg,90,0.3157894736842105,195,0.9538461538461539,0.8111111111111111,62,0.9538461538461539,25,4,21,nested_route,model_non_easy_logreg_c03,model,non_easy,logreg,0.3,0.37894736842105264,0.3786199763593381
0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.9372537431048069,hard_core_model_visible_extra,88,0.3087719298245614,197,0.934010152284264,0.8522727272727273,63,0.9692307692307692,28,7,21,nested_route,model_hard_all_logreg_c03,model,hard_all,logreg,0.3,0.32280701754385965,0.32254728132387706
0.9087719298245615,0.9083924349881797,0.9044117647058824,136,8,18,123,0.9513888888888888,hard_core_model_visible_extra,88,0.3087719298245614,197,0.934010152284264,0.8522727272727273,63,0.9692307692307692,30,9,21,nested_route,model_hard_all_logreg_c001,model,hard_all,logreg,0.01,0.30526315789473685,0.3048906619385343
0.9087719298245615,0.9083924349881797,0.9044117647058824,136,8,18,123,0.9478920409771474,hard_core_model_visible_extra,88,0.3087719298245614,197,0.934010152284264,0.8522727272727273,63,0.9692307692307692,29,8,21,nested_route,model_hard_all_logreg_c01,model,hard_all,logreg,0.1,0.3263157894736842,0.32587174940898345
0.9052631578947369,0.9054373522458629,0.9059233449477352,128,16,11,130,0.9477935382190702,best41_wrong_model_visible_extra,51,0.17894736842105263,234,0.9230769230769231,0.8235294117647058,35,0.5384615384615384,27,7,20,nested_route,model_hard_all_logreg_c003,model,hard_all,logreg,0.03,0.3192982456140351,0.31877955082742315
0.9052631578947369,0.9052157210401891,0.9039145907473309,131,13,14,127,0.9421296296296295,hard_core_model_visible_extra,85,0.2982456140350877,200,0.93,0.8470588235294118,60,0.9230769230769231,32,12,20,nested_route,model_hard_core_logreg_c003,model,hard_core,logreg,0.03,0.2912280701754386,0.291371158392435
0.9052631578947369,0.9052157210401891,0.9039145907473309,131,13,14,127,0.9310480693459418,hard_core_model_visible_extra,88,0.3087719298245614,197,0.934010152284264,0.8409090909090909,63,0.9692307692307692,32,12,20,nested_route,model_hard_core_logreg_c03,model,hard_core,logreg,0.3,0.2912280701754386,0.29129728132387706
0.9052631578947369,0.9051418439716312,0.9032258064516129,132,12,15,126,0.9434594168636721,hard_core_model_visible_extra,85,0.2982456140350877,200,0.93,0.8470588235294118,60,0.9230769230769231,32,12,20,nested_route,model_hard_core_logreg_c001,model,hard_core,logreg,0.01,0.2912280701754386,0.29129728132387706
0.9017543859649123,0.9016696217494089,0.9,131,13,15,126,0.945527974783294,hard_core_model_visible_extra,88,0.3087719298245614,197,0.934010152284264,0.8295454545454546,63,0.9692307692307692,24,5,19,nested_route,model_non_easy_logreg_c01,model,non_easy,logreg,0.1,0.35789473684210527,0.35763888888888884
0.9017543859649123,0.901595744680851,0.8992805755395683,132,12,16,125,0.948581560283688,hard_core_model_visible_extra,88,0.3087719298245614,197,0.934010152284264,0.8295454545454546,63,0.9692307692307692,26,7,19,nested_route,model_non_easy_logreg_c003,model,non_easy,logreg,0.03,0.34035087719298246,0.3402039007092199
0.9017543859649123,0.9013741134751774,0.8970588235294118,135,9,19,122,0.9535559495665878,hard_core_model_visible_extra,88,0.3087719298245614,197,0.934010152284264,0.8295454545454546,63,0.9692307692307692,29,10,19,nested_route,model_hard_all_logreg_c003,model,hard_all,logreg,0.03,0.3192982456140351,0.31877955082742315
0.8982456140350877,0.8984929078014184,0.8996539792387543,126,18,11,130,0.9361209613869189,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.7704918032786885,41,0.6307692307692307,23,5,18,nested_route,dino_model_non_easy_extra,dino_model,non_easy,extra,0.1,0.32280701754385965,0.32328605200945626
0.8982456140350877,0.897975768321513,0.8945454545454545,133,11,18,123,0.933559889676911,hard_core_model_visible_extra,85,0.2982456140350877,200,0.925,0.8352941176470589,60,0.9230769230769231,22,4,18,nested_route,model_non_easy_logreg_c03,model,non_easy,logreg,0.3,0.37894736842105264,0.3786199763593381
0.8947368421052632,0.8950206855791962,0.896551724137931,125,19,11,130,0.9256796690307328,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.7540983606557377,41,0.6307692307692307,29,12,17,nested_route,dino_model_hard_all_logreg_c003,dino_model,hard_all,logreg,0.03,0.2982456140350877,0.2980200945626478
0.8947368421052632,0.8947251773049645,0.8936170212765957,129,15,15,126,0.9450847123719464,hard_core_model_visible_extra,88,0.3087719298245614,197,0.934010152284264,0.8068181818181818,63,0.9692307692307692,32,15,17,nested_route,dino_model_hard_core_extra,dino_model,hard_core,extra,0.1,0.2807017543859649,0.2809544917257683
0.887719298245614,0.8882239952718676,0.8918918918918919,121,23,9,132,0.9315405831363279,best41_wrong_model_visible_extra,61,0.21403508771929824,224,0.9330357142857143,0.7213114754098361,41,0.6307692307692307,26,11,15,nested_route,dino_model_hard_all_logreg_c001,dino_model,hard_all,logreg,0.01,0.28421052631578947,0.2847222222222222
0.887719298245614,0.8880023640661938,0.8896551724137931,124,20,12,129,0.9025315208825847,best41_fn_model_visible_extra,38,0.13333333333333333,247,0.8906882591093117,0.868421052631579,19,0.2923076923076923,15,0,15,nested_route,model_non_easy_extra,model,non_easy,extra,0.1,0.3894736842105263,0.3894799054373522
0.887719298245614,0.8880023640661938,0.8896551724137931,124,20,12,129,0.9151891252955084,best41_wrong_model_visible_extra,59,0.20701754385964913,226,0.9292035398230089,0.7288135593220338,40,0.6153846153846154,28,13,15,nested_route,dino_model_hard_all_logreg_c01,dino_model,hard_all,logreg,0.1,0.3087719298245614,0.3087322695035461
