model,old_cv_threshold,pca_components,pca_explained,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
rf_d5,0.5099999999999999,128,0.8976529836654663,0.6877192982456141,0.6868351063829787,0.6563706563706564,111,33,56,85,0.7202521670606777,0.5648148148148148,0.5610394140216254,0.5154639175257731,36,25,22,25,0.5479595395884199,0.5619047619047619,0.5590608950843727,0.5208333333333334,34,24,22,25,0.5447542186353631
extra_d5,0.5099999999999999,128,0.8976529836654663,0.6596491228070176,0.6584663120567376,0.6135458167330677,111,33,64,77,0.7168045705279749,0.5555555555555556,0.545517963027555,0.4782608695652174,38,23,25,22,0.5319148936170213,0.5523809523809524,0.5443873807776962,0.4835164835164835,36,22,25,22,0.5322817314746882
logreg_c001,0.48999999999999994,128,0.8976529836654663,0.6877192982456141,0.6879432624113475,0.6920415224913494,96,48,41,100,0.7278368794326241,0.5370370370370371,0.5437739797697942,0.5283018867924528,30,31,19,28,0.5315660969654691,0.5333333333333333,0.5392516507703595,0.5333333333333333,28,30,19,28,0.5333822450476889
logreg_c1,0.07,128,0.8976529836654663,0.6526315789473685,0.6541814420803782,0.6953846153846154,73,71,28,113,0.689420803782506,0.4722222222222222,0.5083711196372515,0.5648854961832062,14,47,10,37,0.5507499128008371,0.4857142857142857,0.5143066764490095,0.578125,14,44,10,37,0.5561261922230374
svc_c1,0.49999999999999994,128,0.8976529836654663,0.6456140350877193,0.6450206855791962,0.6217228464419475,101,43,58,83,0.6882387706855791,0.5185185185185185,0.5176142309033833,0.48,32,29,23,24,0.5570282525287757,0.5142857142857142,0.5139398385913426,0.48484848484848486,30,28,23,24,0.5542920029347029
logreg_c01,0.33999999999999997,128,0.8976529836654663,0.6701754385964912,0.6713947990543736,0.7025316455696202,80,64,30,111,0.714736012608353,0.4351851851851852,0.45849319846529474,0.49586776859504134,17,44,17,30,0.5441227764213463,0.44761904761904764,0.46570066030814383,0.5084745762711864,17,41,17,30,0.5487894350696991
