accuracy,balanced_accuracy,f1,tn,fp,fn,tp,task_l6_label,n
0.5141509433962265,0.5141509433962265,0.0,109,103,0,0,AB,212
0.5,0.5,0.0,6,6,0,0,B1,12
0.4827586206896552,0.4827586206896552,0.6511627906976745,0,0,15,14,B2,29
0.6226415094339622,0.6226415094339622,0.7674418604651163,0,0,20,33,TC,53
