comparison,extra_review_n,extra_rescued_p2_error_n,extra_review_precision,extra_rescued_fn_n,extra_rescued_fp_n
v48_direction_raw_vs_v37,8,2,0.25,2,0
v48_fn_ranker_vs_v48_direction_raw,5,1,0.2,1,0
