feature_set,description,n_features,dev_auc,external_auc,dev_score_median,external_score_median,dev_score_p95,external_score_p95,external_over_dev_median
all_common,prob+image+binary+categorical,33,0.7400439560439561,0.6652960526315789,0.3572880449397685,5.860092762644e-148,0.9038274662540974,1.2729093560041888e-26,1.6401592064553663e-147
prob_and_binary_no_image,prob+binary+categorical,28,0.754043956043956,0.46422697368421056,0.37177811585807974,0.46184981272355163,0.8975247066514758,0.9731246244648631,1.2422727240348255
prob_only,probability features only,21,0.736989010989011,0.3943256578947368,0.3938079922660551,0.6667601817546027,0.8210109151813543,0.8856185606475864,1.6931098272483567
core_probs_only,six model probabilities only,6,0.607032967032967,0.4309210526315789,0.4792343170924808,0.5759558216778063,0.6388510743135019,0.6991880884091395,1.20182508041606
disagreement_only,probability disagreement and margin only,17,0.745912087912088,0.4366776315789474,0.3768981178416385,0.4821905365037562,0.8770668878019545,0.9744987992289917,1.27936573221721
