group,n,n_low,n_high,auc,accuracy,balanced_accuracy,f1,sensitivity,specificity,tn,fp,fn,tp,config,routed_n,rescue_n,hurt_n,net_rescue,objective,train_groups,route_hard_core_precision,route_hard_core_recall
overall,285,144,141,0.7971828211189913,0.7052631578947368,0.7053043735224587,0.704225352112676,0.7092198581560284,0.7013888888888888,101,43,41,100,upper__img_stack_gross_core__train_hardcore__apply_low_min_margin_030__balanced_accuracy,95,14,32,-18,balanced_accuracy,hard_core,0.3368421052631579,0.49230769230769234
overall,285,144,141,0.7971828211189913,0.7052631578947368,0.7053043735224587,0.704225352112676,0.7092198581560284,0.7013888888888888,101,43,41,100,upper__img_stack_gross_core__train_hardcore__apply_low_min_margin_030__f1,95,14,32,-18,f1,hard_core,0.3368421052631579,0.49230769230769234
overall,285,144,141,0.7921099290780141,0.6912280701754386,0.6915632387706856,0.6986301369863014,0.723404255319149,0.6597222222222222,95,49,39,102,upper__img_stack_gross_core__train_allhard__apply_low_min_margin_030__balanced_accuracy,95,13,35,-22,balanced_accuracy,hard_core|hard_salvage_teacher,0.3368421052631579,0.49230769230769234
overall,285,144,141,0.749113475177305,0.6877192982456141,0.6878693853427896,0.6898954703832753,0.7021276595744681,0.6736111111111112,97,47,42,99,upper__img_stack_gross_core__train_allhard__apply_strong_gross_conflict__balanced_accuracy,125,19,42,-23,balanced_accuracy,hard_core|hard_salvage_teacher,0.296,0.5692307692307692
overall,285,144,141,0.7537431048069346,0.6877192982456141,0.6873522458628842,0.673992673992674,0.6524822695035462,0.7222222222222222,104,40,49,92,upper__img_stack_gross_core__train_hardcore__apply_strong_gross_conflict__balanced_accuracy,125,21,44,-23,balanced_accuracy,hard_core,0.296,0.5692307692307692
overall,285,144,141,0.79048463356974,0.6842105263157895,0.6849881796690307,0.7039473684210527,0.7588652482269503,0.6111111111111112,88,56,34,107,upper__img_stack_gross_core__train_allhard__apply_low_min_margin_030__f1,95,12,36,-24,f1,hard_core|hard_salvage_teacher,0.3368421052631579,0.49230769230769234
overall,285,144,141,0.7537431048069346,0.6771929824561403,0.6769355791962175,0.6666666666666666,0.6524822695035462,0.7013888888888888,101,43,49,92,upper__img_stack_gross_core__train_hardcore__apply_strong_gross_conflict__f1,125,20,46,-26,f1,hard_core,0.296,0.5692307692307692
overall,285,144,141,0.7494089834515366,0.6666666666666666,0.667331560283688,0.6843853820598007,0.7304964539007093,0.6041666666666666,87,57,38,103,upper__img_stack_gross_core__train_allhard__apply_strong_gross_conflict__f1,125,14,43,-29,f1,hard_core|hard_salvage_teacher,0.296,0.5692307692307692
overall,285,144,141,0.7351260835303387,0.6631578947368421,0.6628250591016549,0.6496350364963503,0.6312056737588653,0.6944444444444444,100,44,52,89,upper__img_stack_gross_core__train_hardcore__apply_strong_conflict_or_range__balanced_accuracy,141,21,51,-30,balanced_accuracy,hard_core,0.28368794326241137,0.6153846153846154
overall,285,144,141,0.7068065405831363,0.6596491228070176,0.6601654846335698,0.6734006734006734,0.7092198581560284,0.6111111111111112,88,56,41,100,upper__img_stack_gross_core__train_allhard__apply_gross_conflict__balanced_accuracy,155,22,53,-31,balanced_accuracy,hard_core|hard_salvage_teacher,0.2903225806451613,0.6923076923076923
