policy,score_name,quantile,split,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,control_n,control_rate,auto_n,auto_rate,captured_wrong_n,captured_fn_n,captured_fp_n,remaining_error_n,threshold_from_dev,extra_control_rate_development,extra_control_rate_external
v50_base,none,,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,428,0.7241962774957699,163,0.27580372250423013,84,32,52,7,,,
v50_base,none,,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,29,0.26851851851851855,29,14,15,3,,,
v50_plus_devfit_ood_q800,core_model_range,0.8,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,452,0.7648054145516074,139,0.23519458544839256,85,33,52,6,0.3643211767220459,0.20135363790186125,0.17592592592592593
v50_plus_devfit_ood_q800,core_model_range,0.8,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,82,0.7592592592592593,26,0.24074074074074073,29,14,15,3,0.3643211767220459,0.20135363790186125,0.17592592592592593
v50_plus_devfit_ood_q850,core_model_range,0.85,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,445,0.7529610829103215,146,0.2470389170896785,85,33,52,6,0.41599158421390625,0.1505922165820643,0.12962962962962962
v50_plus_devfit_ood_q850,core_model_range,0.85,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,82,0.7592592592592593,26,0.24074074074074073,29,14,15,3,0.41599158421390625,0.1505922165820643,0.12962962962962962
v50_plus_devfit_ood_q900,core_model_range,0.9,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,439,0.7428087986463621,152,0.2571912013536379,85,33,52,6,0.466812789170608,0.10152284263959391,0.05555555555555555
v50_plus_devfit_ood_q900,core_model_range,0.9,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,29,0.26851851851851855,29,14,15,3,0.466812789170608,0.10152284263959391,0.05555555555555555
v50_plus_devfit_ood_q925,core_model_range,0.925,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,436,0.7377326565143824,155,0.2622673434856176,85,33,52,6,0.4900593475843618,0.07614213197969544,0.05555555555555555
v50_plus_devfit_ood_q925,core_model_range,0.925,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,29,0.26851851851851855,29,14,15,3,0.4900593475843618,0.07614213197969544,0.05555555555555555
v50_plus_devfit_ood_q950,core_model_range,0.95,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,433,0.7326565143824028,158,0.2673434856175973,84,32,52,7,0.5591694881704767,0.050761421319796954,0.018518518518518517
v50_plus_devfit_ood_q950,core_model_range,0.95,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,29,0.26851851851851855,29,14,15,3,0.5591694881704767,0.050761421319796954,0.018518518518518517
v50_plus_devfit_ood_q975,core_model_range,0.975,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,430,0.727580372250423,161,0.272419627749577,84,32,52,7,0.6431416798895794,0.025380710659898477,0.0
v50_plus_devfit_ood_q975,core_model_range,0.975,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,29,0.26851851851851855,29,14,15,3,0.6431416798895794,0.025380710659898477,0.0
v50_plus_devfit_ood_q800,image_common5_isolation_forest,0.8,development,0.9915397631133672,0.9914396081107428,0.9910313901345291,0.9918478260869565,0.9866071428571429,0.9888143176733781,365,3,2,221,469,0.7935702199661591,122,0.20642978003384094,86,34,52,5,0.5302077167201016,0.20135363790186125,1.0
v50_plus_devfit_ood_q800,image_common5_isolation_forest,0.8,external,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,108,1.0,0,0.0,32,15,17,0,0.5302077167201016,0.20135363790186125,1.0
v50_plus_devfit_ood_q850,image_common5_isolation_forest,0.85,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,460,0.7783417935702199,131,0.22165820642978004,84,32,52,7,0.5470112800249929,0.1505922165820643,1.0
v50_plus_devfit_ood_q850,image_common5_isolation_forest,0.85,external,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,108,1.0,0,0.0,32,15,17,0,0.5470112800249929,0.1505922165820643,1.0
v50_plus_devfit_ood_q900,image_common5_isolation_forest,0.9,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,453,0.766497461928934,138,0.233502538071066,84,32,52,7,0.5715173559512136,0.10152284263959391,1.0
v50_plus_devfit_ood_q900,image_common5_isolation_forest,0.9,external,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,108,1.0,0,0.0,32,15,17,0,0.5715173559512136,0.10152284263959391,1.0
v50_plus_devfit_ood_q925,image_common5_isolation_forest,0.925,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,447,0.7563451776649747,144,0.2436548223350254,84,32,52,7,0.581510401614044,0.07614213197969544,1.0
v50_plus_devfit_ood_q925,image_common5_isolation_forest,0.925,external,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,108,1.0,0,0.0,32,15,17,0,0.581510401614044,0.07614213197969544,1.0
v50_plus_devfit_ood_q950,image_common5_isolation_forest,0.95,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,439,0.7428087986463621,152,0.2571912013536379,84,32,52,7,0.6044645028204512,0.050761421319796954,1.0
v50_plus_devfit_ood_q950,image_common5_isolation_forest,0.95,external,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,108,1.0,0,0.0,32,15,17,0,0.6044645028204512,0.050761421319796954,1.0
v50_plus_devfit_ood_q975,image_common5_isolation_forest,0.975,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,431,0.7292724196277496,160,0.2707275803722504,84,32,52,7,0.6375010048237972,0.025380710659898477,0.9907407407407407
v50_plus_devfit_ood_q975,image_common5_isolation_forest,0.975,external,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,108,1.0,0,0.0,32,15,17,0,0.6375010048237972,0.025380710659898477,0.9907407407407407
v50_plus_devfit_ood_q800,image_common5_mahalanobis,0.8,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,470,0.7952622673434856,121,0.20473773265651438,85,33,52,6,5.029300639110207,0.20135363790186125,1.0
v50_plus_devfit_ood_q800,image_common5_mahalanobis,0.8,external,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,108,1.0,0,0.0,32,15,17,0,5.029300639110207,0.20135363790186125,1.0
v50_plus_devfit_ood_q850,image_common5_mahalanobis,0.85,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,458,0.7749576988155669,133,0.22504230118443316,84,32,52,7,5.994652075318314,0.1505922165820643,1.0
