model,n,threshold,accuracy,balanced_accuracy,auc,f1,tn,fp,fn,tp,sensitivity_high,specificity_low
concept_extra_d3,589,0.5449999999999999,0.7215619694397284,0.6902508775805778,0.7404816260402091,0.6038647342995169,300,67,97,125,0.5630630630630631,0.8174386920980926
concept_gb_d2,589,0.35999999999999993,0.6893039049235993,0.6839421165034244,0.7360507646611189,0.6163522012578616,259,108,75,147,0.6621621621621622,0.7057220708446866
concept_logreg_c03,589,0.5249999999999999,0.6825127334465195,0.6695939809018828,0.7150992954807669,0.5943600867678959,265,102,85,137,0.6171171171171171,0.7220708446866485
