accuracy,balanced_accuracy,f1,tn,fp,fn,tp,route_col,corrector_name,objective,routed_n,routed_pct,pass_n,pass_acc,routed_acc,hard_core_routed,hard_core_recall,rescue_n,hurt_n,net_rescue
0.9228070175438596,0.9226507092198581,0.920863309352518,135,9,13,128,route_score__hard_core__model_visible__logreg,corrector_hard_gross_text_hand_model,accuracy,76,0.26666666666666666,209,0.937799043062201,0.881578947368421,58,0.8923076923076924,30,5,25
0.9228070175438596,0.9226507092198581,0.920863309352518,135,9,13,128,route_score__hard_core__model_visible__logreg,corrector_hard_gross_text_hand_model,pass90_accuracy,76,0.26666666666666666,209,0.937799043062201,0.881578947368421,58,0.8923076923076924,30,5,25
0.9228070175438596,0.9226507092198581,0.920863309352518,135,9,13,128,route_score__hard_core__model_visible__logreg,corrector_hard_gross_text_hand_model,balanced_accuracy,76,0.26666666666666666,209,0.937799043062201,0.881578947368421,58,0.8923076923076924,30,5,25
0.9192982456140351,0.9195478723404256,0.9204152249134948,129,15,8,133,route_score__best41_wrong__model_visible__extra,corrector_hard_gross_text_hand_model,accuracy,61,0.21403508771929824,224,0.9330357142857143,0.8688524590163934,41,0.6307692307692307,30,6,24
0.9192982456140351,0.9195478723404256,0.9204152249134948,129,15,8,133,route_score__best41_wrong__model_visible__extra,corrector_hard_gross_text_hand_model,pass90_accuracy,61,0.21403508771929824,224,0.9330357142857143,0.8688524590163934,41,0.6307692307692307,30,6,24
0.9192982456140351,0.9195478723404256,0.9204152249134948,129,15,8,133,route_score__best41_wrong__model_visible__extra,corrector_hard_gross_text_hand_model,balanced_accuracy,61,0.21403508771929824,224,0.9330357142857143,0.8688524590163934,41,0.6307692307692307,30,6,24
0.9122807017543859,0.9121601654846336,0.910394265232975,133,11,14,127,route_score__hard_core__model_visible__extra,corrector_hard_gross_text_hand_model,accuracy,88,0.3087719298245614,197,0.934010152284264,0.8636363636363636,63,0.9692307692307692,29,7,22
0.9122807017543859,0.9121601654846336,0.910394265232975,133,11,14,127,route_score__hard_core__model_visible__extra,corrector_hard_gross_text_hand_model,pass90_accuracy,88,0.3087719298245614,197,0.934010152284264,0.8636363636363636,63,0.9692307692307692,29,7,22
0.9122807017543859,0.9121601654846336,0.910394265232975,133,11,14,127,route_score__hard_core__model_visible__extra,corrector_hard_gross_text_hand_model,balanced_accuracy,88,0.3087719298245614,197,0.934010152284264,0.8636363636363636,63,0.9692307692307692,29,7,22
0.9087719298245615,0.9090573286052009,0.9103448275862069,127,17,9,132,route_score__best41_wrong__gross_hand_model__extra,corrector_hard_gross_text_hand_model,accuracy,64,0.22456140350877193,221,0.9230769230769231,0.859375,42,0.6461538461538462,28,7,21
0.9087719298245615,0.9090573286052009,0.9103448275862069,127,17,9,132,route_score__best41_wrong__gross_hand_model__extra,corrector_hard_gross_text_hand_model,pass90_accuracy,64,0.22456140350877193,221,0.9230769230769231,0.859375,42,0.6461538461538462,28,7,21
0.9087719298245615,0.9090573286052009,0.9103448275862069,127,17,9,132,route_score__best41_wrong__gross_hand_model__extra,corrector_hard_gross_text_hand_model,balanced_accuracy,64,0.22456140350877193,221,0.9230769230769231,0.859375,42,0.6461538461538462,28,7,21
0.8842105263157894,0.8848256501182032,0.8896321070234113,119,25,8,133,route_score__best41_fn__model_visible__extra,corrector_hard_gross_text_hand_model,pass90_accuracy,42,0.14736842105263157,243,0.897119341563786,0.8095238095238095,25,0.38461538461538464,19,5,14
0.8807017543859649,0.8803191489361701,0.875,132,12,22,119,route_score__hard_core__gross_hand_model__logreg,corrector_hard_gross_text_hand_model,accuracy,73,0.256140350877193,212,0.9198113207547169,0.7671232876712328,47,0.7230769230769231,23,10,13
0.8807017543859649,0.8803191489361701,0.875,132,12,22,119,route_score__hard_core__gross_hand_model__logreg,corrector_hard_gross_text_hand_model,pass90_accuracy,73,0.256140350877193,212,0.9198113207547169,0.7671232876712328,47,0.7230769230769231,23,10,13
0.8807017543859649,0.8803191489361701,0.875,132,12,22,119,route_score__hard_core__gross_hand_model__logreg,corrector_hard_gross_text_hand_model,balanced_accuracy,73,0.256140350877193,212,0.9198113207547169,0.7671232876712328,47,0.7230769230769231,23,10,13
0.8771929824561403,0.8777334515366431,0.8821548821548821,119,25,10,131,route_score__best41_fn__model_visible__extra,corrector_hard_gross_text_hand_model,accuracy,33,0.11578947368421053,252,0.8888888888888888,0.7878787878787878,18,0.27692307692307694,17,5,12
0.8771929824561403,0.8777334515366431,0.8821548821548821,119,25,10,131,route_score__best41_fn__model_visible__extra,corrector_hard_gross_text_hand_model,balanced_accuracy,33,0.11578947368421053,252,0.8888888888888888,0.7878787878787878,18,0.27692307692307694,17,5,12
0.8736842105263158,0.8729314420803782,0.8625954198473282,136,8,28,113,route_score__best41_fp__model_visible__extra,corrector_hard_gross_text_hand_model,accuracy,14,0.04912280701754386,271,0.8708487084870848,0.9285714285714286,12,0.18461538461538463,12,1,11
0.8736842105263158,0.8729314420803782,0.8625954198473282,136,8,28,113,route_score__best41_fp__model_visible__extra,corrector_hard_gross_text_hand_model,pass90_accuracy,14,0.04912280701754386,271,0.8708487084870848,0.9285714285714286,12,0.18461538461538463,12,1,11
0.8736842105263158,0.8729314420803782,0.8625954198473282,136,8,28,113,route_score__best41_fp__model_visible__extra,corrector_hard_gross_text_hand_model,balanced_accuracy,14,0.04912280701754386,271,0.8708487084870848,0.9285714285714286,12,0.18461538461538463,12,1,11
0.8701754385964913,0.8705673758865249,0.8737201365187713,120,24,13,128,route_score__best41_fn__model_visible__logreg,corrector_hard_gross_text_hand_model,accuracy,31,0.10877192982456141,254,0.8779527559055118,0.8064516129032258,19,0.2923076923076923,14,4,10
0.8701754385964913,0.8705673758865249,0.8737201365187713,120,24,13,128,route_score__best41_fn__model_visible__logreg,corrector_hard_gross_text_hand_model,balanced_accuracy,31,0.10877192982456141,254,0.8779527559055118,0.8064516129032258,19,0.2923076923076923,14,4,10
0.8701754385964913,0.8693114657210401,0.8571428571428571,137,7,30,111,route_score__best41_fp__gross_hand_model__extra,corrector_hard_gross_text_hand_model,accuracy,16,0.056140350877192984,269,0.8736059479553904,0.8125,13,0.2,13,3,10
