setting,scope,variant,model,weight_mode,prob_threshold,core_max,extra_review_n,extra_captured_error_n,extra_clean_review_n,n,control_rate,remaining_error_n,fn,fp,sensitivity,specificity,balanced_accuracy
internal_oof,all,whole_crop,logreg_bal_c0.03,domain_label,0.25,0.35,30,6,24,591,0.7766497461928934,4,1,3,0.9955156950672646,0.9918478260869565,0.9936817605771106
internal_oof,old_data,whole_crop,logreg_bal_c0.03,domain_label,0.25,0.35,4,0,4,285,0.7403508771929824,1,0,1,1.0,0.9930555555555556,0.9965277777777778
internal_oof,third_batch,whole_crop,logreg_bal_c0.03,domain_label,0.25,0.35,26,6,20,306,0.8104575163398693,3,1,2,0.9878048780487805,0.9910714285714286,0.9894381533101045
strict_external_refit,all,whole_crop,logreg_bal_c0.03,domain_label,0.25,0.35,2,0,2,108,0.8425925925925926,1,0,1,1.0,0.9836065573770492,0.9918032786885246
strict_external_refit,strict_external,whole_crop,logreg_bal_c0.03,domain_label,0.25,0.35,2,0,2,108,0.8425925925925926,1,0,1,1.0,0.9836065573770492,0.9918032786885246
