subset,source,n,threshold,accuracy,balanced_accuracy,f1,auc,tn,fp,fn,tp,sensitivity_high,specificity_low
all,dev_selected_prob_avg_108_0.8_104_0.2_threshold_0.595,108,0.595,0.6481481481481481,0.627485176142309,0.5365853658536586,0.6051621904429718,48,13,25,22,0.46808510638297873,0.7868852459016393
strict,dev_selected_prob_avg_108_0.8_104_0.2_threshold_0.595,105,0.595,0.638095238095238,0.621973587674248,0.5365853658536586,0.6016140865737345,45,13,25,22,0.46808510638297873,0.7758620689655172
