kind,repeat_adapt,threshold_objective,third_oof_accuracy,third_oof_balanced_accuracy,third_oof_f1,third_oof_tn,third_oof_fp,third_oof_fn,third_oof_tp,third_oof_auc
logreg_0.001,2,accuracy,0.8006535947712419,0.6860300522648084,0.5413533834586466,209,15,46,36,0.7909952090592335
logreg_0.0003,4,accuracy,0.7973856209150327,0.699259581881533,0.5633802816901409,204,20,42,40,0.8011759581881533
extratrees_3,1,accuracy,0.7777777777777778,0.647212543554007,0.46875,208,16,52,30,0.7441746515679443
extratrees_5,1,accuracy,0.7679738562091504,0.6443815331010453,0.46616541353383456,204,20,51,31,0.7477678571428571
extratrees_5,1,balanced_accuracy,0.7189542483660131,0.668880662020906,0.5168539325842697,174,50,36,46,0.7477678571428571
logreg_0.001,2,balanced_accuracy,0.7156862745098039,0.6859756097560976,0.5396825396825397,168,56,31,51,0.7909952090592335
logreg_0.0003,4,balanced_accuracy,0.7026143790849673,0.7118358013937283,0.5687203791469194,155,69,22,60,0.8011759581881533
extratrees_3,1,balanced_accuracy,0.7026143790849673,0.6461236933797909,0.4858757062146893,172,52,39,43,0.7441746515679443
