policy,family,name,budget,base_budget,addon_candidate,addon_rate,dev_accuracy,dev_balanced_accuracy,dev_sensitivity,dev_specificity,dev_precision,dev_f1,dev_tn,dev_fp,dev_fn,dev_tp,dev_review_n,dev_review_rate,dev_captured_wrong_n,dev_captured_fn_n,dev_captured_fp_n,dev_remaining_error_n,dev_review_precision_vs_p2_error,external_accuracy,external_balanced_accuracy,external_sensitivity,external_specificity,external_precision,external_f1,external_tn,external_fp,external_fn,external_tp,external_review_n,external_review_rate,external_captured_wrong_n,external_captured_fn_n,external_captured_fp_n,external_remaining_error_n,external_review_precision_vs_p2_error
buffer::all_direction::0.475+0.075,buffer,all_direction,,0.475,all_direction,0.075,0.9661590524534687,0.9613411483720024,0.9417040358744395,0.9809782608695652,0.967741935483871,0.9545454545454546,361,7,13,210,325,0.5499153976311336,71,23,48,20,0.21846153846153846,0.9166666666666666,0.9140216253923963,0.8936170212765957,0.9344262295081968,0.9130434782608695,0.9032258064516129,57,4,5,42,59,0.5462962962962963,23,10,13,9,0.3898305084745763
buffer::all_direction::0.475+0.100,buffer,all_direction,,0.475,all_direction,0.1,0.9678510998307953,0.9635833008383701,0.9461883408071748,0.9809782608695652,0.9678899082568807,0.9569160997732425,361,7,12,211,340,0.5752961082910322,72,24,48,19,0.21176470588235294,0.9259259259259259,0.9222183467038716,0.8936170212765957,0.9508196721311475,0.9333333333333333,0.9130434782608695,58,3,5,42,62,0.5740740740740741,24,10,14,8,0.3870967741935484
buffer::all_direction::0.475+0.125,buffer,all_direction,,0.475,all_direction,0.125,0.9712351945854484,0.9671841489569117,0.9506726457399103,0.9836956521739131,0.9724770642201835,0.9614512471655329,362,6,11,212,355,0.6006768189509306,74,25,49,17,0.2084507042253521,0.9259259259259259,0.9222183467038716,0.8936170212765957,0.9508196721311475,0.9333333333333333,0.9130434782608695,58,3,5,42,65,0.6018518518518519,24,10,14,8,0.36923076923076925
buffer::all_direction::0.475+0.150,buffer,all_direction,,0.475,all_direction,0.15,0.9729272419627749,0.9694263014232793,0.9551569506726457,0.9836956521739131,0.9726027397260274,0.9638009049773755,362,6,10,213,370,0.626057529610829,75,26,49,16,0.20270270270270271,0.9351851851851852,0.930415068015347,0.8936170212765957,0.9672131147540983,0.9545454545454546,0.9230769230769231,59,2,5,42,67,0.6203703703703703,25,10,15,7,0.373134328358209
buffer::all_direction::0.475+0.175,buffer,all_direction,,0.475,all_direction,0.175,0.9746192893401016,0.9716684538896472,0.9596412556053812,0.9836956521739131,0.9727272727272728,0.9661399548532731,362,6,9,214,384,0.649746192893401,76,27,49,15,0.19791666666666666,0.9444444444444444,0.9410533658876874,0.9148936170212766,0.9672131147540983,0.9555555555555556,0.9347826086956522,59,2,4,43,70,0.6481481481481481,26,11,15,6,0.37142857142857144
buffer::all_direction::0.475+0.200,buffer,all_direction,,0.475,all_direction,0.2,0.9763113367174281,0.973027149541821,0.9596412556053812,0.9864130434782609,0.9771689497716894,0.9683257918552036,363,5,9,214,399,0.6751269035532995,77,27,50,14,0.19298245614035087,0.9537037037037037,0.9516916637600279,0.9361702127659575,0.9672131147540983,0.9565217391304348,0.9462365591397849,59,2,3,44,73,0.6759259259259259,27,12,15,5,0.3698630136986301
buffer::all_direction::0.475+0.225,buffer,all_direction,,0.475,all_direction,0.225,0.9813874788494078,0.9788701501267303,0.968609865470852,0.9891304347826086,0.9818181818181818,0.9751693002257336,364,4,7,216,414,0.700507614213198,80,29,51,11,0.1932367149758454,0.9629629629629629,0.9623299616323684,0.9574468085106383,0.9672131147540983,0.9574468085106383,0.9574468085106385,59,2,2,45,75,0.6944444444444444,28,13,15,4,0.37333333333333335
buffer::all_direction::0.475+0.250,buffer,all_direction,,0.475,all_direction,0.25,0.9864636209813875,0.9855966075258334,0.9820627802690582,0.9891304347826086,0.9820627802690582,0.9820627802690582,364,4,4,219,429,0.7258883248730964,83,32,51,8,0.19347319347319347,0.9629629629629629,0.9623299616323684,0.9574468085106383,0.9672131147540983,0.9574468085106383,0.9574468085106385,59,2,2,45,78,0.7222222222222222,28,13,15,4,0.358974358974359
buffer::all_any::0.475+0.000,buffer,all_any,,0.475,all_any,0.0,0.9543147208121827,0.9465295379216221,0.9147982062780269,0.9782608695652174,0.9622641509433962,0.9379310344827586,360,8,19,204,281,0.4754653130287648,64,17,47,27,0.2277580071174377,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,51,0.4722222222222222,22,9,13,10,0.43137254901960786
buffer::all_any::0.475+0.025,buffer,all_any,,0.475,all_any,0.025,0.9593908629441624,0.9523725385065315,0.9237668161434978,0.9809782608695652,0.9671361502347418,0.944954128440367,361,7,17,206,296,0.5008460236886633,67,19,48,24,0.22635135135135134,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,54,0.5,22,9,13,10,0.4074074074074074
