policy,sources,threshold_from_development,split,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
domain_anchor_base162,prob_base162,0.5949999999999998,development,0.901125950477676,0.8747884940778342,0.8632347923571846,0.8161434977578476,0.9103260869565217,0.8465116279069768,0.8310502283105023,335,33,41,182
domain_anchor_base162,prob_base162,0.5949999999999998,external_strict,0.6051621904429717,0.6481481481481481,0.627485176142309,0.46808510638297873,0.7868852459016393,0.6285714285714286,0.5365853658536586,48,13,25,22
domain_anchor_base162,prob_base162,0.5949999999999998,development:old,0.9489263199369583,0.9228070175438596,0.9227245862884161,0.9148936170212766,0.9305555555555556,0.9280575539568345,0.9214285714285715,134,10,12,129
domain_anchor_base162,prob_base162,0.5949999999999998,development:third,0.8136977351916377,0.8300653594771242,0.7718314459930313,0.6463414634146342,0.8973214285714286,0.6973684210526315,0.6708860759493671,201,23,29,53
diversity_robust_branch,prob_base162+prob103_vitl+prob_mean_core,0.5699999999999998,development,0.8747806589978554,0.8240270727580372,0.8039213296938974,0.7219730941704036,0.8858695652173914,0.7931034482758621,0.7558685446009389,326,42,62,161
diversity_robust_branch,prob_base162+prob103_vitl+prob_mean_core,0.5699999999999998,external_strict,0.6686431810254622,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44,17,15,32
diversity_robust_branch,prob_base162+prob103_vitl+prob_mean_core,0.5699999999999998,development:old,0.9036643026004727,0.8421052631578947,0.8416814420803782,0.8014184397163121,0.8819444444444444,0.8692307692307693,0.8339483394833948,127,17,28,113
diversity_robust_branch,prob_base162+prob103_vitl+prob_mean_core,0.5699999999999998,development:third,0.8161476480836238,0.8071895424836601,0.7368793554006968,0.5853658536585366,0.8883928571428571,0.6575342465753424,0.6193548387096773,199,25,34,48
three_source_mean_branch,prob_base162+prob103_vitl+prob107_qkvb,0.4949999999999998,development,0.8600116981867811,0.7868020304568528,0.7855149639305907,0.7802690582959642,0.7907608695652174,0.6932270916334662,0.7341772151898734,291,77,49,174
three_source_mean_branch,prob_base162+prob103_vitl+prob107_qkvb,0.4949999999999998,external_strict,0.67317753749564,0.5185185185185185,0.5395884199511685,0.7021276595744681,0.3770491803278688,0.4647887323943662,0.559322033898305,23,38,14,33
three_source_mean_branch,prob_base162+prob103_vitl+prob107_qkvb,0.4949999999999998,development:old,0.8737687155240347,0.7859649122807018,0.7864952718676124,0.8368794326241135,0.7361111111111112,0.7564102564102564,0.7946127946127945,106,38,23,118
three_source_mean_branch,prob_base162+prob103_vitl+prob107_qkvb,0.4949999999999998,development:third,0.8182709059233452,0.7875816993464052,0.7544098432055749,0.6829268292682927,0.8258928571428571,0.5894736842105263,0.632768361581921,185,39,26,56
