scope,policy,policy_label,n,control_n,control_rate,auto_n,auto_rate,accuracy,balanced_accuracy,sensitivity,specificity,tn,fp,fn,tp,remaining_error_n,remaining_auto_risk
old_data,pure_auto,Pure auto,285,0,0.0,285,1.0,0.8842105263157894,0.8846040189125295,0.9219858156028369,0.8472222222222222,122,22,11,130,33,0.11578947368421053
old_data,v50_main,Fixed v50,285,207,0.7263157894736842,78,0.2736842105263158,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,143,1,0,141,1,0.01282051282051282
old_data,v79_light_lowrisk_guard,Fixed v79-light,285,220,0.7719298245614035,65,0.22807017543859648,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,143,1,0,141,1,0.015384615384615385
old_data,v79_strict_lowrisk_guard,Fixed v79-strict,285,234,0.8210526315789474,51,0.17894736842105263,1.0,1.0,1.0,1.0,144,0,0,141,0,0.0
old_data,adaptive_v50_to_v79_light,Batch-adaptive main,285,207,0.7263157894736842,78,0.2736842105263158,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,143,1,0,141,1,0.01282051282051282
old_data,adaptive_v50_to_v79_strict,Batch-adaptive strict,285,207,0.7263157894736842,78,0.2736842105263158,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,143,1,0,141,1,0.01282051282051282
old_data,risk_any_shiftaware_target10,Risk-rank target10 shift-aware,285,157,0.5508771929824562,128,0.44912280701754387,0.9789473684210527,0.9790189125295508,0.9858156028368794,0.9722222222222222,140,4,2,139,6,0.046875
old_data,risk_direction_uniform80,Risk-direction uniform80,285,228,0.8,57,0.2,1.0,1.0,1.0,1.0,144,0,0,141,0,0.0
old_data,quality_direction_uniform90,Quality+direction uniform90,285,256,0.8982456140350877,29,0.10175438596491228,1.0,1.0,1.0,1.0,144,0,0,141,0,0.0
third_batch,pure_auto,Pure auto,306,0,0.0,306,1.0,0.8104575163398693,0.7739002613240418,0.6951219512195121,0.8526785714285714,191,33,25,57,58,0.1895424836601307
third_batch,v50_main,Fixed v50,306,222,0.7254901960784313,84,0.27450980392156865,0.9705882352941176,0.9528527874564461,0.9146341463414634,0.9910714285714286,222,2,7,75,9,0.10714285714285714
third_batch,v79_light_lowrisk_guard,Fixed v79-light,306,243,0.7941176470588235,63,0.20588235294117646,0.9836601307189542,0.9695121951219512,0.9390243902439024,1.0,224,0,5,77,5,0.07936507936507936
third_batch,v79_strict_lowrisk_guard,Fixed v79-strict,306,249,0.8137254901960784,57,0.18627450980392157,0.9836601307189542,0.9695121951219512,0.9390243902439024,1.0,224,0,5,77,5,0.08771929824561403
third_batch,adaptive_v50_to_v79_light,Batch-adaptive main,306,222,0.7254901960784313,84,0.27450980392156865,0.9705882352941176,0.9528527874564461,0.9146341463414634,0.9910714285714286,222,2,7,75,9,0.10714285714285714
third_batch,adaptive_v50_to_v79_strict,Batch-adaptive strict,306,222,0.7254901960784313,84,0.27450980392156865,0.9705882352941176,0.9528527874564461,0.9146341463414634,0.9910714285714286,222,2,7,75,9,0.10714285714285714
third_batch,risk_any_shiftaware_target10,Risk-rank target10 shift-aware,306,168,0.5490196078431373,138,0.45098039215686275,0.9607843137254902,0.9268292682926829,0.8536585365853658,1.0,224,0,12,70,12,0.08695652173913043
third_batch,risk_direction_uniform80,Risk-direction uniform80,306,245,0.8006535947712419,61,0.19934640522875818,0.9836601307189542,0.9733776132404182,0.9512195121951219,0.9955357142857143,223,1,4,78,5,0.08196721311475409
third_batch,quality_direction_uniform90,Quality+direction uniform90,306,275,0.8986928104575164,31,0.10130718954248366,1.0,1.0,1.0,1.0,224,0,0,82,0,0.0
strict_external,pure_auto,Pure auto,108,0,0.0,108,1.0,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,44,17,15,32,32,0.2962962962962963
strict_external,v50_main,Fixed v50,108,79,0.7314814814814815,29,0.26851851851851855,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,59,2,1,46,3,0.10344827586206896
strict_external,v79_light_lowrisk_guard,Fixed v79-light,108,89,0.8240740740740741,19,0.17592592592592593,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,60,1,0,47,1,0.05263157894736842
strict_external,v79_strict_lowrisk_guard,Fixed v79-strict,108,94,0.8703703703703703,14,0.12962962962962962,1.0,1.0,1.0,1.0,61,0,0,47,0,0.0
strict_external,adaptive_v50_to_v79_light,Batch-adaptive main,108,89,0.8240740740740741,19,0.17592592592592593,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,60,1,0,47,1,0.05263157894736842
strict_external,adaptive_v50_to_v79_strict,Batch-adaptive strict,108,94,0.8703703703703703,14,0.12962962962962962,1.0,1.0,1.0,1.0,61,0,0,47,0,0.0
strict_external,risk_any_shiftaware_target10,Risk-rank target10 shift-aware,108,92,0.8518518518518519,16,0.14814814814814814,0.9907407407407407,0.9893617021276595,0.9787234042553191,1.0,61,0,1,46,1,0.0625
strict_external,risk_direction_uniform80,Risk-direction uniform80,108,86,0.7962962962962963,22,0.2037037037037037,0.9814814814814815,0.9811649808161842,0.9787234042553191,0.9836065573770492,60,1,1,46,2,0.09090909090909091
strict_external,quality_direction_uniform90,Quality+direction uniform90,108,97,0.8981481481481481,11,0.10185185185185185,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,60,1,0,47,1,0.09090909090909091
all_domains,pure_auto,Pure auto,699,0,0.0,699,1.0,0.8240343347639485,0.8216394716394717,0.8111111111111111,0.8321678321678322,357,72,51,219,123,0.1759656652360515
all_domains,v50_main,Fixed v50,699,508,0.7267525035765379,191,0.2732474964234621,0.9814020028612304,0.9793576793576793,0.9703703703703703,0.9883449883449883,424,5,8,262,13,0.06806282722513089
all_domains,v79_light_lowrisk_guard,Fixed v79-light,699,552,0.7896995708154506,147,0.21030042918454936,0.9899856938483548,0.9884097384097384,0.9814814814814815,0.9953379953379954,427,2,5,265,7,0.047619047619047616
all_domains,v79_strict_lowrisk_guard,Fixed v79-strict,699,577,0.8254649499284692,122,0.17453505007153075,0.9928469241773963,0.9907407407407407,0.9814814814814815,1.0,429,0,5,265,5,0.040983606557377046
all_domains,adaptive_v50_to_v79_light,Batch-adaptive main,699,518,0.7410586552217453,181,0.25894134477825465,0.9842632331902719,0.9823750323750324,0.9740740740740741,0.9906759906759907,425,4,7,263,11,0.06077348066298342
all_domains,adaptive_v50_to_v79_strict,Batch-adaptive strict,699,523,0.748211731044349,176,0.25178826895565093,0.9856938483547926,0.9835405335405336,0.9740740740740741,0.993006993006993,426,3,7,263,10,0.056818181818181816
all_domains,risk_any_shiftaware_target10,Risk-rank target10 shift-aware,699,417,0.5965665236051502,282,0.4034334763948498,0.9728183118741058,0.9675602175602176,0.9444444444444444,0.9906759906759907,425,4,15,255,19,0.0673758865248227
all_domains,risk_direction_uniform80,Risk-direction uniform80,699,559,0.7997138769670958,140,0.20028612303290416,0.9899856938483548,0.9884097384097384,0.9814814814814815,0.9953379953379954,427,2,5,265,7,0.05
all_domains,quality_direction_uniform90,Quality+direction uniform90,699,628,0.8984263233190272,71,0.10157367668097282,0.9985693848354793,0.9988344988344988,1.0,0.9976689976689976,428,1,0,270,1,0.014084507042253521
