accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,feature_set,target,model,objective,routed_n,routed_frac,routed_acc,pass_n,pass_frac,pass_acc,rescue_n,hurt_n,net_rescue
0.8385964912280702,0.8382092198581561,0.834909377462569,0.8308823529411765,0.8014184397163121,0.875,126,18,28,113,numeric_emb16,base_wrong,extra_d3_l8,accuracy,3,0.010526315789473684,0.6666666666666666,282,0.9894736842105263,0.8404255319148937,2,1,1
0.8350877192982457,0.8348108747044918,0.8359436564223799,0.8290909090909091,0.8085106382978723,0.8611111111111112,124,20,27,114,numeric,hard_core,rf_d3_l8,accuracy,0,0.0,,285,1.0,0.8350877192982457,0,0,0
0.8350877192982457,0.8348108747044918,0.8359436564223799,0.8290909090909091,0.8085106382978723,0.8611111111111112,124,20,27,114,numeric,hard_core,gb_d1,accuracy,0,0.0,,285,1.0,0.8350877192982457,0,0,0
0.8350877192982457,0.8348108747044918,0.8359436564223799,0.8290909090909091,0.8085106382978723,0.8611111111111112,124,20,27,114,numeric_emb8,hard_core,rf_d3_l8,accuracy,0,0.0,,285,1.0,0.8350877192982457,0,0,0
0.8350877192982457,0.8348108747044918,0.8359436564223799,0.8290909090909091,0.8085106382978723,0.8611111111111112,124,20,27,114,numeric_emb16,hard_core,rf_d3_l8,accuracy,0,0.0,,285,1.0,0.8350877192982457,0,0,0
0.8350877192982457,0.8347369976359338,0.8342198581560283,0.8278388278388278,0.8014184397163121,0.8680555555555556,125,19,28,113,numeric,switch_gain,gb_d1,accuracy,2,0.007017543859649123,0.5,283,0.9929824561403509,0.8374558303886925,1,1,0
0.8350877192982457,0.8347369976359338,0.8307230102442869,0.8278388278388278,0.8014184397163121,0.8680555555555556,125,19,28,113,numeric_emb16,base_wrong,rf_d3_l8,accuracy,2,0.007017543859649123,0.5,283,0.9929824561403509,0.8374558303886925,1,1,0
0.8315789473684211,0.8312647754137117,0.8310185185185185,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,numeric_emb16,hard_core,extra_d3_l8,accuracy,1,0.0035087719298245615,0.0,284,0.9964912280701754,0.8345070422535211,0,1,-1
0.8315789473684211,0.8311908983451537,0.8335795902285265,0.8235294117647058,0.7943262411347518,0.8680555555555556,125,19,29,112,numeric_emb8,base_wrong,gb_d1,accuracy,3,0.010526315789473684,0.3333333333333333,282,0.9894736842105263,0.8368794326241135,1,2,-1
0.8315789473684211,0.8311908983451537,0.8319542947202523,0.8235294117647058,0.7943262411347518,0.8680555555555556,125,19,29,112,numeric_emb16,base_wrong,gb_d1,accuracy,3,0.010526315789473684,0.3333333333333333,282,0.9894736842105263,0.8368794326241135,1,2,-1
