feature_set,model,n,n_features,threshold,accuracy,balanced_accuracy,auc,f1,tn,fp,fn,tp,sensitivity_high,specificity_low
image_plus_concept,extra_d3,589,99,0.49999999999999994,0.8692699490662139,0.8603910449959496,0.9116159756486732,0.8261851015801355,329,38,39,183,0.8243243243243243,0.896457765667575
image_plus_concept,gb_d2,589,99,0.38999999999999996,0.8692699490662139,0.8603910449959496,0.9080995164101431,0.8261851015801355,329,38,39,183,0.8243243243243243,0.896457765667575
image_probs_only,extra_d3,589,19,0.4549999999999999,0.8675721561969439,0.8590286471757862,0.9070010064560474,0.8243243243243243,328,39,39,183,0.8243243243243243,0.8937329700272479
image_probs_only,logreg_c03,589,19,0.4799999999999999,0.8692699490662139,0.8586113361317721,0.9071114711441688,0.8246013667425968,331,36,41,181,0.8153153153153153,0.9019073569482289
image_probs_only,gb_d2,589,19,0.38499999999999995,0.8590831918505942,0.8557760758033237,0.8991396028180768,0.8183807439824945,319,48,35,187,0.8423423423423423,0.8692098092643051
image_plus_concept,logreg_c03,589,99,0.62,0.8590831918505942,0.8433181137540811,0.9020669170532931,0.8065268065268065,333,34,49,173,0.7792792792792793,0.9073569482288828
concept_only_structured,extra_d3,589,80,0.5449999999999999,0.7249575551782682,0.6911959643567274,0.744507450229521,0.6029411764705882,304,63,99,123,0.5540540540540541,0.8283378746594006
concept_only_structured,gb_d2,589,80,0.35999999999999993,0.6893039049235993,0.6839421165034244,0.7368240174779684,0.6163522012578616,259,108,75,147,0.6621621621621622,0.7057220708446866
concept_only_structured,logreg_c03,589,80,0.5599999999999999,0.6943972835314092,0.6729017846184059,0.7086309742985492,0.5909090909090909,279,88,92,130,0.5855855855855856,0.7602179836512262
