accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,select_mode,oracle_acc,candidate_n,pool,feature_set
0.8140350877192982,0.8139036643026005,0.8130417651694247,0.8100358422939068,0.8014184397163121,0.8263888888888888,119,25,28,113,gb_d1_lr05,argmax_model,0.9543859649122807,31,raw_plus_corrected,candidate_full
0.8105263157894737,0.8102836879432624,0.8009998029944838,0.8043478260869565,0.7872340425531915,0.8333333333333334,120,24,30,111,extra_d3_l8,argmax_model,0.9543859649122807,31,raw_plus_corrected,candidate_full
0.7964912280701755,0.7963209219858156,0.8081905043341213,0.7913669064748201,0.7801418439716312,0.8125,117,27,31,110,extra_d2_l10,argmax_model,0.9543859649122807,31,raw_plus_corrected,candidate_full
0.7894736842105263,0.7892287234042553,0.8249605988967691,0.782608695652174,0.7659574468085106,0.8125,117,27,33,108,extra_d2_l10,trainacc_weighted_vote,0.9543859649122807,31,raw_plus_corrected,candidate_full
0.7859649122807018,0.7856826241134751,0.8248620961386919,0.7781818181818182,0.7588652482269503,0.8125,117,27,34,107,extra_d3_l8,weighted_vote,0.9543859649122807,31,raw_plus_corrected,candidate_full
0.7824561403508772,0.782210401891253,0.82776792750197,0.7753623188405797,0.7588652482269503,0.8055555555555556,116,28,34,107,extra_d3_l8,trainacc_weighted_vote,0.9543859649122807,31,raw_plus_corrected,candidate_full
0.7789473684210526,0.7787381796690307,0.8283835697399526,0.7725631768953068,0.7588652482269503,0.7986111111111112,115,29,34,107,gb_d1_lr05,trainacc_weighted_vote,0.9543859649122807,31,raw_plus_corrected,candidate_full
0.7789473684210526,0.7787381796690307,0.8261180063041764,0.7725631768953068,0.7588652482269503,0.7986111111111112,115,29,34,107,gb_d1_lr05,weighted_vote,0.9543859649122807,31,raw_plus_corrected,candidate_full
0.7789473684210526,0.7786643026004728,0.8216115051221433,0.7709090909090909,0.75177304964539,0.8055555555555556,116,28,35,106,extra_d2_l10,weighted_vote,0.9543859649122807,31,raw_plus_corrected,candidate_full
0.775438596491228,0.7751182033096926,0.8231875492513789,0.7664233576642335,0.7446808510638298,0.8055555555555556,116,28,36,105,logreg_c03,trainacc_weighted_vote,0.9543859649122807,31,raw_plus_corrected,candidate_full
0.7719298245614035,0.7716459810874705,0.8201832151300237,0.7636363636363637,0.7446808510638298,0.7986111111111112,115,29,36,105,logreg_c03,weighted_vote,0.9543859649122807,31,raw_plus_corrected,candidate_full
0.7614035087719299,0.76100768321513,0.7828014184397164,0.75,0.723404255319149,0.7986111111111112,115,29,39,102,logreg_c03,argmax_model,0.9543859649122807,31,raw_plus_corrected,candidate_full
