accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,feature_set
0.8350877192982457,0.8348108747044918,0.8115149724192277,0.8290909090909091,0.8085106382978723,0.8611111111111112,124,20,27,114,logreg_c01,gross_corrected
0.8315789473684211,0.8312647754137117,0.8156520882584712,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c003,gross_corrected
0.8315789473684211,0.8312647754137117,0.8150118203309692,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c03,gross_corrected
0.8280701754385965,0.8277925531914894,0.8297379826635146,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,gross_corrected
0.8280701754385965,0.8277925531914894,0.8236308116627266,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d2_l10,gross_plus_curriculum
0.8280701754385965,0.8277925531914894,0.8235323089046493,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,gross_plus_curriculum
0.8280701754385965,0.8277925531914894,0.8203063435776202,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,gross_corrected
0.8280701754385965,0.8277925531914894,0.8164401103230889,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d2_l10,gross_corrected
0.8245614035087719,0.8243203309692672,0.8250344759653271,0.8188405797101449,0.8014184397163121,0.8472222222222222,122,22,28,113,gb_d1,gross_plus_curriculum
0.8245614035087719,0.8242464539007093,0.8340228526398739,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,rf_d3_l8,gross_plus_curriculum
0.8245614035087719,0.8242464539007093,0.824320330969267,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,rf_d3_l8,gross_plus_curriculum_raw
0.8245614035087719,0.8242464539007093,0.8215376280535854,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,extra_d2_l10,gross_plus_curriculum_raw
0.8245614035087719,0.8242464539007093,0.818705673758865,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,logreg_c003,gross_plus_curriculum
0.8210526315789474,0.820848108747045,0.8515070921985817,0.8158844765342961,0.8014184397163121,0.8402777777777778,121,23,28,113,gb_d1,gross_plus_curriculum_raw
0.8210526315789474,0.8207003546099291,0.8193459416863672,0.8131868131868132,0.7872340425531915,0.8541666666666666,123,21,30,111,extra_d3_l8,gross_plus_curriculum_raw
0.8210526315789474,0.8207003546099291,0.818853427895981,0.8131868131868132,0.7872340425531915,0.8541666666666666,123,21,30,111,logreg_c01,gross_plus_curriculum
0.8140350877192982,0.8139036643026005,0.8204048463356974,0.8100358422939068,0.8014184397163121,0.8263888888888888,119,25,28,113,gb_d2,gross_plus_curriculum_raw
0.8140350877192982,0.8136820330969268,0.8180654058313632,0.8058608058608059,0.7801418439716312,0.8472222222222222,122,22,31,110,logreg_c003,gross_plus_curriculum_raw
0.8105263157894737,0.8101359338061466,0.8222025216706068,0.8014705882352942,0.7730496453900709,0.8472222222222222,122,22,32,109,logreg_c03,gross_plus_curriculum
0.8,0.8002364066193853,0.816193853427896,0.8027681660899654,0.8226950354609929,0.7777777777777778,112,32,25,116,gb_d1,gross_corrected
0.8,0.8001625295508275,0.815799842395587,0.8013937282229965,0.8156028368794326,0.7847222222222222,113,31,26,115,gb_d2,gross_plus_curriculum
0.8,0.7999408983451537,0.8119582348305753,0.797153024911032,0.7943262411347518,0.8055555555555556,116,28,29,112,logreg_c01,gross_plus_curriculum_raw
0.7894736842105263,0.7898197399527187,0.8088307722616233,0.7945205479452054,0.8226950354609929,0.7569444444444444,109,35,25,116,gb_d2,gross_corrected
0.7719298245614035,0.772089243498818,0.7928979511426321,0.7735191637630662,0.7872340425531915,0.7569444444444444,109,35,30,111,logreg_c03,gross_plus_curriculum_raw
0.7052631578947368,0.7052304964539007,0.7486209613869189,0.7021276595744681,0.7021276595744681,0.7083333333333334,102,42,42,99,logreg_c003,curriculum_only
0.7052631578947368,0.7051566193853428,0.7532013396375098,0.7,0.6950354609929078,0.7152777777777778,103,41,43,98,extra_d2_l10,curriculum_only
0.6982456140350877,0.6982860520094563,0.7446808510638299,0.6971830985915493,0.7021276595744681,0.6944444444444444,100,44,42,99,logreg_c03,curriculum_only
0.6912280701754386,0.6914154846335698,0.7476851851851852,0.6944444444444444,0.7092198581560284,0.6736111111111112,97,47,41,100,logreg_c01,curriculum_only
0.6877192982456141,0.6876477541371158,0.7706363278171788,0.6832740213523132,0.6808510638297872,0.6944444444444444,100,44,45,96,gb_d2,curriculum_only
0.6842105263157895,0.6841755319148937,0.7661544523246651,0.6808510638297872,0.6808510638297872,0.6875,99,45,45,96,gb_d1,curriculum_only
0.6807017543859649,0.6807033096926713,0.7546050039401103,0.6784452296819788,0.6808510638297872,0.6805555555555556,98,46,45,96,extra_d3_l8,curriculum_only
0.6807017543859649,0.6806294326241135,0.7630023640661938,0.6761565836298933,0.6737588652482269,0.6875,99,45,46,95,rf_d3_l8,curriculum_only
