feature_model,global_pool,input_variant,image_size,estimator,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,selection_score,old_guard_090,old_guard_092
vit_base_patch16_dinov3.lvd1689m,token,whole_plus_crop,512,logreg_bal_c0.003,domain_label,balanced_accuracy,0.4149999999999999,0.6835871404399323,0.7167698381750829,0.6701940035273368,214,154,33,190,0.852017937219731,0.5815217391304348,0.7957204133359329,0.4149999999999999,0.6807017543859649,0.6826979905437353,0.7299703264094956,71,73,18,123,0.8723404255319149,0.4930555555555556,0.7490149724192277,0.4149999999999999,0.6862745098039216,0.7277330139372822,0.5826086956521739,143,81,15,67,0.8170731707317073,0.6383928571428571,0.8191419860627178,0.47722630856824755,False,False
vit_base_patch16_dinov3.lvd1689m,token,whole_plus_crop,512,logreg_bal_c0.003,domain_label,high_sensitivity,0.4149999999999999,0.6835871404399323,0.7167698381750829,0.6701940035273368,214,154,33,190,0.852017937219731,0.5815217391304348,0.7957204133359329,0.4149999999999999,0.6807017543859649,0.6826979905437353,0.7299703264094956,71,73,18,123,0.8723404255319149,0.4930555555555556,0.7490149724192277,0.4149999999999999,0.6862745098039216,0.7277330139372822,0.5826086956521739,143,81,15,67,0.8170731707317073,0.6383928571428571,0.8191419860627178,0.47722630856824755,False,False
vit_base_patch16_dinov3.lvd1689m,token,whole_plus_crop,512,logreg_plain_c0.003,domain_label,balanced_accuracy,0.4049999999999999,0.6818950930626058,0.7171780561512966,0.6713286713286714,211,157,31,192,0.8609865470852018,0.5733695652173914,0.7958300838370054,0.4049999999999999,0.6807017543859649,0.6827718676122931,0.7315634218289085,70,74,17,124,0.8794326241134752,0.4861111111111111,0.7490149724192277,0.4049999999999999,0.6830065359477124,0.7293662891986062,0.5836909871244635,141,83,14,68,0.8292682926829268,0.6294642857142857,0.8192508710801394,0.47708485949597024,False,False
vit_base_patch16_dinov3.lvd1689m,token,whole_plus_crop,512,logreg_plain_c0.003,domain_label,high_sensitivity,0.4049999999999999,0.6818950930626058,0.7171780561512966,0.6713286713286714,211,157,31,192,0.8609865470852018,0.5733695652173914,0.7958300838370054,0.4049999999999999,0.6807017543859649,0.6827718676122931,0.7315634218289085,70,74,17,124,0.8794326241134752,0.4861111111111111,0.7490149724192277,0.4049999999999999,0.6830065359477124,0.7293662891986062,0.5836909871244635,141,83,14,68,0.8292682926829268,0.6294642857142857,0.8192508710801394,0.47708485949597024,False,False
vit_base_patch16_dinov3.lvd1689m,token,whole_plus_crop,512,logreg_bal_c0.003,none,balanced_accuracy,0.5249999999999999,0.7106598984771574,0.7173060050692143,0.6600397614314115,254,114,57,166,0.7443946188340808,0.6902173913043478,0.7965977773445116,0.5249999999999999,0.6666666666666666,0.6676270685579195,0.6925566343042071,83,61,34,107,0.7588652482269503,0.5763888888888888,0.7494089834515367,0.5249999999999999,0.7516339869281046,0.7414525261324041,0.6082474226804123,171,53,23,59,0.7195121951219512,0.7633928571428571,0.8213196864111498,0.473050675792718,False,False
vit_base_patch16_dinov3.lvd1689m,token,whole_plus_crop,512,logreg_bal_c0.003,label,balanced_accuracy,0.5249999999999999,0.7106598984771574,0.7173060050692143,0.6600397614314115,254,114,57,166,0.7443946188340808,0.6902173913043478,0.7965977773445116,0.5249999999999999,0.6666666666666666,0.6676270685579195,0.6925566343042071,83,61,34,107,0.7588652482269503,0.5763888888888888,0.7494089834515367,0.5249999999999999,0.7516339869281046,0.7414525261324041,0.6082474226804123,171,53,23,59,0.7195121951219512,0.7633928571428571,0.8213196864111498,0.473050675792718,False,False
vit_base_patch16_dinov3.lvd1689m,token,whole_plus_crop,512,logreg_plain_c0.003,label,balanced_accuracy,0.5249999999999999,0.7106598984771574,0.7173060050692143,0.6600397614314115,254,114,57,166,0.7443946188340808,0.6902173913043478,0.7965977773445116,0.5249999999999999,0.6666666666666666,0.6676270685579195,0.6925566343042071,83,61,34,107,0.7588652482269503,0.5763888888888888,0.7494089834515367,0.5249999999999999,0.7516339869281046,0.7414525261324041,0.6082474226804123,171,53,23,59,0.7195121951219512,0.7633928571428571,0.8213196864111498,0.473050675792718,False,False
vit_base_patch16_dinov3.lvd1689m,token,whole_plus_crop,512,logreg_bal_c0.003,none,high_sensitivity,0.42499999999999993,0.6835871404399323,0.7150029245466953,0.6678507992895204,216,152,35,188,0.8430493273542601,0.5869565217391305,0.7965977773445116,0.42499999999999993,0.6771929824561403,0.679151891252955,0.7261904761904762,71,73,19,122,0.8652482269503546,0.4930555555555556,0.7494089834515367,0.42499999999999993,0.6895424836601307,0.7260997386759582,0.5814977973568282,145,79,16,66,0.8048780487804879,0.6473214285714286,0.8213196864111498,0.4721155646580686,False,False
vit_base_patch16_dinov3.lvd1689m,token,whole_plus_crop,512,logreg_bal_c0.003,label,high_sensitivity,0.42499999999999993,0.6835871404399323,0.7150029245466953,0.6678507992895204,216,152,35,188,0.8430493273542601,0.5869565217391305,0.7965977773445116,0.42499999999999993,0.6771929824561403,0.679151891252955,0.7261904761904762,71,73,19,122,0.8652482269503546,0.4930555555555556,0.7494089834515367,0.42499999999999993,0.6895424836601307,0.7260997386759582,0.5814977973568282,145,79,16,66,0.8048780487804879,0.6473214285714286,0.8213196864111498,0.4721155646580686,False,False
vit_base_patch16_dinov3.lvd1689m,token,whole_plus_crop,512,logreg_plain_c0.003,label,high_sensitivity,0.42499999999999993,0.6835871404399323,0.7150029245466953,0.6678507992895204,216,152,35,188,0.8430493273542601,0.5869565217391305,0.7965977773445116,0.42499999999999993,0.6771929824561403,0.679151891252955,0.7261904761904762,71,73,19,122,0.8652482269503546,0.4930555555555556,0.7494089834515367,0.42499999999999993,0.6895424836601307,0.7260997386759582,0.5814977973568282,145,79,16,66,0.8048780487804879,0.6473214285714286,0.8213196864111498,0.4721155646580686,False,False
